PLAYERID,DRAFTYEAR,POSITION,NAME,COLLEGE,ROUND,PICK,TEAM,NOTES,ATRAS,RAS,,"NOTE: RAS WILL BE INCORRECT FOR MOST 2019 PROSPECTS DUE TO RECENT UPDATES, THIS WILL EVEN OUT OVER TIME"
1,1987,SS,Adrian White,Florida,2,55,Giants,,,,,
2,1987,LB,Al Smith,Utah State,6,147,Texans,|ProBowl|,4.14,6.45,,
3,1987,WR,Albert Bell,Alabama,,,,,0.4,0,,
4,1987,TE,Albert Reese,Southern Methodist,,,,,1.45,2.35,,
5,1987,LB,Alex Gordon,Cincinnati,2,42,Jets,,2.38,1.94,,
6,1987,RB,Alfred Jenkins,Arizona,9,248,Redskins,,2.56,6.09,,
7,1987,FB,Alonzo Highsmith,Miami,1,3,Texans,,,,,
8,1987,RB,Alonzo Williams,Mesa,12,326,Rams,,,,,
9,1987,WR,Alvin Blount,Eastern Kentucky,9,235,Cowboys,,4.5,7.37,,
10,1987,CB,Anthony Anderson,Grambling State,10,256,Chargers,,1.41,1.05,,
11,1987,OT,Archie Harris,William & Mary,7,193,Bears,,8.07,7.89,,
12,1987,TE,Arthur Wells,Grambling State,11,290,Saints,,1.04,0,,
13,1987,OC,Ben Tamburello,Auburn,3,65,Eagles,,6.79,5,,
14,1987,DT,Bill Berthusen,Iowa State,12,321,Giants,,,,,
15,1987,QB,Bill Ransdell,Kentucky,12,327,Jets,,1.82,4.62,,
16,1987,P,Bill Smith,Mississippi,7,191,Packers,,,,,
17,1987,RB,Bo Jackson,Auburn,7,183,Raiders,|ProBowl|,,,,
18,1987,LB,Bob Ontko,Penn State,9,247,Colts,,3.93,4.52,,
19,1987,FB,Bob Perryman,Michigan,3,79,Patriots,,2.03,6,,
20,1987,OT,Bob Riley,Indiana,10,267,Vikings,,5.42,8.95,,
21,1987,LB,Bob White,Penn State,6,162,49ers,,,,,
22,1987,RB,Bobby Morse,Michigan State,12,316,Eagles,,2.01,4.78,,
23,1987,SS,Bobby Taylor,Notre Dame,10,266,Dolphins,,,,,
24,1987,DT,Bobby White,Penn State,,,,,6.62,7.14,,
25,1987,RB,Brent Fullwood,Auburn,1,4,Packers,|ProBowl|,,,,
26,1987,QB,Brent Pease,Montana,11,295,Vikings,,,,,
27,1987,LB,Brian Bosworth,Oklahoma,1,,Seahawks,,,,,
28,1987,CB,Brian Davis,Nebraska,2,30,Redskins,,7.14,9.47,,
29,1987,TE,Brian Siverling,Penn State,11,286,Lions,,1.5,1.18,,
30,1987,OT,Brian Williams,Central Michigan,7,177,Eagles,,0.36,1.58,,
31,1987,OT,Bruce Armstrong,Louisville,1,23,Patriots,|ProBowl|,5.19,9.47,,
32,1987,WR,Bruce Hill,Arizona State,4,106,Buccaneers,|1kREC-1988|,3.9,5,,
33,1987,LB,Bruce Holmes,Minnesota,12,325,Chiefs,,0.64,0.65,,
34,1987,DT,Bruce Mesner,Maryland,8,209,Bills,,,,,
35,1987,SS,Bruce Plummer,Mississippi State,9,250,Broncos,,6.35,10,,
36,1987,OT,Bruce Wilkerson,Tennessee,2,52,Raiders,,,,,
37,1987,LB,Byron Evans,Arizona,4,93,Eagles,,2.97,4.19,,
38,1987,WR,Calvin Nicholas,Grambling State,11,301,49ers,,4.03,6.32,,
39,1987,RB,Carl Woods,Vanderbilt,,,,,1.98,2.61,,
40,1987,K,Carlos Reveiz,Tennessee,11,302,Patriots,,,,,
41,1987,RB,Chad Stark,North Dakota State,12,329,Giants,,,,,
42,1987,DE,Charles Buchanan,Tennessee State,8,205,Steelers,,,,,
43,1987,LB,Charles Faucette,Maryland,,,,,2.64,3.55,,
44,1987,SS,Charles Glaze,South Carolina State,,,,,4.36,5,,
45,1987,WR,Charles Lockett,Long Beach State,3,66,Steelers,,3.25,5.26,,
46,1987,CB,Charles Wright,Tulsa,10,257,Cardinals,,,,,
47,1987,OT,Chris Conlin,Penn State,5,132,Dolphins,,1.86,3.16,,
48,1987,OT,Chris Gambol,Iowa,3,58,Colts,,7.03,10,,
49,1987,CB,Chris Goode,Alabama,10,253,Colts,,2.54,2.63,,
50,1987,TE,Chris Kelley,Akron,7,178,Steelers,,1.86,3.53,,
51,1987,RB,Chris McLemore,Colorado,11,288,Raiders,,,,,
52,1987,QB,Chris Miller,Oregon,1,13,Falcons,|ProBowl|,6.95,7.69,,
53,1987,DT,Chris Pike,Tulsa,6,158,Eagles,,,,,
54,1987,DE,Chris Spachman,Nebraska,,,,,1.87,3.57,,
55,1987,OG,Chris Thatcher,Lafayette,7,188,Bengals,,,,,
56,1987,RB,Christian Okoye,Azusa Pacific,2,35,Chiefs,|ProBowl|,,,,
57,1987,LB,Chuck Faucette,Maryland,10,279,Giants,,,,,
58,1987,CB,Chuckie Miller,UCLA,8,200,Colts,,,,,
59,1987,CB,Clarence Vaughn,Northern Illinois,8,219,Redskins,,,,,
60,1987,CB,Cliff Hicks,Oregon,3,74,Rams,,3.23,5.26,,
61,1987,QB,Cody Carlson,Baylor,3,64,Texans,,5.9,6.92,,
62,1987,DE,Colin Scotts,Hawaii,3,70,Cardinals,,5.11,9.29,,
63,1987,LB,Cornelius Bennett,Alabama,1,2,Colts,|ProBowl|7.5SACK-1987;1988;1991|,,,,
64,1987,LB,Craig Raddatz,Wisconsin,9,242,Bengals,,,,,
65,1987,WR,Craig Richardson,Eastern Washington,11,298,Chiefs,,4.48,7.89,,
