PLAYERID,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE,ARMLENGTH,HANDSIZE
1,,,,,,,,,31,9.75
2,,,,,,,,,31.25,8.75
3,,,,,,,,,30,9.25
4,,,,,,,,,33,10.75
5,,,,,,,,,34,9.75
6,,,,,,,,,32,10.25
7,,,,,,,,,33,9.5
8,,,,,,,,,,
9,,,,,,,,,31.25,8.75
10,,,,,,,,,32.5,8.5
11,,,,,,,,,32.25,9.5
12,,,,,,,,,31.25,9.5
13,,,,,,,,,30.5,10.25
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,31,8
19,,,,,,,,,31.75,9.25
20,,,,,,,,,33.5,10
21,,,,,,,,,,
22,,,,,,,,,29.75,9.75
23,,,,,,,,,,
24,,,,,,,,,32.25,10.25
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,30.5,8.25
29,,,,,,,,,32.25,10
30,,,,,,,,,33,9.5
31,,,,,,,,,32.75,10.25
32,,,,,,,,,,
33,,,,,,,,,31.5,10.5
34,,,,,,,,,32.75,8.5
35,,,,,,,,,30.25,8.75
36,,,,,,,,,32.75,9.25
37,,,,,,,,,32.75,9.5
38,,,,,,,,,,
39,,,,,,,,,30.5,9.75
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,30.5,9.75
44,,,,,,,,,30.75,8
45,,,,,,,,,30,8.75
46,,,,,,,,,,
47,,,,,,,,,32.25,9.75
48,,,,,,,,,33.5,10.5
49,,,,,,,,,31.75,9.75
50,,,,,,,,,31.5,10
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,34.25,9.25
54,,,,,,,,,32.5,9
55,,,,,,,,,,
56,,,,,,,,,33,9.75
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,29.5,9
61,,,,,,,,,31,9.25
62,,,,,,,,,33.75,10
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,30.25,9.25
68,,,,,,,,,31.5,9.5
69,,,,,,,,,,
70,,,,,,,,,31.25,10.25
71,,,,,,,,,29.75,9.5
72,,,,,,,,,31.75,8.5
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,32,9.5
77,,,,,,,,,32.25,9.75
78,,,,,,,,,33,9
79,,,,,,,,,32.5,9
80,,,,,,,,,31.5,9.5
81,,,,,,,,,33.75,10.5
82,,,,,,,,,,
83,,,,,,,,,31.25,9.5
84,,,,,,,,,,
85,,,,,,,,,32.75,10.5
86,,,,,,,,,32,9
87,,,,,,,,,33,9.75
88,,,,,,,,,,
89,,,,,,,,,31.5,9.25
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,30,9.25
93,,,,,,,,,,
94,,,,,,,,,32.25,9
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,31,9.5
98,,,,,,,,,32.25,9
99,,,,,,,,,,
100,,,,,,,,,32,8.5
101,,,,,,,,,30.75,9.75
102,,,,,,,,,29.5,8.75
103,,,,,,,,,29,7.25
104,,,,,,,,,32.5,9.75
105,,,,,,,,,34.25,9
106,,,,,,,,,,
107,,,,,,,,,34.5,10
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,29.75,9.5
111,,,,,,,,,,
112,,,,,,,,,30.75,8.25
113,,,,,,,,,32.5,10.5
114,,,,,,,,,32.25,9.25
115,,,,,,,,,,
116,,,,,,,,,31,9.5
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,30,8.25
122,,,,,,,,,29.75,9
123,,,,,,,,,,
124,,,,,,,,,32.25,8.5
125,,,,,,,,,32,9.25
126,,,,,,,,,31.25,9.25
127,,,,,,,,,31,9.5
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,,,,,,,,,32.5,9.75
134,,,,,,,,,30.5,9.5
135,,,,,,,,,31.75,9.5
136,,,,,,,,,,
137,,,,,,,,,33,9
138,,,,,,,,,32,9
139,,,,,,,,,32.25,10
140,,,,,,,,,,
141,,,,,,,,,30.5,8.5
142,,,,,,,,,,
143,,,,,,,,,32,7.75
144,,,,,,,,,,
