Rank,WSID,Team DST,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Chicago (CHI)CHI DST,,1,1,1.0,0.0
2,,Jacksonville (JAC)JAC DST,,2,6,3.7,1.4
Tier 2,
3,,Los Angeles (LAR)LAR DST,,2,9,4.7,2.1
4,,Minnesota (MIN)MIN DST,,3,7,4.9,1.4
5,,Baltimore (BAL)BAL DST,,2,13,5.6,3.4
6,,Houston (HOU)HOU DST,,3,9,6.3,1.8
7,,Cleveland (CLE)CLE DST,,4,9,7.3,1.1
8,,Los Angeles (LAC)LAC DST,,2,31,8.1,7.8
Tier 3,
9,,New Orleans (NO)NO DST,,8,12,9.2,1.2
10,,Denver (DEN)DEN DST,,9,12,10.4,0.9
11,,Buffalo (BUF)BUF DST,,10,18,12.2,2.3
12,,Dallas (DAL)DAL DST,,10,20,13.2,2.8
13,,New England (NE)NE DST,,12,18,14.0,1.9
Tier 4,
14,,Seattle (SEA)SEA DST,,12,18,15.0,1.3
15,,Tennessee (TEN)TEN DST,,13,19,15.9,2.3
16,,Philadelphia (PHI)PHI DST,,14,21,17.1,2.0
17,,Kansas City (KC)KC DST,,5,25,17.7,4.2
18,,Pittsburgh (PIT)PIT DST,,8,22,18.0,1.8
19,,Indianapolis (IND)IND DST,,10,22,18.2,2.6
20,,Carolina (CAR)CAR DST,,9,24,19.5,2.0
21,,Atlanta (ATL)ATL DST,,9,25,20.2,4.1
22,,Arizona (ARI)ARI DST,,6,26,20.9,3.0
23,,Green Bay (GB)GB DST,,4,27,21.1,3.9
Tier 5,
24,,Detroit (DET)DET DST,,5,28,24.1,1.6
25,,New York (NYJ)NYJ DST,,5,28,19.2,9.7
26,,Washington (WAS)WAS DST,,2,32,26.2,3.0
27,,New York (NYG)NYG DST,,3,32,26.6,2.5
28,,Miami (MIA)MIA DST,,1,29,27.2,1.3
29,,San Francisco (SF)SF DST,,13,30,24.8,6.1
30,,Tampa Bay (TB)TB DST,,24,31,28.4,1.7
31,,Cincinnati (CIN)CIN DST,,26,31,29.2,1.7
32,,Oakland (OAK)OAK DST,,31,32,31.5,0.5
