Rank,WSIT,Team DST,Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Chicago (CHI)CHI DST,6,,1,1,1.0,0.0
2,,Jacksonville (JAC)JAC DST,10,,2,2,2.0,0.0
3,,Los Angeles (LAR)LAR DST,9,,3,4,3.5,0.5
4,,Minnesota (MIN)MIN DST,12,,3,5,4.0,1.0
5,,Baltimore (BAL)BAL DST,8,,4,5,4.5,0.5
6,,Los Angeles (LAC)LAC DST,12,,6,6,6.0,0.0
7,,Denver (DEN)DEN DST,10,,7,9,8.0,1.0
8,,Houston (HOU)HOU DST,10,,7,9,8.0,1.0
9,,New Orleans (NO)NO DST,9,,10,11,10.5,0.5
10,,Carolina (CAR)CAR DST,7,,8,15,11.5,3.5
11,,Cleveland (CLE)CLE DST,7,,10,13,11.5,1.5
12,,Buffalo (BUF)BUF DST,6,,8,19,13.5,5.5
13,,Pittsburgh (PIT)PIT DST,7,,14,16,15.0,1.0
14,,New England (NE)NE DST,10,,14,17,15.5,1.5
15,,Kansas City (KC)KC DST,12,,12,20,16.0,4.0
16,,Green Bay (GB)GB DST,11,,13,19,16.0,3.0
17,,Philadelphia (PHI)PHI DST,10,,11,24,17.5,6.5
18,,Seattle (SEA)SEA DST,11,,12,26,19.0,7.0
19,,Dallas (DAL)DAL DST,8,,16,22,19.0,3.0
20,,Atlanta (ATL)ATL DST,9,,17,21,19.0,2.0
21,,Cincinnati (CIN)CIN DST,9,,18,21,19.5,1.5
22,,Arizona (ARI)ARI DST,12,,18,23,20.5,2.5
23,,New York (NYG)NYG DST,11,,20,26,23.0,3.0
24,,Detroit (DET)DET DST,5,,22,24,23.0,1.0
25,,Tennessee (TEN)TEN DST,11,,23,28,25.5,2.5
26,,Miami (MIA)MIA DST,5,,27,27,27.0,0.0
27,,Indianapolis (IND)IND DST,6,,25,30,27.5,2.5
28,,Washington (WAS)WAS DST,10,,28,31,29.5,1.5
