Rank,WSID,Kickers (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Stephen GostkowskiS. Gostkowski FA,,35,2,11,5.0,3.3
2,,Graham GanoG. Gano CAR,,32,2,13,6.4,4.3
3,,Justin TuckerJ. Tucker BAL,,29,1,3,1.5,0.9
4,,Matt PraterM. Prater DET,,34,1,9,7.0,3.0
5,,Greg ZuerleinG. Zuerlein LAR,,31,1,8,4.0,2.5
6,,Dan BaileyD. Bailey MIN,,31,4,7,5.3,1.3
7,,Mason CrosbyM. Crosby GB,,34,3,9,6.3,2.4
8,,Wil LutzW. Lutz NO,,24,5,11,7.0,2.3
9,,Chris BoswellC. Boswell PIT,,28,7,11,8.5,1.7
10,,Steven HauschkaS. Hauschka BUF,,33,10,14,12.6,1.7
11,,Chandler CatanzaroC. Catanzaro NYJ,,28,5,18,13.4,4.5
12,,Cairo SantosC. Santos TB,,27,3,17,13.6,5.4
13,,Harrison ButkerH. Butker KC,,23,2,19,10.0,6.5
14,,Adam VinatieriA. Vinatieri IND,,46,12,16,14.0,1.7
15,,Brandon McManusB. McManus DEN,,27,2,22,14.2,7.4
16,,Ka'imi FairbairnK. Fairbairn FA,,25,4,23,11.5,7.0
17,,Ryan SuccopR. Succop TEN,,32,6,21,15.6,5.2
18,,Robbie GouldR. Gould SF,,37,11,21,16.4,3.9
19,,Matt BryantM. Bryant FA,,43,7,21,13.5,5.4
20,,Jake ElliottJ. Elliott PHI,,24,10,23,16.0,5.2
21,,Daniel CarlsonD. Carlson OAK,,24,8,22,17.5,5.7
22,,Josh LamboJ. Lambo JAC,,28,14,24,20.4,3.5
23,,Sebastian JanikowskiS. Janikowski FA,,41,16,20,18.3,1.7
24,,Andrew JacasA. Jacas SF,,,23,24,23.5,0.5
25,,Cody ParkeyC. Parkey FA,,27,24,27,25.7,1.2
26,,Andrew WellockA. Wellock CAR,,,25,26,25.5,0.5
27,,Kai ForbathK. Forbath FA,,31,25,27,26.0,1.0
28,,Connor BarthC. Barth FA,,32,28,28,28.0,0.0
