Rank,WSIT,Overall (Team),Pos,Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Christian McCaffreyC. McCaffrey CAR,RB1,,23,1,2,1.1,0.3
2,,Saquon BarkleyS. Barkley NYG,RB2,,23,1,6,2.2,0.8
3,,Michael ThomasM. Thomas NO,WR1,,26,1,4,3.1,0.3
4,,DeAndre HopkinsD. Hopkins HOU,WR2,,27,3,11,5.5,1.4
5,,Ezekiel ElliottE. Elliott DAL,RB3,,24,4,11,6.3,1.6
6,,Dalvin CookD. Cook MIN,RB4,,24,2,14,6.4,1.8
7,,Alvin KamaraA. Kamara NO,RB5,,24,4,12,7.7,1.9
8,,Davante AdamsD. Adams GB,WR3,,27,4,17,8.5,2.5
9,,Tyreek HillT. Hill KC,WR4,,26,4,23,8.8,2.8
10,,Chris GodwinC. Godwin TB,WR5,,24,5,15,11.0,2.6
11,,Nick ChubbN. Chubb CLE,RB6,,24,5,24,11.5,3.1
12,,Mike EvansM. Evans TB,WR6,,26,9,17,11.7,1.3
13,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR7,,23,5,39,13.8,5.6
14,,Joe MixonJ. Mixon CIN,RB7,,23,7,26,14.5,3.2
15,,Amari CooperA. Cooper DAL,WR8,,25,10,26,14.8,2.2
16,,Odell Beckham Jr.O. Beckham CLE,WR9,,27,8,26,16.8,3.9
17,,Derrick HenryD. Henry TEN,RB8,,25,11,28,18.5,3.3
18,,D.J. MooreD. Moore CAR,WR10,,22,12,27,19.0,3.8
19,,Leonard FournetteL. Fournette JAC,RB9,,25,15,30,20.5,4.2
20,,Aaron JonesA. Jones GB,RB10,,25,6,30,21.4,4.0
21,,George KittleG. Kittle SF,TE1,,26,15,29,22.4,2.9
22,,Kenny GolladayK. Golladay DET,WR11,,26,14,31,22.6,3.4
23,,Josh JacobsJ. Jacobs OAK,RB11,,22,15,34,22.8,5.6
24,,Julio JonesJ. Jones ATL,WR12,,31,16,39,23.0,3.4
25,,Courtland SuttonC. Sutton DEN,WR13,,24,15,46,25.5,4.7
26,,A.J. BrownA. Brown TEN,WR14,,22,12,37,26.7,5.9
27,,Travis KelceT. Kelce KC,TE2,,30,19,42,28.2,4.6
28,,Stefon DiggsS. Diggs MIN,WR15,,26,22,38,29.5,4.2
29,,Keenan AllenK. Allen LAC,WR16,,27,22,45,30.7,4.7
30,,Miles SandersM. Sanders PHI,RB12,,22,13,44,30.8,5.0
31,,Patrick MahomesP. Mahomes KC,QB1,,24,23,52,33.6,6.8
32,,Allen RobinsonA. Robinson CHI,WR17,,26,18,60,35.2,8.7
33,,Cooper KuppC. Kupp LAR,WR18,,26,22,54,35.2,5.2
34,,Melvin GordonM. Gordon LAC,RB13,,26,24,64,35.7,4.8
35,,Todd GurleyT. Gurley LAR,RB14,,25,28,58,36.2,5.7
36,,Austin EkelerA. Ekeler LAC,RB15,,24,22,57,38.5,7.8
37,,Calvin RidleyC. Ridley ATL,WR19,,25,17,63,38.7,9.9
38,,Lamar JacksonL. Jackson BAL,QB2,,23,15,54,39.2,8.1
39,,Kerryon JohnsonK. Johnson DET,RB16,,22,33,62,39.6,4.9
40,,D.K. MetcalfD. Metcalf SEA,WR20,,22,23,58,43.2,10.1
41,,Tyler LockettT. Lockett SEA,WR21,,27,36,74,44.4,7.3
42,,D.J. CharkD. Chark JAC,WR22,,23,29,59,44.9,6.2
43,,Marlon MackM. Mack IND,RB17,,23,29,67,45.2,10.9
44,,Tyler BoydT. Boyd CIN,WR23,,25,37,70,48.6,10.3
45,,Adam ThielenA. Thielen MIN,WR24,,29,32,68,49.3,9.1
46,,Michael GallupM. Gallup DAL,WR25,,23,34,75,49.3,10.8
47,,Evan EngramE. Engram NYG,TE3,,25,34,75,49.5,4.6
48,,Deshaun WatsonD. Watson HOU,QB3,,24,36,67,49.9,5.1
49,,James ConnerJ. Conner PIT,RB18,,24,42,82,51.6,10.4
50,,Robert WoodsR. Woods LAR,WR26,,27,42,76,52.2,5.2
51,,Mark AndrewsM. Andrews BAL,TE4,,24,32,78,52.6,8.6
52,,Christian KirkC. Kirk ARI,WR27,,23,41,72,53.7,7.5
53,,David MontgomeryD. Montgomery CHI,RB19,,22,38,66,54.2,7.3
54,,Zach ErtzZ. Ertz PHI,TE5,,29,37,99,54.3,13.6
55,,Jarvis LandryJ. Landry CLE,WR28,,27,21,71,55.0,8.8
56,,Le'Veon BellL. Bell NYJ,RB20,,28,35,74,55.2,8.1
57,,Devin SingletaryD. Singletary BUF,RB21,,22,29,110,55.8,19.3
58,,Kenyan DrakeK. Drake ARI,RB22,,26,25,71,56.1,9.5
59,,Chris CarsonC. Carson SEA,RB23,,25,26,93,56.6,11.9
60,,Phillip LindsayP. Lindsay DEN,RB24,,25,36,72,59.5,7.5
61,,Deebo SamuelD. Samuel SF,WR29,,24,39,109,61.2,16.9
62,,Terry McLaurinT. McLaurin WAS,WR30,,23,42,90,61.4,10.2
63,,Mike WilliamsM. Williams LAC,WR31,,25,48,79,64.1,7.5
64,,DeVante ParkerD. Parker MIA,WR32,,27,31,170,64.2,13.6
65,,Kareem HuntK. Hunt CLE,RB25,,24,40,136,65.1,13.4
66,,Marquise BrownM. Brown BAL,WR33,,22,43,76,65.9,7.1
67,,Austin HooperA. Hooper ATL,TE6,,25,21,80,66.5,8.3
68,,T.Y. HiltonT. Hilton IND,WR34,,30,53,93,66.7,9.3
69,,Russell WilsonR. Wilson SEA,QB4,,31,61,75,67.9,3.1
70,,Hunter HenryH. Henry LAC,TE7,,25,52,89,70.7,8.6
71,,Dak PrescottD. Prescott DAL,QB5,,26,51,95,72.1,4.2
72,,Derrius GuiceD. Guice WAS,RB26,,22,41,100,72.8,9.3
73,,Kyler MurrayK. Murray ARI,QB6,,22,51,85,73.9,6.4
74,,Darren WallerD. Waller OAK,TE8,,27,46,112,74.6,13.7
