Rank,WSIT,Quarterbacks (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Patrick MahomesP. Mahomes KC,,24,1,2,1.1,0.3
2,,Lamar JacksonL. Jackson BAL,,23,1,3,2.0,0.5
3,,Deshaun WatsonD. Watson HOU,,24,2,4,2.9,0.3
4,,Russell WilsonR. Wilson SEA,,31,3,8,4.8,0.9
5,,Dak PrescottD. Prescott DAL,,26,4,6,5.3,0.6
6,,Kyler MurrayK. Murray ARI,,22,4,10,5.8,1.6
7,,Carson WentzC. Wentz PHI,,27,4,19,7.9,1.6
8,,Josh AllenJ. Allen BUF,,23,5,12,8.4,1.5
9,,Aaron RodgersA. Rodgers GB,,36,5,15,9.6,2.1
10,,Baker MayfieldB. Mayfield CLE,,24,7,18,10.1,2.5
11,,Jared GoffJ. Goff LAR,,25,8,20,12.3,1.6
12,,Matt RyanM. Ryan ATL,,34,7,21,12.6,2.7
13,,Jameis WinstonJ. Winston TB,,26,7,19,12.9,1.8
14,,Matthew StaffordM. Stafford DET,,32,10,21,14.3,2.0
15,,Sam DarnoldS. Darnold NYJ,,22,9,22,15.4,2.5
16,,Daniel JonesD. Jones NYG,,22,9,21,15.9,4.1
17,,Jimmy GaroppoloJ. Garoppolo SF,,28,13,23,16.3,2.0
18,,Cam NewtonC. Newton CAR,,30,12,20,16.5,1.6
19,,Kirk CousinsK. Cousins MIN,,31,12,24,18.8,1.8
20,,Ryan TannehillR. Tannehill TEN,,31,11,24,18.9,2.7
21,,Drew BreesD. Brees NO,,41,14,27,22.0,1.6
22,,Drew LockD. Lock DEN,,23,17,27,22.6,2.7
23,,Ben RoethlisbergerB. Roethlisberger PIT,,38,20,30,25.4,2.5
24,,Mitch TrubiskyM. Trubisky CHI,,25,19,28,23.6,2.2
25,,Dwayne HaskinsD. Haskins WAS,,22,19,33,25.5,3.3
26,,Derek CarrD. Carr LV,,28,23,48,27.9,5.4
27,,Tom BradyT. Brady NE,,42,22,38,28.6,2.1
28,,Philip RiversP. Rivers FA,,38,23,33,28.6,2.9
29,,Jacoby BrissettJ. Brissett IND,,27,19,42,28.8,5.4
30,,Andy DaltonA. Dalton CIN,,32,23,35,30.5,2.8
31,,Teddy BridgewaterT. Bridgewater NO,,27,22,36,31.1,3.2
32,,Nick FolesN. Foles JAC,,31,27,43,34.8,3.7
33,,Ryan FitzpatrickR. Fitzpatrick MIA,,37,27,40,33.9,2.6
34,,Gardner Minshew IIG. Minshew JAC,,23,24,36,29.9,2.6
35,,Marcus MariotaM. Mariota TEN,,26,30,44,36.3,3.1
36,,Josh RosenJ. Rosen MIA,,23,28,45,37.7,3.4
37,,Taysom HillT. Hill NO,,29,34,45,39.7,2.7
38,,Tyrod TaylorT. Taylor LAC,,30,34,46,38.3,3.3
39,,Nick MullensN. Mullens SF,,24,34,50,41.6,4.5
40,,Kyle AllenK. Allen CAR,,24,30,49,42.0,4.1
41,,Jarrett StidhamJ. Stidham NE,,23,33,48,40.6,5.2
42,,Case KeenumC. Keenum WAS,,32,35,48,44.1,3.2
43,,Joe FlaccoJ. Flacco DEN,,35,30,56,43.2,5.1
44,,Blake BortlesB. Bortles LAR,,27,33,50,44.4,4.3
45,,Mason RudolphM. Rudolph PIT,,24,33,51,44.6,3.3
46,,Will GrierW. Grier CAR,,24,38,50,44.7,3.8
47,,Joe BurrowJ. Burrow FA,,,14,16,15.0,1.0
48,,Tua TagovailoaT. Tagovailoa FA,,,14,19,16.5,2.5
49,,Ryan FinleyR. Finley CIN,,25,43,54,47.8,3.0
50,,David BloughD. Blough DET,,24,41,57,48.0,4.4
51,,Andrew LuckA. Luck FA,,30,37,47,44.0,4.1
52,,Jordan LoveJ. Love FA,,,27,40,33.5,6.5
53,,Justin HerbertJ. Herbert FA,,,31,36,33.5,2.5
54,,Jake FrommJ. Fromm FA,,,30,38,34.0,4.0
55,,C.J. BeathardC. Beathard SF,,26,44,53,49.0,2.8
56,,Jalen HurtsJ. Hurts FA,,,34,39,36.5,2.5
57,,Devlin HodgesD. Hodges PIT,,23,37,52,48.8,2.6
58,,Robert GriffinR. Griffin BAL,,30,40,55,48.8,5.1
59,,Chase DanielC. Daniel CHI,,33,36,56,47.8,7.3
60,,DeShone KizerD. Kizer LV,,25,37,55,48.5,7.2
61,,Matt MooreM. Moore KC,,35,40,53,49.0,5.2
62,,Eli ManningE. Manning FA,,39,38,58,48.7,8.2
63,,Luke FalkL. Falk FA,,25,48,54,51.0,3.0
64,,Chad KellyC. Kelly IND,,25,50,57,53.5,3.5
