Rank,WSID,Running Backs (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Saquon BarkleyS. Barkley NYG,,22,1,1,1.0,0.0
2,,Ezekiel ElliottE. Elliott DAL,,23,2,4,2.7,0.7
3,,Christian McCaffreyC. McCaffrey CAR,,22,2,5,3.4,0.8
4,,Alvin KamaraA. Kamara NO,,23,3,7,4.0,0.8
5,,Todd GurleyT. Gurley LAR,,24,2,9,4.4,1.9
6,,Joe MixonJ. Mixon CIN,,22,5,10,6.4,1.0
7,,Melvin GordonM. Gordon LAC,,25,6,9,7.1,0.9
8,,Dalvin CookD. Cook MIN,,23,5,13,8.6,1.9
9,,David JohnsonD. Johnson ARI,,27,7,12,9.2,0.9
10,,Nick ChubbN. Chubb CLE,,23,6,15,10.1,1.8
11,,Le'Veon BellL. Bell NYJ,,27,5,14,11.3,1.9
12,,James ConnerJ. Conner PIT,,23,8,15,11.4,1.3
13,,Sony MichelS. Michel NE,,24,12,17,13.9,1.0
14,,Kerryon JohnsonK. Johnson DET,,21,10,20,15.0,2.5
15,,Aaron JonesA. Jones GB,,24,11,18,15.3,1.0
16,,Derrius GuiceD. Guice WAS,,21,11,23,16.6,1.0
17,,Leonard FournetteL. Fournette JAC,,24,8,27,17.3,2.5
18,,Phillip LindsayP. Lindsay DEN,,24,16,24,18.8,1.2
19,,Marlon MackM. Mack IND,,23,14,30,20.1,2.8
20,,Derrick HenryD. Henry TEN,,24,16,32,20.6,2.2
21,,Rashaad PennyR. Penny SEA,,23,19,29,23.1,2.5
22,,Devonta FreemanD. Freeman ATL,,27,14,32,23.6,2.6
23,,Kareem HuntK. Hunt CLE,,23,13,34,24.3,5.2
24,,Tarik CohenT. Cohen CHI,,23,22,32,24.5,2.3
25,,Tevin ColemanT. Coleman SF,,25,20,31,26.3,2.5
26,,Mark IngramM. Ingram BAL,,29,21,36,27.3,2.3
27,,Chris CarsonC. Carson SEA,,24,15,40,28.5,4.7
28,,Royce FreemanR. Freeman DEN,,23,23,38,29.2,2.8
