Rank,WSIT,Tight Ends (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,George KittleG. Kittle SF,4,26,1,2,1.4,0.5
2,,Travis KelceT. Kelce KC,12,30,1,3,1.6,0.5
3,,Zach ErtzZ. Ertz PHI,10,29,3,7,4.2,1.5
4,,Mark AndrewsM. Andrews BAL,8,,3,14,4.7,1.0
5,,Evan EngramE. Engram NYG,11,25,3,12,4.9,1.6
6,,Hunter HenryH. Henry LAC,12,25,4,9,6.6,1.1
7,,Austin HooperA. Hooper ATL,9,25,2,23,7.1,2.5
8,,Darren WallerD. Waller OAK,6,27,5,11,8.5,1.4
9,,T.J. HockensonT. Hockenson DET,5,22,7,22,10.0,1.6
10,,Dallas GoedertD. Goedert PHI,10,24,7,16,10.8,2.1
11,,O.J. HowardO. Howard TB,7,25,4,14,10.9,2.3
12,,Noah FantN. Fant DEN,10,22,6,21,11.3,3.5
13,,David NjokuD. Njoku CLE,7,23,5,18,12.4,2.1
14,,Irv Smith Jr.I. Smith MIN,12,21,14,20,16.2,1.8
15,,Mike GesickiM. Gesicki MIA,5,24,13,23,17.3,2.5
16,,Jared CookJ. Cook NO,9,32,9,30,18.3,4.5
17,,Eric EbronE. Ebron IND,6,26,8,24,18.8,3.2
18,,Chris Herndon IVC. Herndon NYJ,4,23,11,26,19.1,2.1
19,,Gerald EverettG. Everett LAR,9,25,13,35,19.5,3.6
20,,Tyler HigbeeT. Higbee LAR,9,27,12,48,21.9,9.4
21,,Vance McDonaldV. McDonald PIT,7,29,13,35,23.1,4.5
22,,Will DisslyW. Dissly SEA,11,23,16,38,23.3,5.6
23,,Jack DoyleJ. Doyle IND,6,29,17,37,24.4,3.7
24,,Dawson KnoxD. Knox BUF,6,23,12,33,24.5,5.4
25,,Ian ThomasI. Thomas CAR,7,23,14,50,25.2,8.1
26,,Kyle RudolphK. Rudolph MIN,12,30,14,33,26.3,3.5
27,,Jonnu SmithJ. Smith TEN,11,24,17,52,27.0,5.3
28,,Trey BurtonT. Burton CHI,6,28,9,38,29.0,4.3
29,,Greg OlsenG. Olsen CAR,7,34,23,36,29.6,3.7
