Rank,WSID,Wide Receivers (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,DeAndre HopkinsD. Hopkins HOU,,26,1,3,1.2,0.4
2,,Odell Beckham Jr.O. Beckham CLE,,26,1,3,2.2,0.6
3,,Michael ThomasM. Thomas NO,,25,2,5,3.6,0.8
4,,Davante AdamsD. Adams GB,,26,2,8,3.9,1.2
5,,Mike EvansM. Evans TB,,25,4,8,6.0,0.8
6,,JuJu Smith-SchusterJ. Smith-Schuster PIT,,22,1,10,6.4,2.2
7,,Tyreek HillT. Hill KC,,25,4,18,7.7,2.4
8,,Julio JonesJ. Jones ATL,,30,5,11,7.9,1.4
9,,Amari CooperA. Cooper DAL,,24,7,13,8.8,1.4
10,,Stefon DiggsS. Diggs MIN,,25,6,14,10.1,1.6
11,,Antonio BrownA. Brown OAK,,30,8,12,10.5,1.2
12,,Keenan AllenK. Allen LAC,,26,5,15,11.5,2.2
13,,A.J. GreenA. Green CIN,,30,12,23,13.9,1.8
14,,Kenny GolladayK. Golladay DET,,25,9,20,14.6,3.5
15,,Brandin CooksB. Cooks LAR,,25,11,20,15.5,1.7
16,,Adam ThielenA. Thielen MIN,,28,14,22,15.7,1.1
17,,T.Y. HiltonT. Hilton IND,,29,12,22,16.9,1.9
18,,Robert WoodsR. Woods LAR,,26,13,39,18.6,2.2
19,,Corey DavisC. Davis TEN,,24,14,25,19.6,2.4
20,,D.J. MooreD. Moore CAR,,21,15,27,20.6,2.1
21,,Cooper KuppC. Kupp LAR,,25,16,36,21.9,3.4
22,,Calvin RidleyC. Ridley ATL,,24,19,28,22.8,2.1
23,,Allen RobinsonA. Robinson CHI,,25,17,28,23.4,3.4
24,,Chris GodwinC. Godwin TB,,23,17,38,23.7,3.2
25,,Jarvis LandryJ. Landry CLE,,26,21,35,25.8,2.6
26,,Mike WilliamsM. Williams LAC,,24,22,32,26.6,2.3
27,,Courtland SuttonC. Sutton DEN,,23,22,44,27.6,2.5
28,,Will FullerW. Fuller HOU,,24,22,33,30.1,2.5
29,,Alshon JefferyA. Jeffery PHI,,29,18,39,30.5,4.4
30,,Sammy WatkinsS. Watkins KC,,25,23,56,31.7,4.6
31,,Dante PettisD. Pettis SF,,23,19,51,32.3,3.9
32,,Tyler BoydT. Boyd CIN,,24,24,37,33.3,3.0
33,,Christian KirkC. Kirk ARI,,22,28,43,33.4,4.1
34,,Tyler LockettT. Lockett SEA,,26,28,50,33.9,3.6
35,,Anthony MillerA. Miller CHI,,23,30,64,36.8,1.6
36,,Doug BaldwinD. Baldwin SEA,,30,31,45,36.9,3.3
37,,Robby AndersonR. Anderson NYJ,,25,31,61,37.6,3.5
38,,Marvin JonesM. Jones DET,,29,35,49,41.5,3.6
39,,Michael GallupM. Gallup DAL,,23,36,74,42.3,3.5
40,,Sterling ShepardS. Shepard NYG,,26,29,67,42.4,5.4
41,,Golden TateG. Tate NYG,,30,34,54,43.1,4.9
42,,Keke CouteeK. Coutee HOU,,22,35,75,45.9,4.3
43,,John BrownJ. Brown BUF,,28,41,65,46.7,4.3
44,,Dede WestbrookD. Westbrook JAC,,25,36,78,47.2,5.1
45,,James WashingtonJ. Washington PIT,,22,35,61,47.7,3.7
46,,Marquise GoodwinM. Goodwin SF,,28,42,60,49.2,4.0
47,,Julian EdelmanJ. Edelman NE,,32,38,68,49.7,5.7
48,,Emmanuel SandersE. Sanders DEN,,32,32,75,51.9,7.9
49,,DaeSean HamiltonD. Hamilton DEN,,24,25,61,52.5,6.2
50,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,,24,35,74,53.5,8.3
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Devante ParkerD. Parker MIA,,26,48,76,53.6,5.9
52,,Tre'Quan SmithT. Smith NO,,23,39,79,54.4,9.3
53,,Antonio CallawayA. Callaway CLE,,22,47,70,54.4,4.8
54,,Devin FunchessD. Funchess IND,,24,47,68,54.5,3.9
55,,Curtis SamuelC. Samuel CAR,,22,47,97,59.5,6.9
56,,Donte MoncriefD. Moncrief PIT,,25,55,86,62.5,7.7
57,,Robert FosterR. Foster BUF,,24,34,73,62.8,8.9
58,,Tyrell WilliamsT. Williams OAK,,27,51,80,63.2,4.3
59,,John RossJ. Ross CIN,,24,55,100,65.1,9.9
60,,Kenny StillsK. Stills MIA,,26,41,116,65.6,6.9
61,,Marqise LeeM. Lee JAC,,27,46,94,66.2,4.1
62,,Quincy EnunwaQ. Enunwa NYJ,,26,54,92,66.8,11.4
63,,Jamison CrowderJ. Crowder NYJ,,25,57,121,67.3,7.0
64,,Nelson AgholorN. Agholor PHI,,25,52,98,68.0,9.4
65,,Geronimo AllisonG. Allison GB,,25,46,159,70.0,5.8
66,,DeSean JacksonD. Jackson PHI,,32,60,97,70.1,6.0
67,,Larry FitzgeraldL. Fitzgerald ARI,,35,55,94,72.7,7.7
68,,Adam HumphriesA. Humphries TEN,,25,53,92,73.0,7.7
69,,D.J. CharkD. Chark JAC,,22,63,89,74.5,6.1
70,,David MooreD. Moore SEA,,24,60,89,74.6,5.3
71,,Josh DoctsonJ. Doctson WAS,,26,56,104,74.8,8.2
72,,Equanimeous St. BrownE. St. GB,,22,66,82,76.0,4.6
73,,Taywan TaylorT. Taylor TEN,,24,64,123,76.7,7.8
74,,Josh ReynoldsJ. Reynolds LAR,,24,62,136,78.4,7.2
75,,Taylor GabrielT. Gabriel CHI,,28,64,109,79.3,9.1
76,,Michael CrabtreeM. Crabtree FA,,31,63,105,81.3,11.7
77,,Zay JonesZ. Jones BUF,,24,70,125,81.3,5.4
78,,Albert WilsonA. Wilson MIA,,26,54,126,82.0,12.7
79,,Josh GordonJ. Gordon FA,,27,49,97,82.4,9.8
80,,Demaryius ThomasD. Thomas FA,,31,59,108,83.8,18.9
81,,Paul RichardsonP. Richardson WAS,,26,75,120,83.8,6.3
82,,Randall CobbR. Cobb DAL,,28,62,119,84.2,10.8
83,,Mohamed SanuM. Sanu ATL,,29,70,101,84.7,4.7
84,,Jordy NelsonJ. Nelson FA,,33,78,98,85.2,3.5
85,,Keelan ColeK. Cole JAC,,25,70,107,85.7,7.6
86,,Deon CainD. Cain IND,,22,76,107,86.6,4.6
87,,Willie SneadW. Snead BAL,,26,73,125,87.5,8.6
88,,Chris HoganC. Hogan FA,,31,83,138,90.7,9.3
89,,Trey QuinnT. Quinn WAS,,23,69,160,94.6,9.4
90,,A.J. BrownA. Brown FA,,,17,97,39.3,27.1
91,,D.K. MetcalfD. Metcalf FA,,,21,95,41.3,25.0
92,,Cameron MeredithC. Meredith NO,,26,87,132,96.7,12.0
93,,N'Keal HarryN. Harry FA,,,14,100,43.3,27.6
94,,Ted GinnT. Ginn NO,,33,88,138,97.6,8.5
95,,Dez BryantD. Bryant FA,,30,93,129,100.3,5.8
96,,Pierre GarconP. Garcon FA,,32,87,131,101.8,11.5
97,,J'Mon MooreJ. Moore GB,,23,89,132,102.3,11.8
98,,Cole BeasleyC. Beasley BUF,,29,91,142,106.5,6.1
99,,Hakeem ButlerH. Butler FA,,,30,109,60.7,31.8
100,,Phillip DorsettP. Dorsett NE,,26,72,165,108.0,25.6
101,,Chris ConleyC. Conley JAC,,26,94,134,109.2,10.8
102,,Marquise BrownM. Brown FA,,,34,106,64.0,28.1
103,,Kelvin HarmonK. Harmon FA,,,33,105,64.8,25.9
104,,Deebo SamuelD. Samuel FA,,,43,108,65.2,27.0
105,,Kelvin BenjaminK. Benjamin FA,,28,84,163,104.0,21.5
106,,Laquon TreadwellL. Treadwell MIN,,23,94,140,111.4,13.7
107,,Keith KirkwoodK. Kirkwood NO,,25,89,124,104.9,12.3
108,,Chad WilliamsC. Williams ARI,,24,95,162,114.5,17.6
109,,Rishard MatthewsR. Matthews FA,,29,96,145,114.8,12.0
110,,Danny AmendolaD. Amendola DET,,33,87,146,115.2,14.7
111,,Jermaine KearseJ. Kearse FA,,29,93,161,112.0,18.4
112,,Corey ColemanC. Coleman FA,,24,98,141,117.2,11.6
