Rank,WSID,Kickers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Greg ZuerleinG. Zuerlein LAR,9,1,2,1.2,0.4,1.0,0.0
2,,Justin TuckerJ. Tucker BAL,8,1,17,2.6,1.2,2.0,0.0
3,,Harrison ButkerH. Butker KC,12,1,6,3.0,0.9,3.0,0.0
Tier 2,
4,,Stephen GostkowskiS. Gostkowski NE,10,1,8,4.3,1.2,5.0,+1.0
5,,Wil LutzW. Lutz NO,9,2,7,4.5,0.9,4.0,-1.0
6,,Ka'imi FairbairnK. Fairbairn HOU,10,3,23,7.5,3.6,6.0,0.0
Tier 3,
7,,Jake ElliottJ. Elliott PHI,10,6,17,8.8,2.1,8.0,+1.0
8,,Mason CrosbyM. Crosby GB,11,6,14,9.0,2.2,9.0,+1.0
9,,Michael BadgleyM. Badgley LAC,12,5,14,9.8,2.3,11.0,+2.0
10,,Brett MaherB. Maher DAL,8,7,14,10.7,2.1,12.0,+2.0
11,,Robbie GouldR. Gould SF,4,6,20,10.8,3.6,7.0,-4.0
12,,Matt PraterM. Prater DET,5,5,25,12.6,3.8,13.0,+1.0
13,,Adam VinatieriA. Vinatieri IND,6,7,22,13.2,3.3,10.0,-3.0
14,,Jason MyersJ. Myers SEA,11,7,20,13.7,3.0,15.0,+1.0
Tier 4,
15,,Graham GanoG. Gano CAR,7,11,29,16.8,3.3,20.0,+5.0
16,,Giorgio TavecchioG. Tavecchio ATL,9,5,34,15.8,6.0,14.0,-2.0
17,,Aldrick RosasA. Rosas NYG,11,2,28,18.2,3.5,18.0,+1.0
18,,Chris BoswellC. Boswell PIT,7,1,22,17.1,3.2,16.0,-2.0
19,,Ryan SuccopR. Succop TEN,11,3,24,19.3,2.7,22.0,+3.0
20,,Dan BaileyD. Bailey MIN,12,5,32,18.4,4.5,17.0,-3.0
21,,Brandon McManusB. McManus DEN,10,4,30,20.7,3.0,19.0,-2.0
22,,Josh LamboJ. Lambo JAC,10,6,30,20.9,4.1,23.0,+1.0
Tier 5,
23,,Steven HauschkaS. Hauschka BUF,6,4,30,23.9,2.7,26.0,+3.0
24,,Greg JosephG. Joseph CLE,7,7,35,24.2,5.9,27.0,+3.0
25,,Daniel CarlsonD. Carlson OAK,6,11,31,24.5,3.3,34.0,+9.0
26,,Dustin HopkinsD. Hopkins WAS,10,14,29,25.5,3.3,24.0,-2.0
27,,Cairo SantosC. Santos TB,7,13,36,26.1,4.2,48.0,+21.0
28,,Zane GonzalezZ. Gonzalez ARI,12,18,33,27.8,3.1,37.0,+9.0
29,,Randy BullockR. Bullock CIN,9,19,35,27.7,3.0,32.0,+3.0
30,,Eddy PineiroE. Pineiro CHI,6,15,33,27.4,5.3,28.0,-2.0
Tier 6,
31,,Jason SandersJ. Sanders MIA,5,22,34,30.3,2.4,31.0,0.0
32,,Matt GayM. Gay TB,7,14,35,27.8,5.7,25.0,-7.0
33,,Taylor BertoletT. Bertolet NYJ,4,18,32,27.9,4.1,41.0,+8.0
34,,Austin SeibertA. Seibert CLE,7,14,34,28.4,5.5,21.0,-13.0
35,,Chandler CatanzaroC. Catanzaro FA,,26,32,28.8,2.1,45.0,+10.0
36,,Kaare VedvikK. Vedvik MIN,12,7,35,30.7,4.7,29.0,-7.0
37,,Matt BryantM. Bryant FA,,22,31,27.3,3.9,35.0,-2.0
38,,Andrew WellockA. Wellock CAR,7,17,35,26.0,9.0,,
39,,Elliott FryE. Fry BAL,8,28,31,29.7,1.2,,
40,,Blair WalshB. Walsh ATL,9,26,35,32.0,4.2,39.0,-1.0
41,,Cody ParkeyC. Parkey FA,,29,36,32.3,2.9,33.0,-8.0
42,,Andrew JacasA. Jacas SF,4,34,34,34.0,0.0,,
