Rank,WSID,Kickers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Harrison ButkerH. Butker KC,,1,2,1.1,0.3
2,,Justin TuckerJ. Tucker BAL,,1,3,2.0,0.5
3,,Wil LutzW. Lutz NO,,2,4,3.0,0.7
4,,Greg ZuerleinG. Zuerlein LAR,,3,8,3.6,0.5
Tier 2,
5,,Matt GayM. Gay TB,,5,15,5.8,1.1
6,,Robbie GouldR. Gould SF,,4,11,6.1,0.8
7,,Matt PraterM. Prater DET,,6,13,7.4,1.2
8,,Stephen GostkowskiS. Gostkowski NE,,5,11,7.8,1.5
9,,Michael BadgleyM. Badgley LAC,,7,19,9.5,1.8
Tier 3,
10,,Zane GonzalezZ. Gonzalez ARI,,8,14,10.8,1.9
11,,Ka'imi FairbairnK. Fairbairn HOU,,8,26,11.4,1.4
12,,Mason CrosbyM. Crosby GB,,9,25,13.1,1.8
13,,Brandon McManusB. McManus DEN,,10,16,13.6,1.7
14,,Joey SlyeJ. Slye CAR,,9,18,14.1,2.1
15,,Jake ElliottJ. Elliott PHI,,8,27,14.5,2.4
16,,Dan BaileyD. Bailey MIN,,14,20,16.4,1.7
17,,Jason MyersJ. Myers SEA,,10,21,16.9,1.7
Tier 4,
18,,Chris BoswellC. Boswell PIT,,14,20,18.6,0.7
19,,Stephen HauschkaS. Hauschka BUF,,14,29,18.8,2.5
20,,Brett MaherB. Maher NYJ,,17,22,20.4,1.4
21,,Josh LamboJ. Lambo JAC,,12,22,21.0,0.8
22,,Austin SeibertA. Seibert CLE,,19,26,22.8,1.9
23,,Younghoe KooY. Koo ATL,,4,23,16.8,4.7
24,,Aldrick RosasA. Rosas NYG,,19,34,24.5,4.0
Tier 5,
25,,Kai ForbathK. Forbath DAL,,5,29,21.5,9.6
26,,Adam VinatieriA. Vinatieri IND,,18,30,25.7,2.3
27,,Daniel CarlsonD. Carlson OAK,,24,33,26.7,2.9
28,,Dustin HopkinsD. Hopkins WAS,,23,28,27.5,0.5
29,,Ryan SuccopR. Succop TEN,,22,35,26.5,5.0
30,,Randy BullockR. Bullock CIN,,22,32,27.0,5.0
31,,Jason SandersJ. Sanders MIA,,24,31,27.5,3.5
32,,Matt BryantM. Bryant FA,,28,39,31.7,5.2
33,,Greg JosephG. Joseph TEN,,26,36,31.0,5.0
34,,Eddy PineiroE. Pineiro CHI,,30,31,30.5,0.5
