Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,5,1.6,0.8,1.0,0.0
2,,Christian McCaffreyC. McCaffrey CAR,RB2,7,1,8,2.3,1.1,2.0,0.0
3,,Alvin KamaraA. Kamara NO,RB3,9,1,13,3.0,1.3,3.0,0.0
Tier 2,
4,,Davante AdamsD. Adams GB,WR1,11,4,22,6.1,2.5,8.0,+4.0
5,,DeAndre HopkinsD. Hopkins HOU,WR2,10,4,18,6.6,2.0,6.0,+1.0
6,,Ezekiel ElliottE. Elliott DAL,RB4,8,1,50,7.0,5.4,4.0,-2.0
7,,David JohnsonD. Johnson ARI,RB5,12,1,21,8.1,4.3,5.0,-2.0
8,,Julio JonesJ. Jones ATL,WR3,9,4,19,9.1,2.6,10.0,+2.0
9,,Travis KelceT. Kelce KC,TE1,12,7,25,9.7,2.2,13.0,+4.0
10,,Michael ThomasM. Thomas NO,WR4,9,4,19,10.3,2.7,9.0,-1.0
11,,Odell Beckham Jr.O. Beckham CLE,WR5,7,4,28,11.8,3.6,12.0,+1.0
12,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,4,28,13.1,4.6,15.0,+3.0
Tier 3,
13,,James ConnerJ. Conner PIT,RB6,7,2,51,14.0,5.7,11.0,-2.0
14,,Le'Veon BellL. Bell NYJ,RB7,4,5,40,14.4,5.7,7.0,-7.0
15,,Tyreek HillT. Hill KC,WR7,12,6,34,16.5,5.7,16.0,+1.0
16,,Nick ChubbN. Chubb CLE,RB8,7,2,37,17.6,5.8,19.0,+3.0
17,,Dalvin CookD. Cook MIN,RB9,12,5,37,17.9,4.9,18.0,+1.0
18,,Joe MixonJ. Mixon CIN,RB10,9,6,42,18.0,4.7,17.0,-1.0
19,,Mike EvansM. Evans TB,WR8,7,4,31,18.4,3.9,20.0,+1.0
20,,Todd GurleyT. Gurley LAR,RB11,9,5,50,21.3,7.9,14.0,-6.0
21,,Keenan AllenK. Allen LAC,WR9,12,16,32,21.9,4.3,23.0,+2.0
Tier 4,
22,,Antonio BrownA. Brown OAK,WR10,6,11,45,24.7,7.3,21.0,-1.0
23,,T.Y. HiltonT. Hilton IND,WR11,6,18,44,25.5,4.8,30.0,+7.0
24,,Adam ThielenA. Thielen MIN,WR12,12,10,43,26.6,4.6,26.0,+2.0
25,,George KittleG. Kittle SF,TE2,4,8,53,26.7,6.4,32.0,+7.0
26,,Stefon DiggsS. Diggs MIN,WR13,12,17,43,28.5,4.2,35.0,+9.0
27,,Kerryon JohnsonK. Johnson DET,RB12,5,4,61,28.7,8.6,28.0,+1.0
28,,Amari CooperA. Cooper DAL,WR14,8,10,56,29.3,6.2,31.0,+3.0
