Rank,WSID,Running Backs (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Christian McCaffreyC. McCaffrey CAR,,1,1,1.0,0.0
2,,Saquon BarkleyS. Barkley NYG,,2,4,2.1,0.3
3,,Ezekiel ElliottE. Elliott DAL,,2,5,3.4,0.6
4,,Dalvin CookD. Cook MIN,,2,5,3.9,0.7
Tier 2,
5,,Alvin KamaraA. Kamara NO,,3,9,5.7,1.2
6,,Derrick HenryD. Henry TEN,,3,12,7.1,1.6
7,,Aaron JonesA. Jones GB,,5,11,7.2,1.4
8,,Joe MixonJ. Mixon CIN,,3,13,7.9,1.9
Tier 3,
9,,Nick ChubbN. Chubb CLE,,6,14,9.4,1.9
10,,Leonard FournetteL. Fournette JAC,,6,18,10.1,2.0
11,,Josh JacobsJ. Jacobs OAK,,9,17,11.1,1.3
12,,Austin EkelerA. Ekeler LAC,,5,19,11.9,2.5
13,,Todd GurleyT. Gurley LAR,,9,23,14.0,2.5
14,,Miles SandersM. Sanders PHI,,10,18,14.1,2.0
15,,Kenyan DrakeK. Drake ARI,,9,24,16.1,2.9
Tier 4,
16,,Chris CarsonC. Carson SEA,,11,23,16.4,2.0
17,,Melvin GordonM. Gordon LAC,,11,25,17.1,3.2
18,,Le'Veon BellL. Bell NYJ,,11,28,18.2,2.4
19,,Mark Ingram IIM. Ingram BAL,,13,27,18.6,2.6
20,,Devin SingletaryD. Singletary BUF,,12,25,19.7,2.2
21,,Kerryon JohnsonK. Johnson DET,,13,29,21.3,3.5
22,,Marlon MackM. Mack IND,,17,26,22.8,2.0
23,,Phillip LindsayP. Lindsay DEN,,20,28,24.0,1.8
24,,James ConnerJ. Conner PIT,,14,31,24.1,2.9
Tier 5,
25,,James WhiteJ. White NE,,20,38,26.1,2.2
26,,David MontgomeryD. Montgomery CHI,,18,31,26.4,2.2
27,,Kareem HuntK. Hunt CLE,,16,32,26.6,2.7
28,,Devonta FreemanD. Freeman ATL,,20,37,28.6,2.2
29,,Derrius GuiceD. Guice WAS,,21,36,29.9,2.7
30,,Damien WilliamsD. Williams KC,,15,34,29.9,2.8
31,,Ronald Jones IIR. Jones TB,,22,58,30.8,2.5
32,,Tarik CohenT. Cohen CHI,,31,53,32.9,1.8
33,,David JohnsonD. Johnson ARI,,20,44,34.1,3.1
