Rank,WSID,Tight Ends (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
Tier 2,
1,,Travis KelceT. Kelce KC,12,1,2,1.0,0.0,1.0,0.0
2,,Zach ErtzZ. Ertz PHI,10,2,5,2.4,0.6,2.0,0.0
3,,George KittleG. Kittle SF,4,2,12,2.9,0.5,3.0,0.0
Tier 3,
4,,O.J. HowardO. Howard TB,7,2,15,5.1,1.4,4.0,0.0
5,,Hunter HenryH. Henry LAC,12,2,11,5.4,1.3,7.0,+2.0
6,,Evan EngramE. Engram NYG,11,4,11,6.1,1.8,6.0,0.0
7,,Eric EbronE. Ebron IND,6,2,17,7.9,1.8,5.0,-2.0
8,,Jared CookJ. Cook NO,9,3,20,8.3,3.1,8.0,0.0
9,,David NjokuD. Njoku CLE,7,2,14,9.1,2.0,9.0,0.0
Tier 4,
10,,Delanie WalkerD. Walker TEN,11,6,29,12.4,3.2,15.0,+5.0
11,,Austin HooperA. Hooper ATL,9,6,23,12.9,3.3,10.0,-1.0
12,,Trey BurtonT. Burton CHI,6,7,21,13.9,3.0,12.0,0.0
13,,Jack DoyleJ. Doyle IND,6,6,23,14.1,3.9,23.0,+10.0
14,,Vance McDonaldV. McDonald PIT,7,6,24,14.3,4.2,11.0,-3.0
15,,Jordan ReedJ. Reed WAS,10,7,27,15.9,3.7,17.0,+2.0
16,,Chris Herndon IVC. Herndon NYJ,4,6,20,14.1,3.2,13.0,-3.0
17,,Greg OlsenG. Olsen CAR,7,4,34,17.6,4.4,19.0,+2.0
18,,Kyle RudolphK. Rudolph MIN,12,9,31,18.5,3.2,18.0,0.0
19,,Jimmy GrahamJ. Graham GB,11,7,27,19.2,3.1,22.0,+3.0
Tier 5,
20,,Mike GesickiM. Gesicki MIA,5,10,33,23.2,3.6,28.0,+8.0
21,,T.J. HockensonT. Hockenson DET,5,10,62,20.9,8.8,14.0,-7.0
22,,Dallas GoedertD. Goedert PHI,10,15,30,23.3,3.4,21.0,-1.0
23,,Noah FantN. Fant DEN,10,9,32,21.3,5.6,16.0,-7.0
24,,Mark AndrewsM. Andrews BAL,8,16,37,24.9,4.3,25.0,+1.0
25,,Tyler EifertT. Eifert CIN,9,13,34,26.8,4.3,24.0,-1.0
26,,Gerald EverettG. Everett LAR,9,18,35,24.7,3.0,36.0,+10.0
27,,Austin Seferian-JenkinsA. Seferian-Jenkins NE,10,14,44,25.4,6.6,20.0,-7.0
28,,Cameron BrateC. Brate TB,7,23,45,28.6,4.7,29.0,+1.0
29,,Hayden HurstH. Hurst BAL,8,20,54,29.6,5.6,32.0,+3.0
30,,Ricky Seals-JonesR. Seals-Jones ARI,12,18,67,31.6,7.5,41.0,+11.0
Tier 6,
31,,Ian ThomasI. Thomas CAR,7,23,49,30.7,5.1,27.0,-4.0
32,,Nick VannettN. Vannett SEA,11,24,60,35.4,6.6,48.0,+16.0
33,,Jason WittenJ. Witten DAL,8,18,45,31.5,6.0,30.0,-3.0
34,,Charles ClayC. Clay ARI,12,19,62,35.8,6.8,45.0,+11.0
35,,Jonnu SmithJ. Smith TEN,11,27,68,36.7,8.7,34.0,-1.0
36,,Jake ButtJ. Butt DEN,10,29,55,36.3,7.1,,
37,,Irv Smith Jr.I. Smith MIN,12,24,64,37.4,7.2,26.0,-11.0
Tier 7,
38,,Will DisslyW. Dissly SEA,11,23,48,34.9,6.9,33.0,-5.0
39,,Jace SternbergerJ. Sternberger GB,11,25,64,40.0,9.6,31.0,-8.0
40,,Luke WillsonL. Willson OAK,6,26,67,40.1,9.2,,
41,,Blake JarwinB. Jarwin DAL,8,27,63,39.1,7.8,39.0,-2.0
42,,Jesse JamesJ. James DET,5,21,52,42.3,6.5,35.0,-7.0
43,,Tyler HigbeeT. Higbee LAR,9,29,53,43.3,4.1,60.0,+17.0
44,,C.J. UzomahC. Uzomah CIN,9,20,56,39.8,9.0,37.0,-7.0
45,,Adam ShaheenA. Shaheen CHI,6,24,56,43.9,6.4,54.0,+9.0
46,,Vernon DavisV. Davis WAS,10,30,60,46.1,7.2,61.0,+15.0
47,,Geoff SwaimG. Swaim JAC,10,20,47,37.6,7.3,56.0,+9.0
48,,Jordan ThomasJ. Thomas HOU,10,30,59,47.4,6.0,51.0,+3.0
49,,Tyler KroftT. Kroft BUF,6,29,52,42.6,5.1,42.0,-7.0
50,,Ryan GriffinR. Griffin FA,,30,51,45.4,4.4,,
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Josh HillJ. Hill NO,9,36,71,51.7,7.7,,
Tier 8,
52,,Josh OliverJ. Oliver JAC,10,24,63,46.2,11.1,38.0,-14.0
53,,Kahale WarringK. Warring HOU,10,36,74,52.3,13.4,46.0,-7.0
54,,Dawson KnoxD. Knox BUF,6,32,85,53.7,17.5,40.0,-14.0
55,,Jason CroomJ. Croom BUF,6,50,95,64.4,15.0,,
56,,Jeff HeuermanJ. Heuerman DEN,10,39,65,49.6,8.6,43.0,-13.0
57,,Demetrius HarrisD. Harris CLE,7,44,66,51.4,7.7,55.0,-2.0
58,,Darren WallerD. Waller OAK,6,33,49,40.0,6.4,44.0,-14.0
59,,Ed DicksonE. Dickson SEA,11,27,61,53.6,9.0,,
60,,Jaylen SamuelsJ. Samuels PIT,7,11,37,22.7,10.8,,
61,,Foster MoreauF. Moreau OAK,6,26,89,64.7,16.5,52.0,-9.0
62,,Dan ArnoldD. Arnold NO,9,48,90,65.0,15.1,,
63,,Jordan AkinsJ. Akins HOU,10,46,74,58.4,10.4,,
64,,Rhett EllisonR. Ellison NYG,11,39,82,57.0,17.3,,
65,,Rob GronkowskiR. Gronkowski FA,,9,15,12.0,3.0,47.0,-18.0
66,,Mo Alie-CoxM. Alie-Cox IND,6,51,76,66.8,8.4,,
67,,Garrett CelekG. Celek SF,4,56,76,67.4,9.0,,
68,,Virgil GreenV. Green LAC,12,58,79,67.4,7.3,,
69,,Nick BoyleN. Boyle BAL,8,49,68,59.0,7.0,,
70,,James O'ShaughnessyJ. O'Shaughnessy JAC,10,52,70,59.8,7.2,,
71,,Anthony FirkserA. Firkser TEN,11,51,82,69.8,11.0,,
72,,Maxx WilliamsM. Williams ARI,12,46,81,63.5,12.5,,
73,,Jordan LeggettJ. Leggett NYJ,4,56,72,64.3,5.8,,
74,,Michael RobertsM. Roberts DET,5,61,87,72.0,9.4,,
75,,Benjamin WatsonB. Watson NE,10,26,28,27.0,1.0,53.0,-22.0
Tier 9,
76,,Dwayne AllenD. Allen MIA,5,53,59,55.7,2.5,,
77,,Blake BellB. Bell KC,12,48,69,57.0,8.8,,
78,,Luke StockerL. Stocker ATL,9,40,90,69.3,19.1,,
79,,Drew SampleD. Sample CIN,9,36,88,69.8,20.0,50.0,-29.0
80,,Jeremy SprinkleJ. Sprinkle WAS,10,57,99,77.0,14.3,,
81,,Dalton SchultzD. Schultz DAL,8,63,76,70.8,4.8,,
82,,Xavier GrimbleX. Grimble PIT,7,47,75,60.3,11.5,,
83,,Matt LaCosseM. LaCosse NE,10,62,79,73.0,6.6,,
84,,Nick O'LearyN. O'Leary MIA,5,64,93,79.5,10.5,,
85,,Deon YelderD. Yelder KC,12,58,83,73.3,11.0,,
86,,Logan PaulsenL. Paulsen ATL,9,61,91,74.0,12.6,,
87,,Stephen AndersonS. Anderson NE,10,59,66,62.5,3.5,,
88,,Jacob HollisterJ. Hollister SEA,11,68,96,79.3,12.0,,
89,,Antony AuclairA. Auclair TB,7,69,98,86.0,10.6,,
90,,Scott SimonsonS. Simonson NYG,11,77,88,82.0,4.5,,
91,,Tyler ConklinT. Conklin NE,10,51,94,72.5,21.5,,
92,,Derek CarrierD. Carrier OAK,6,70,102,88.0,12.0,,
93,,Eric SaubertE. Saubert ATL,9,65,84,74.5,9.5,,
Tier 10,
94,,Seth DeValveS. DeValve CLE,7,69,87,78.0,9.0,,
95,,Clive WalfordC. Walford MIA,5,76,86,81.0,5.0,,
96,,Durham SmytheD. Smythe MIA,5,77,85,81.0,4.0,,
97,,Rico GathersR. Gathers DAL,8,70,94,82.0,12.0,,
98,,Troy FumagalliT. Fumagalli DEN,10,75,92,83.5,8.5,,
99,,David MorganD. Morgan MIN,12,84,96,90.7,5.0,,
100,,Zach GentryZ. Gentry PIT,7,80,91,85.5,5.5,62.0,-38.0
101,,Neal SterlingN. Sterling NYJ,4,83,98,91.7,6.3,,
102,,Marcedes LewisM. Lewis GB,11,84,106,94.3,9.0,,
103,,Sean CulkinS. Culkin LAC,12,86,99,92.5,6.5,,
104,,Chris ManhertzC. Manhertz CAR,7,91,97,94.0,3.0,,
105,,Richard RodgersR. Rodgers PHI,10,92,97,94.5,2.5,,
106,,Kaden SmithK. Smith SF,4,90,100,95.0,5.0,,
107,,Ben BrauneckerB. Braunecker CHI,6,97,101,99.0,2.0,,
108,,Robert TonyanR. Tonyan GB,11,100,104,102.0,2.0,,
