Rank,WSID,Tight Ends (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Travis KelceT. Kelce KC,,1,2,1.4,0.5
2,,George KittleG. Kittle SF,,1,4,1.6,0.5
3,,Zach ErtzZ. Ertz PHI,,3,8,3.6,0.7
Tier 2,
4,,Mark AndrewsM. Andrews BAL,,3,6,4.1,0.6
5,,Austin HooperA. Hooper ATL,,2,11,4.9,1.1
6,,Darren WallerD. Waller OAK,,3,7,6.0,0.8
7,,Evan EngramE. Engram NYG,,5,10,7.4,1.5
8,,Hunter HenryH. Henry LAC,,6,9,7.6,0.7
Tier 3,
9,,Jared CookJ. Cook NO,,8,11,9.4,1.0
10,,Tyler HigbeeT. Higbee LAR,,7,18,10.4,1.3
11,,Dallas GoedertD. Goedert PHI,,10,28,12.1,2.0
12,,Noah FantN. Fant DEN,,8,19,12.9,0.8
13,,Will DisslyW. Dissly SEA,,10,18,13.7,2.5
14,,T.J. HockensonT. Hockenson DET,,12,18,14.1,0.6
15,,Mike GesickiM. Gesicki MIA,,9,22,14.9,3.3
Tier 4,
16,,O.J. HowardO. Howard TB,,5,22,16.4,3.1
17,,David NjokuD. Njoku CLE,,12,30,16.6,2.1
18,,Jonnu SmithJ. Smith TEN,,16,32,18.7,1.8
19,,Jack DoyleJ. Doyle IND,,14,27,19.3,2.7
20,,Eric EbronE. Ebron IND,,16,32,19.7,2.2
21,,Kyle RudolphK. Rudolph MIN,,16,26,20.7,0.9
22,,Ian ThomasI. Thomas CAR,,17,24,22.0,1.8
23,,Irv Smith Jr.I. Smith MIN,,17,31,22.4,1.0
24,,Chris Herndon IVC. Herndon NYJ,,13,34,24.3,2.4
Tier 5,
25,,Jacob HollisterJ. Hollister SEA,,15,41,28.4,5.9
26,,Dawson KnoxD. Knox BUF,,20,34,28.7,2.9
27,,Blake JarwinB. Jarwin DAL,,22,33,27.0,4.2
28,,Gerald EverettG. Everett LAR,,25,37,29.4,4.4
29,,Vance McDonaldV. McDonald PIT,,14,38,29.9,3.6
30,,Delanie WalkerD. Walker TEN,,23,40,30.6,4.8
31,,Cameron BrateC. Brate TB,,25,37,30.9,3.0
32,,Trey BurtonT. Burton CHI,,25,53,33.9,8.2
33,,Greg OlsenG. Olsen CAR,,21,42,32.7,3.9
34,,Jimmy GrahamJ. Graham GB,,26,42,35.4,3.2
35,,Jordan AkinsJ. Akins HOU,,27,36,32.4,3.7
Tier 6,
36,,Jason WittenJ. Witten DAL,,20,43,36.6,3.4
37,,Tyler EifertT. Eifert CIN,,30,39,36.6,1.9
38,,Darren FellsD. Fells HOU,,28,41,35.0,5.6
39,,Josh OliverJ. Oliver JAC,,29,44,37.6,4.9
40,,Jace SternbergerJ. Sternberger GB,,23,34,28.5,5.5
41,,Ryan GriffinR. Griffin NYJ,,26,33,29.5,3.5
42,,Jordan ReedJ. Reed WAS,,29,40,35.0,4.5
43,,Hayden HurstH. Hurst BAL,,38,49,40.8,4.2
Tier 7,
44,,Charles ClayC. Clay ARI,,40,64,52.0,12.0
45,,Drew SampleD. Sample CIN,,41,94,59.3,24.5
46,,Nick VannettN. Vannett PIT,,42,76,59.0,17.0
