Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,DeAndre HopkinsD. Hopkins HOU,10,1,5,1.6,1.1,1.0,0.0
2,,Davante AdamsD. Adams GB,11,1,7,2.8,1.7,2.0,0.0
3,,Julio JonesJ. Jones ATL,9,1,7,3.6,1.1,4.0,+1.0
4,,Michael ThomasM. Thomas NO,9,1,12,4.4,1.8,3.0,-1.0
5,,Odell Beckham Jr.O. Beckham CLE,7,1,9,4.4,1.8,5.0,0.0
Tier 2,
6,,JuJu Smith-SchusterJ. Smith-Schuster PIT,7,1,21,6.1,2.2,6.0,0.0
7,,Antonio BrownA. Brown OAK,6,1,9,6.7,1.2,7.0,0.0
8,,Mike EvansM. Evans TB,7,5,14,8.3,1.6,8.0,0.0
Tier 3,
9,,A.J. GreenA. Green CIN,9,6,16,9.8,1.8,14.0,+5.0
10,,Keenan AllenK. Allen LAC,12,5,14,10.0,2.0,10.0,0.0
11,,T.Y. HiltonT. Hilton IND,6,4,15,10.9,1.7,11.0,0.0
12,,Amari CooperA. Cooper DAL,8,8,19,11.3,2.0,13.0,+1.0
13,,Stefon DiggsS. Diggs MIN,12,10,18,13.3,1.1,12.0,-1.0
14,,Adam ThielenA. Thielen MIN,12,9,19,13.3,2.1,9.0,-5.0
15,,Brandin CooksB. Cooks LAR,9,10,25,16.4,2.2,15.0,0.0
Tier 4,
16,,Robert WoodsR. Woods LAR,9,13,34,17.3,3.2,17.0,+1.0
17,,Kenny GolladayK. Golladay DET,5,13,58,17.7,2.1,16.0,-1.0
18,,Julian EdelmanJ. Edelman NE,10,12,45,19.3,4.0,19.0,+1.0
19,,Cooper KuppC. Kupp LAR,9,15,43,20.7,3.7,20.0,+1.0
20,,Allen RobinsonA. Robinson CHI,6,16,36,22.4,4.1,27.0,+7.0
21,,Alshon JefferyA. Jeffery PHI,10,14,30,22.7,2.6,29.0,+8.0
22,,Chris GodwinC. Godwin TB,7,16,51,24.2,5.3,23.0,+1.0
23,,Jarvis LandryJ. Landry CLE,7,13,33,24.3,4.7,21.0,-2.0
24,,D.J. MooreD. Moore CAR,7,18,52,25.2,3.3,24.0,0.0
25,,Sammy WatkinsS. Watkins KC,12,15,55,25.9,4.7,30.0,+5.0
26,,Corey DavisC. Davis TEN,11,17,41,26.3,5.9,31.0,+5.0
27,,Tyler LockettT. Lockett SEA,11,15,49,26.5,4.9,26.0,-1.0
28,,Calvin RidleyC. Ridley ATL,9,20,59,26.5,3.4,22.0,-6.0
Tier 5,
29,,Tyler BoydT. Boyd CIN,9,19,47,30.1,6.4,25.0,-4.0
30,,Mike WilliamsM. Williams LAC,12,24,57,30.7,3.9,28.0,-2.0
31,,Robby AndersonR. Anderson NYJ,4,19,43,31.1,4.6,34.0,+3.0
32,,Golden TateG. Tate NYG,11,16,48,33.2,3.5,35.0,+3.0
33,,Marvin JonesM. Jones DET,5,23,44,33.4,3.7,38.0,+5.0
34,,Will FullerW. Fuller HOU,10,24,63,34.9,3.3,32.0,-2.0
35,,Dante PettisD. Pettis SF,4,16,47,36.2,5.1,33.0,-2.0
36,,Sterling ShepardS. Shepard NYG,11,27,47,36.5,3.8,39.0,+3.0
37,,Courtland SuttonC. Sutton DEN,10,27,61,38.6,4.1,36.0,-1.0
38,,Christian KirkC. Kirk ARI,12,25,77,39.1,5.3,37.0,-1.0
Tier 6,
39,,Keke CouteeK. Coutee HOU,10,31,57,42.2,5.1,47.0,+8.0
40,,Larry FitzgeraldL. Fitzgerald ARI,12,12,64,42.4,9.2,43.0,+3.0
41,,Dede WestbrookD. Westbrook JAC,10,22,62,43.6,5.0,45.0,+4.0
42,,Anthony MillerA. Miller CHI,6,33,67,45.9,6.9,48.0,+6.0
43,,Curtis SamuelC. Samuel CAR,7,30,58,44.4,4.7,49.0,+6.0
44,,Emmanuel SandersE. Sanders DEN,10,27,75,49.9,10.1,40.0,-4.0
45,,John BrownJ. Brown BUF,6,39,73,51.8,5.9,72.0,+27.0
46,,Michael GallupM. Gallup DAL,8,39,79,49.4,7.6,69.0,+23.0
47,,Geronimo AllisonG. Allison GB,11,24,86,50.5,12.2,52.0,+5.0
48,,DeSean JacksonD. Jackson PHI,10,39,87,54.1,7.8,56.0,+8.0
49,,Kenny StillsK. Stills MIA,5,36,85,55.1,8.7,68.0,+19.0
50,,James WashingtonJ. Washington PIT,7,34,72,53.2,8.6,41.0,-9.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
Tier 7,
