Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Michael ThomasM. Thomas NO,,1,1,1.0,0.0
2,,Davante AdamsD. Adams GB,,2,6,2.4,0.8
3,,DeAndre HopkinsD. Hopkins ARI,,2,15,3.5,1.1
4,,Julio JonesJ. Jones ATL,,2,9,4.1,1.1
Tier 2,
5,,Tyreek HillT. Hill KC,,2,10,4.9,1.3
6,,Chris GodwinC. Godwin TB,,3,7,5.4,1.0
7,,Mike EvansM. Evans TB,,6,19,9.0,2.1
8,,Amari CooperA. Cooper DAL,,7,18,9.7,2.8
Tier 3,
9,,Kenny GolladayK. Golladay DET,,6,22,10.0,3.6
10,,Odell Beckham Jr.O. Beckham CLE,,4,21,11.6,2.8
11,,D.J. MooreD. Moore CAR,,4,19,11.8,3.1
12,,Allen RobinsonA. Robinson CHI,,8,18,11.9,2.4
13,,JuJu Smith-SchusterJ. Smith-Schuster PIT,,6,31,14.7,4.7
14,,Courtland SuttonC. Sutton DEN,,8,22,14.8,3.1
15,,Keenan AllenK. Allen LAC,,10,30,15.3,4.0
16,,Cooper KuppC. Kupp LAR,,6,28,16.4,4.8
Tier 4,
17,,A.J. BrownA. Brown TEN,,8,26,17.0,4.0
18,,Adam ThielenA. Thielen MIN,,7,31,17.1,4.8
19,,DeVante ParkerD. Parker MIA,,12,29,19.7,3.6
20,,Calvin RidleyC. Ridley ATL,,12,27,20.3,3.8
21,,Stefon DiggsS. Diggs BUF,,10,32,21.0,3.9
22,,Robert WoodsR. Woods LAR,,13,29,21.3,3.3
23,,Tyler LockettT. Lockett SEA,,11,35,23.3,4.5
24,,T.Y. HiltonT. Hilton IND,,13,33,24.0,4.4
25,,D.J. CharkD. Chark JAC,,16,31,24.6,3.7
Tier 5,
26,,A.J. GreenA. Green CIN,,12,36,25.9,6.0
27,,D.K. MetcalfD. Metcalf SEA,,20,34,26.1,2.5
28,,Terry McLaurinT. McLaurin WAS,,19,34,26.9,2.9
29,,Jarvis LandryJ. Landry CLE,,13,46,29.3,4.2
30,,Michael GallupM. Gallup DAL,,19,36,29.7,3.9
31,,Julian EdelmanJ. Edelman NE,,20,47,30.4,3.7
32,,Deebo SamuelD. Samuel SF,,21,38,31.4,3.0
33,,Tyler BoydT. Boyd CIN,,23,39,32.1,2.7
34,,Will FullerW. Fuller HOU,,25,66,35.4,5.7
35,,John BrownJ. Brown BUF,,31,49,37.3,4.2
Tier 6,
36,,Marquise BrownM. Brown BAL,,30,47,37.5,3.4
37,,Christian KirkC. Kirk ARI,,26,56,38.2,5.0
38,,Sterling ShepardS. Shepard NYG,,31,53,40.2,3.4
39,,Marvin JonesM. Jones DET,,34,59,41.5,4.4
40,,Mike WilliamsM. Williams LAC,,34,55,42.1,4.5
41,,Emmanuel SandersE. Sanders NO,,30,57,43.0,4.4
42,,Alshon JefferyA. Jeffery PHI,,32,69,43.6,5.3
43,,Jamison CrowderJ. Crowder NYJ,,29,58,43.9,6.4
44,,Anthony MillerA. Miller CHI,,31,71,44.4,5.1
45,,Robby AndersonR. Anderson CAR,,36,55,44.7,4.3
46,,Brandin CooksB. Cooks HOU,,17,60,45.1,6.9
47,,Darius SlaytonD. Slayton NYG,,28,59,45.5,6.3
48,,Diontae JohnsonD. Johnson PIT,,37,62,48.8,5.9
49,,Curtis SamuelC. Samuel CAR,,36,71,50.0,5.5

50,,Preston WilliamsP. Williams MIA,,39,60,50.7,4.4
51,,Golden TateG. Tate NYG,,33,65,51.1,5.5
Tier 7,
52,,Sammy WatkinsS. Watkins KC,,42,62,54.4,4.2
53,,Mecole HardmanM. Hardman KC,,38,68,56.7,6.3
54,,Breshad PerrimanB. Perriman NYJ,,28,82,57.8,7.4
55,,Dede WestbrookD. Westbrook JAC,,47,76,58.0,6.3
56,,John RossJ. Ross CIN,,40,77,59.0,6.5
57,,Kenny StillsK. Stills HOU,,42,77,59.1,8.1
58,,Tyrell WilliamsT. Williams LV,,51,79,59.3,5.5
59,,Hunter RenfrowH. Renfrow LV,,41,74,60.4,8.1
60,,N'Keal HarryN. Harry NE,,50,75,59.8,6.0
61,,James WashingtonJ. Washington PIT,,49,73,63.2,4.6
62,,DeSean JacksonD. Jackson PHI,,43,77,60.4,6.8
63,,Larry FitzgeraldL. Fitzgerald ARI,,48,74,64.1,5.1
64,,Cole BeasleyC. Beasley BUF,,45,76,64.1,6.5
65,,Parris CampbellP. Campbell IND,,53,78,64.9,5.1
66,,Corey DavisC. Davis TEN,,43,75,63.0,5.7
67,,Allen LazardA. Lazard GB,,51,83,71.5,5.9
68,,Randall CobbR. Cobb HOU,,41,76,65.7,7.2
Tier 8,
69,,Mohamed SanuM. Sanu NE,,56,114,73.4,9.7
70,,Andy IsabellaA. Isabella ARI,,48,87,73.2,4.7
71,,Danny AmendolaD. Amendola DET,,62,111,75.8,8.2
72,,Albert WilsonA. Wilson MIA,,52,110,75.9,8.1
73,,Chris ConleyC. Conley JAC,,59,82,74.1,3.5
74,,Devin FunchessD. Funchess GB,,57,97,79.9,7.6

75,,Tre'Quan SmithT. Smith NO,,63,99,77.8,5.5
76,,Zach PascalZ. Pascal IND,,69,105,87.3,9.2
77,,Auden TateA. Tate CIN,,71,93,81.4,5.5
78,,Nelson AgholorN. Agholor LV,,71,110,82.3,8.4
79,,Miles BoykinM. Boykin BAL,,65,102,86.5,8.3
80,,Kelvin HarmonK. Harmon WAS,,68,97,82.0,7.0
81,,DaeSean HamiltonD. Hamilton DEN,,71,113,85.0,7.9
82,,J.J. Arcega-WhitesideJ. Arcega-Whiteside PHI,,73,101,85.8,6.6
83,,Taylor GabrielT. Gabriel FA,,67,115,82.9,11.9
84,,Jalen HurdJ. Hurd SF,,66,105,89.8,6.8
Tier 9,
85,,David MooreD. Moore SEA,,77,121,89.4,9.0
86,,Adam HumphriesA. Humphries TEN,,76,104,90.0,6.2
87,,Demarcus RobinsonD. Robinson KC,,72,110,90.5,7.7
88,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,,78,139,91.6,12.1
89,,Jakobi MeyersJ. Meyers NE,,67,102,89.7,6.5
90,,Antonio BrownA. Brown FA,,38,131,84.5,19.9
91,,Willie SneadW. Snead BAL,,76,141,94.2,12.1
92,,Steven SimsS. Sims WAS,,62,112,91.3,11.5
93,,Phillip DorsettP. Dorsett SEA,,76,110,92.5,8.2
94,,Keke CouteeK. Coutee HOU,,70,144,92.7,12.8
95,,Josh ReynoldsJ. Reynolds LAR,,57,122,95.4,10.6
96,,CeeDee LambC. Lamb FA,,34,116,56.0,24.8
97,,Jerry JeudyJ. Jeudy FA,,36,117,57.1,25.1
98,,Russell GageR. Gage ATL,,75,114,98.3,10.0
99,,Greg WardG. Ward PHI,,78,126,100.3,10.6

100,,Keelan ColeK. Cole JAC,,92,120,100.3,6.2
101,,Demaryius ThomasD. Thomas FA,,83,131,101.9,12.1
102,,Kendrick BourneK. Bourne SF,,85,116,104.6,5.9
103,,Henry Ruggs IIIH. Ruggs FA,,51,120,74.5,20.4
104,,Geronimo AllisonG. Allison DET,,89,128,102.9,7.8
105,,Ted GinnT. Ginn NO,,82,133,106.3,9.3
106,,Tee HigginsT. Higgins FA,,54,118,74.5,20.6
107,,Justin JeffersonJ. Jefferson FA,,37,119,75.7,21.9
108,,Justin WatsonJ. Watson TB,,93,115,105.6,5.9
109,,Dante PettisD. Pettis SF,,78,120,106.0,5.6
110,,Marquise GoodwinM. Goodwin SF,,84,121,110.3,4.9
111,,Zay JonesZ. Jones LV,,83,152,111.8,11.0
112,,KeeSean JohnsonK. Johnson ARI,,80,140,109.7,10.6
113,,Laviska Shenault Jr.L. Shenault FA,,58,121,82.7,17.6
114,,Quincy EnunwaQ. Enunwa NYJ,,82,123,112.0,5.5
115,,Josh GordonJ. Gordon FA,,61,134,111.1,13.1
Tier 10,
