Rank,WSID,Quarterbacks (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Patrick MahomesP. Mahomes KC,12,1,10,1.6,1.0,1.0,0.0
2,,Andrew LuckA. Luck IND,6,1,5,2.6,1.0,2.0,0.0
3,,Deshaun WatsonD. Watson HOU,10,1,6,3.1,1.1,4.0,+1.0
4,,Aaron RodgersA. Rodgers GB,11,1,7,3.3,1.1,3.0,-1.0
Tier 2,
5,,Baker MayfieldB. Mayfield CLE,7,1,19,6.2,2.3,6.0,+1.0
6,,Russell WilsonR. Wilson SEA,11,1,19,7.4,2.9,7.0,+1.0
7,,Matt RyanM. Ryan ATL,9,3,17,7.9,2.5,5.0,-2.0
8,,Drew BreesD. Brees NO,9,5,24,9.4,2.5,8.0,0.0
9,,Cam NewtonC. Newton CAR,7,2,20,9.6,3.5,9.0,0.0
Tier 3,
10,,Carson WentzC. Wentz PHI,10,5,20,10.6,2.8,10.0,0.0
11,,Jameis WinstonJ. Winston TB,7,6,21,11.3,2.9,15.0,+4.0
12,,Jared GoffJ. Goff LAR,9,6,18,11.8,2.8,12.0,0.0
13,,Kyler MurrayK. Murray ARI,12,5,28,14.3,4.3,11.0,-2.0
14,,Ben RoethlisbergerB. Roethlisberger PIT,7,5,22,14.4,3.4,14.0,0.0
15,,Dak PrescottD. Prescott DAL,8,8,23,14.8,2.9,22.0,+7.0
16,,Philip RiversP. Rivers LAC,12,11,22,15.6,2.9,17.0,+1.0
Tier 4,
17,,Lamar JacksonL. Jackson BAL,8,4,23,16.4,3.5,19.0,+2.0
18,,Mitch TrubiskyM. Trubisky CHI,6,6,25,17.3,2.7,18.0,0.0
19,,Josh AllenJ. Allen BUF,6,6,23,18.0,3.6,23.0,+4.0
20,,Tom BradyT. Brady NE,10,9,23,19.3,2.2,13.0,-7.0
21,,Kirk CousinsK. Cousins MIN,12,11,25,19.7,3.1,16.0,-5.0
22,,Jimmy GaroppoloJ. Garoppolo SF,4,12,29,20.1,3.1,21.0,-1.0
23,,Sam DarnoldS. Darnold NYJ,4,19,32,24.0,1.7,26.0,+3.0
24,,Matthew StaffordM. Stafford DET,5,17,28,24.3,2.3,20.0,-4.0
25,,Derek CarrD. Carr OAK,6,17,29,24.4,1.8,25.0,0.0
26,,Andy DaltonA. Dalton CIN,9,19,29,25.1,2.1,29.0,+3.0
27,,Marcus MariotaM. Mariota TEN,11,23,30,26.7,1.3,28.0,+1.0
28,,Nick FolesN. Foles JAC,10,23,33,27.9,1.5,24.0,-4.0
Tier 5,
29,,Eli ManningE. Manning NYG,11,24,34,30.3,1.3,31.0,+2.0
30,,Joe FlaccoJ. Flacco DEN,10,26,32,29.8,1.2,34.0,+4.0
31,,Josh RosenJ. Rosen MIA,5,18,34,30.8,1.8,30.0,-1.0
32,,Dwayne HaskinsD. Haskins WAS,10,26,38,31.2,2.0,27.0,-5.0
33,,Case KeenumC. Keenum WAS,10,29,64,34.2,5.1,33.0,0.0
34,,Ryan FitzpatrickR. Fitzpatrick MIA,5,25,51,33.5,3.1,32.0,-2.0
35,,Ryan TannehillR. Tannehill TEN,11,29,63,36.9,5.2,36.0,+1.0
Tier 6,
36,,Blake BortlesB. Bortles LAR,9,32,51,39.4,5.2,37.0,+1.0
37,,Daniel JonesD. Jones NYG,11,34,55,38.2,6.5,38.0,+1.0
38,,Teddy BridgewaterT. Bridgewater NO,9,34,57,40.2,6.3,,
39,,Drew LockD. Lock DEN,10,29,42,37.4,2.5,35.0,-4.0
40,,Will GrierW. Grier CAR,7,36,50,40.8,3.3,,
41,,Nick MullensN. Mullens SF,4,35,60,41.3,6.8,39.0,-2.0
42,,Jacoby BrissettJ. Brissett IND,6,34,59,41.7,7.5,,
43,,Robert GriffinR. Griffin BAL,8,35,53,41.3,5.2,,
44,,DeShone KizerD. Kizer GB,11,36,56,45.3,6.2,,
45,,Taysom HillT. Hill NO,9,34,73,42.9,11.6,,
46,,AJ McCarronA. McCarron HOU,10,33,54,45.8,7.4,,
47,,Nate SudfeldN. Sudfeld PHI,10,35,58,44.3,8.6,,
48,,Matt BarkleyM. Barkley BUF,6,36,49,44.4,4.2,,
49,,Tyrod TaylorT. Taylor LAC,12,36,63,48.3,9.1,,
Tier 7,
50,,Brett HundleyB. Hundley ARI,12,33,54,43.8,7.5,,
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Chase DanielC. Daniel CHI,6,38,48,44.3,3.9,,
