Rank,WSIT,Rookies (Team),Pos,Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Jonathan TaylorJ. Taylor Wisconsin,RB1,,,1,5,1.5,0.9
2,,D'Andre SwiftD. Swift Georgia,RB2,,,1,4,2.1,0.8
3,,CeeDee LambC. Lamb Oklahoma,WR1,,,2,6,4.0,1.2
4,,Jerry JeudyJ. Jeudy Alabama,WR2,,,1,8,4.1,2.0
5,,J.K. DobbinsJ. Dobbins Ohio St.,RB3,,,2,13,4.2,0.8
6,,Cam AkersC. Akers Florida St.,RB4,,,4,17,8.1,3.7
7,,Clyde Edwards-HelaireC. Edwards-Helaire LSU,RB5,,,5,18,8.5,1.7
8,,Jalen ReagorJ. Reagor TCU,WR3,,,6,20,8.8,3.0
9,,Justin JeffersonJ. Jefferson LSU,WR4,,,5,15,9.3,2.4
10,,Tee HigginsT. Higgins Clemson,WR5,,,6,16,9.6,2.0
11,,Henry Ruggs IIIH. Ruggs Alabama,WR6,,,2,15,11.3,2.3
12,,Denzel MimsD. Mims Baylor,WR7,,,7,37,14.6,5.2
13,,Laviska Shenault Jr.L. Shenault Colorado,WR8,,,10,40,15.4,7.6
14,,Joe BurrowJ. Burrow LSU,QB1,,,8,27,15.5,3.5
15,,Tua TagovailoaT. Tagovailoa Alabama,QB2,,,10,28,18.7,3.9
16,,Michael Pittman Jr.M. Pittman USC,WR9,,,9,41,21.0,5.7
17,,Ke'Shawn VaughnK. Vaughn Vanderbilt,RB6,,,13,38,21.0,7.4
18,,Zack MossZ. Moss Utah,RB7,,,9,56,24.1,11.3
19,,Bryan EdwardsB. Edwards South Carolina,WR10,,,12,54,24.1,10.5
20,,Donovan Peoples-JonesD. Peoples-Jones Michigan,WR11,,,7,36,24.7,6.3
21,,Tyler JohnsonT. Johnson Minnesota,WR12,,,16,47,25.1,7.9
22,,KJ HamlerK. Hamler Penn St.,WR13,,,12,43,25.3,7.5
23,,Brandon AiyukB. Aiyuk Arizona St.,WR14,,,14,45,25.4,8.9
24,,Justin HerbertJ. Herbert Oregon,QB3,,,13,33,25.5,6.1
25,,A.J. DillonA. Dillon Boston College,RB8,,,8,57,26.3,14.2
26,,Eno BenjaminE. Benjamin Arizona State,RB9,,,14,45,27.1,7.4
27,,Antonio Gandy-GoldenA. Gandy-Golden Liberty,WR15,,,8,45,26.6,8.7
28,,Anthony McFarland Jr.A. McFarland Maryland,RB10,,,15,58,30.6,11.3
29,,Jordan LoveJ. Love Utah St.,QB4,,,17,52,35.0,7.2
30,,Jalen HurtsJ. Hurts Oklahoma,QB5,,,16,50,35.2,9.5
31,,Brycen HopkinsB. Hopkins Purdue,TE1,,,23,54,34.7,9.4
32,,Antonio GibsonA. Gibson Mempis,RB11,,,16,49,31.5,10.1
33,,Hunter BryantH. Bryant Washington,TE2,,,24,60,37.1,10.4
34,,Devin DuvernayD. Duvernay Texas,WR16,,,10,57,37.4,7.2
35,,Cole KmetC. Kmet Notre Dame,TE3,,,27,50,38.1,6.5
36,,Albert OkwuegbunamA. Okwuegbunam Missouri,TE4,,,21,53,38.6,9.4
37,,Lamical PerineL. Perine Florida,RB12,,,26,48,39.7,6.1
38,,Darrynton EvansD. Evans Appalachian State,RB13,,,15,57,34.1,11.5
39,,Adam TrautmanA. Trautman Dayton,TE5,,,22,69,43.0,9.4
40,,Lynn Bowden Jr.L. Bowden Kentucky,WR17,,,23,68,40.9,13.2
41,,Chase ClaypoolC. Claypool Notre Dame,WR18,,,20,56,38.0,10.3
42,,Jake FrommJ. Fromm Georgia,QB6,,,18,60,41.5,9.3
43,,Van JeffersonV. Jefferson Florida,WR19,,,24,56,42.3,9.1
