Player,Pos,Tm,Total,avg,gtd,gtd_avg,gtd_pct,OTC_IDs
Russell Wilson,QB,Seahawks,"$140,000,000","$35,000,000","$70,000,000","$17,500,000",50.00%,russell-wilson/1569/
Ben Roethlisberger,QB,Steelers,"$68,000,000","$34,000,000","$37,500,000","$18,750,000",55.10%,ben-roethlisberger/1580/
Aaron Rodgers,QB,Packers,"$134,000,000","$33,500,000","$78,700,000","$19,675,000",58.70%,aaron-rodgers/1085/
Carson Wentz,QB,Eagles,"$128,000,000","$32,000,000","$66,470,683","$16,617,671",51.90%,carson-wentz/4715/
Matt Ryan,QB,Falcons,"$150,000,000","$30,000,000","$94,500,000","$18,900,000",63.00%,matt-ryan/823/
Kirk Cousins,QB,Vikings,"$84,000,000","$28,000,000","$84,000,000","$28,000,000",100.00%,kirk-cousins/1443/
Jimmy Garoppolo,QB,49ers,"$137,500,000","$27,500,000","$48,700,000","$9,740,000",35.40%,jimmy-garoppolo/3001/
Matt Stafford,QB,Lions,"$135,000,000","$27,000,000","$60,500,000","$12,100,000",44.80%,matt-stafford/1060/
Derek Carr,QB,Raiders,"$125,025,000","$25,005,000","$40,000,000","$8,000,000",32.00%,derek-carr/2975/
Drew Brees,QB,Saints,"$50,000,000","$25,000,000","$27,000,000","$13,500,000",54.00%,drew-brees/1492/
Andrew Luck,QB,Colts,"$122,970,000","$24,594,000","$47,000,000","$9,400,000",38.20%,andrew-luck/538/
Alex Smith,QB,Redskins,"$94,000,000","$23,500,000","$55,000,000","$13,750,000",58.50%,alex-smith/784/
Khalil Mack,34OLB,Bears,"$141,000,000","$23,500,000","$60,000,000","$10,000,000",42.60%,khalil-mack/2944/
Tom Brady,QB,Patriots,"$23,000,000","$23,000,000","$22,000,000","$22,000,000",95.70%,tom-brady/1250/
Aaron Donald,34DE,Rams,"$135,000,000","$22,500,000","$50,000,000","$8,333,333",37.00%,aaron-donald/2952/
Joe Flacco,QB,Broncos,"$66,400,000","$22,133,333","$44,000,000","$14,666,667",66.30%,joe-flacco/1383/
Nick Foles,QB,Jaguars,"$88,000,000","$22,000,000","$45,125,000","$11,281,250",51.30%,nick-foles/773/
Eli Manning,QB,Giants,"$84,000,000","$21,000,000","$36,500,000","$9,125,000",43.50%,eli-manning/865/
Demarcus Lawrence,43DE,Cowboys,"$105,000,000","$21,000,000","$48,000,000","$9,600,000",45.70%,demarcus-lawrence/2973/
Philip Rivers,QB,Chargers,"$83,250,000","$20,812,500","$37,500,000","$9,375,000",45.00%,philip-rivers/473/
Frank Clark,43DE,Chiefs,"$104,000,000","$20,800,000","$43,805,000","$8,761,000",42.10%,frank-clark/3911/
Cam Newton,QB,Panthers,"$103,800,000","$20,760,000","$41,000,000","$8,200,000",39.50%,cam-newton/1147/
Michael Thomas,WR,Saints,"$96,250,000","$19,250,000","$35,648,043","$7,129,609",37.00%,michael-thomas/4760/
Von Miller,34OLB,Broncos,"$114,500,000","$19,083,333","$42,000,000","$7,000,000",36.70%,von-miller/2/
Bobby Wagner,ILB,Seahawks,"$54,000,000","$18,000,000","$24,500,000","$8,166,667",45.40%,bobby-wagner/1531/
Trey Flowers,43DE,Lions,"$90,000,000","$18,000,000","$50,000,000","$10,000,000",55.60%,trey-flowers/3949/
"Odell Beckham, Jr.",WR,Browns,"$90,000,000","$18,000,000","$40,959,000","$8,191,800",45.50%,odell-beckham-jr/2951/
Cameron Jordan,43DE,Saints,"$52,600,000","$17,533,333","$27,935,000","$9,311,667",53.10%,cameron-jordan/1481/
Fletcher Cox,43DT,Eagles,"$102,600,000","$17,100,000","$36,299,000","$6,049,833",35.40%,fletcher-cox/1824/
Dee Ford,43DE,49ers,"$85,000,000","$17,000,000","$19,750,000","$3,950,000",23.20%,dee-ford/2962/
Grady Jarrett,43DT,Falcons,"$68,000,000","$17,000,000","$38,000,000","$9,500,000",55.90%,grady-jarrett/3985/
Olivier Vernon,43DE,Browns,"$85,000,000","$17,000,000","$40,000,000","$8,000,000",47.10%,olivier-vernon/711/
C.J. Mosley,ILB,Jets,"$85,000,000","$17,000,000","$43,000,000","$8,600,000",50.60%,c-j-mosley/2956/
Antonio Brown,WR,Raiders,"$50,125,000","$16,708,333","$30,125,000","$10,041,667",60.10%,antonio-brown/1579/
J.J. Watt,34DE,Texans,"$100,000,000","$16,666,667","$20,876,385","$3,479,398",20.90%,j-j-watt/1669/
Za'Darius Smith,34OLB,Packers,"$66,000,000","$16,500,000","$20,000,000","$5,000,000",30.30%,zadarius-smith/3970/
Mike Evans,WR,Buccaneers,"$82,500,000","$16,500,000","$38,258,000","$7,651,600",46.40%,mike-evans/2946/
Trent Brown,RT,Raiders,"$66,000,000","$16,500,000","$36,250,000","$9,062,500",54.90%,trent-brown/4092/
Chandler Jones,34OLB,Cardinals,"$82,500,000","$16,500,000","$31,000,000","$6,200,000",37.60%,chandler-jones/1206/
Geno Atkins,43DT,Bengals,"$65,200,000","$16,300,000","$17,000,000","$4,250,000",26.10%,geno-atkins/1807/
DeAndre Hopkins,WR,Texans,"$81,000,000","$16,200,000","$36,500,000","$7,300,000",45.10%,deandre-hopkins/2208/
Brandin Cooks,WR,Rams,"$81,000,000","$16,200,000","$20,459,000","$4,091,800",25.30%,brandin-cooks/2959/
Adam Thielen,WR,Vikings,"$64,800,000","$16,200,000","$14,105,000","$3,526,250",21.80%,adam-thielen/2766/
Kawann Short,43DT,Panthers,"$80,500,000","$16,100,000","$35,000,000","$7,000,000",43.50%,kawann-short/2254/
Melvin Ingram,43DE,Chargers,"$64,000,000","$16,000,000","$34,000,000","$8,500,000",53.10%,melvin-ingram/467/
Taylor Lewan,LT,Titans,"$80,000,000","$16,000,000","$34,000,000","$6,800,000",42.50%,taylor-lewan/2950/
Andy Dalton,QB,Bengals,"$96,000,000","$16,000,000","$17,000,000","$2,833,333",17.70%,andy-dalton/160/
Sammy Watkins,WR,Chiefs,"$48,000,000","$16,000,000","$30,000,000","$10,000,000",62.50%,sammy-watkins/2943/
Jadeveon Clowney,34OLB,Texans,"$15,967,200","$15,967,200",$0,$0,0.00%,jadeveon-clowney/2940/
