gsis_id,pfr_id,mfl_id,sleeper_id,fantasy_data_id,rotowire_id,sportradar_id,rotoworld_id,yahoo_id,espn_id,stats_id,first_name,last_name,name,mergename,pos,team,age,salary_avg,fa_year,dynoECR,dyno2QBECR,dynoSD,dynpECR,dynpSD,rdpECR,rdpSD,draft_year,college,draft_round,draft_pick,draft_rookieadp,draft_2QBrookieadp,height,weight,armLength,handsize,forty,twenty-split,ten-split,bench,vertical,broad,shuttle,cone,RAS,offSnaps,offSnapsPct,gms,paATTs,paCMPs,paYDs,paTDs,paINTs,pa_aya,tm_paATTs,ruATTs,ruYDs,ruTDs,tm_ruATTs,tm_ruYDs,ms_ruATTs,tgts,recs,reYDs,reTDs,reAYDs,wopr,racr,adot,yac,ms_tgts,ms_AYDs,tm_tgts,tm_AYDs,1Ds,tm_1Ds,ms_1Ds,ppr,ppr/g
00-0034844,BarkSa00,13604,4866,19766,12507,9811b753-347c-467a-b3cb-85937e71e2b9,13048,30972,3929630,883302,Saquon,Barkley,"Barkley, Saquon",Saquon Barkley,RB,NYG,22.5,7.8,2023,1.3,2,0.7,1.1,0.2,1.6,0.8,2018,Penn State,1,2,1,1,72,233,31.375,9.5,4.4,2.57,1.54,29,41,NA,4.24,NA,9.98,852,0.8296,16,,,,,,,581,261,1307,11,350,1600,0.75,121,91,721,4,34,0.32,21.21,0.28,768,0.21,0.01,574,4450,80,278,0.29,383.8,23.99
00-0033280,McCaCh01,13130,4034,18877,11690,f96db0af-5e25-42d1-a07a-49b4e065b364,12198,30121,3117251,830517,Christian,McCaffrey,"McCaffrey, Christian",Christian McCaffrey,RB,CAR,23.2,4.31,2022,3.4,5,1.2,2.6,0.8,2.8,1,2017,Stanford,1,8,3,3,71,205,30,9,4.48,2.6,1.55,10,37,121,4.22,6.57,8.88,966,0.913,16,,,,,,,562,219,1098,7,459,2435,0.48,124,107,867,6,129,0.36,6.72,1.04,845,0.23,0.03,549,4219,94,344,0.27,381.5,23.84
00-0030564,HopkDe00,11232,1426,14986,8619,5c48ade7-4b9a-4757-9643-87a6e3839e2b,8404,26650,15795,560241,DeAndre,Hopkins,"Hopkins, DeAndre",DeAndre Hopkins,WR,HOU,27.2,16.2,2023,4,5.7,1.7,1.5,0.7,1.9,1.2,2013,Clemson,1,27,6,,73,212,33.375,10,4.595,2.72,1.66,15,36,115,4.5,6.88,4.47,1084,0.9909,16,,,,,,,505,1,-7,,472,2016,0,163,115,1572,11,1995,0.88,0.79,12.24,415,0.35,0.51,466,3945,81,275,0.29,337.5,21.09
00-0033045,ElliEz00,12625,3164,17923,10736,bef8b2b4-78bd-4a4d-bb5d-6b55ada9ef6a,11265,29238,3051392,728338,Ezekiel,Elliott,"Elliott, Ezekiel",Ezekiel Elliott,RB,DAL,24.1,6.24,2021,4.6,6.7,2.3,3,0.8,4.3,3.1,2016,Ohio State,1,4,1,1,72,228,31.25,10.25,4.47,2.62,1.58,NA,32.5,118,NA,NA,8.99,890,0.8271,15,,,,,,,526,304,1435,6,435,1938,0.7,95,77,567,3,42,0.32,13.5,0.44,576,0.21,0.01,459,3251,95,255,0.37,331.2,22.08
00-0033906,KamaAl00,13132,4035,18878,11732,d9c857b2-97da-4fb8-a527-afbbb2a67413,12172,30180,3054850,750846,Alvin,Kamara,"Kamara, Alvin",Alvin Kamara,RB,NOS,23.1,0.96,2021,4.8,7,1.2,3.5,0.6,2.8,1.1,2017,Tennessee,3,3,6,12,70,215,32.75,9.25,4.53,2.61,1.55,15,39.5,131,4.4,7.15,8.19,658,0.6261,15,,,,,,,519,194,883,14,471,2025,0.41,105,81,709,4,193,0.36,3.67,1.84,642,0.21,0.06,503,3149,88,322,0.27,348.2,23.21
00-0031235,BeckOd00,11679,2078,16389,9255,354dec38-b88b-4ba0-8974-859123f27c45,9403,27540,16733,589984,Odell,Beckham Jr,"Beckham, Odell",Odell Beckham,WR,CLE,26.8,18,2024,5.7,8.1,3.1,3,1.5,4.4,1.8,2014,LSU,1,12,12,,71,200,32.75,10,4.43,2.58,1.57,7,38.5,122,3.94,6.69,8.95,716,0.6972,12,,,,,,,581,5,19,,350,1600,0.01,124,77,1052,6,1515,0.56,0.69,12.22,292,0.22,0.34,574,4450,53,278,0.19,220.1,18.34
00-0031381,AdamDa01,11675,2133,16470,9455,e7d6ae25-bf15-4660-8b37-c37716551de3,9273,27581,16800,611417,Davante,Adams,"Adams, Davante",Davante Adams,WR,GBP,26.6,14.5,2022,7.6,10.7,1.7,3.7,1.2,2.6,1.3,2014,Fresno State,2,21,7,,73,215,32.625,9,4.56,2.66,1.645,14,38.25,125,4.3,6.82,7.5,953,0.8873,15,,,,,,,639,,,,346,1718,,169,111,1386,13,1904,0.65,0.73,11.27,472,0.27,0.35,628,5459,64,299,0.21,327.6,21.84
00-0032765,ThomMi05,12652,3199,17960,10759,90c1756d-1f47-41b7-89fe-b113c9850bc1,11222,29281,2976316,653699,Michael,Thomas,"Thomas, Michael",Michael Thomas,WR,NOS,26.5,19.25,2025,8,11.2,1.3,3.8,0.8,6.1,1.8,2016,Ohio State,2,16,7,11,75,212,32.125,10.5,4.595,2.655,1.615,18,33,126,4.13,6.8,8.47,929,0.8839,16,,,,,,,519,,,,471,2025,,147,125,1405,9,1135,0.69,1.24,7.72,536,0.29,0.36,503,3149,75,322,0.23,319.5,19.97
00-0033857,SmitJu00,13156,4040,18883,11877,9547fbb1-0d4f-4d9e-83b9-e2fa30463bb9,12184,30175,3120348,835909,JuJu,Smith-Schuster,"Smith-Schuster, JuJu",JuJu Smith-Schuster,WR,PIT,22.7,1.05,2021,9.1,12.7,3.2,3.8,1.8,6.1,1.4,2017,USC,2,30,15,16,73,215,32.875,10.5,4.54,2.65,1.55,15,33,121.5,4.24,6.98,7.76,960,0.8602,16,,,,,,,687,1,13,,345,1445,0,166,111,1426,7,1394,0.56,1.02,8.4,687,0.25,0.27,676,5177,69,338,0.2,296.9,18.56
00-0031408,EvanMi00,11671,2216,16597,9253,c48c21d9-0ae5-478c-ad34-30a660cfa9b8,9296,27535,16737,593587,Mike,Evans,"Evans, Mike",Mike Evans,WR,TBB,26,16.5,2024,11.8,16.3,2.8,6,0.9,8.2,1.7,2014,Texas A&M,1,7,2,,77,231,35.125,9.625,4.53,2.66,1.6,12,37,NA,4.26,7.08,7.73,939,0.8422,16,,,,,,,624,,,,389,1525,,139,86,1524,8,2121,0.56,0.72,15.26,279,0.22,0.32,620,6629,69,344,0.2,286.4,17.9
00-0033897,MixoJo00,13131,4018,18858,11707,7797f36e-87e8-4282-b6d2-bdb1774fc3b3,12147,30161,3116385,820727,Joe,Mixon,"Mixon, Joe",Joe Mixon,RB,CIN,23.1,1.36,2021,12.4,17.4,3.4,6.3,1.5,9,2.5,2017,Oklahoma,2,16,4,4,73,220,NA,NA,4.5,2.67,1.56,21,35,118,4.32,7.15,8.79,595,0.5968,14,,,,,,,542,237,1168,8,357,1676,0.66,55,43,296,1,9,0.16,32.89,0.16,328,0.1,0,530,4357,74,273,0.27,243.4,17.39
00-0032144,GordMe00,12151,2320,16776,10064,0f8ccece-d663-4069-944b-f318f64c60b7,10284,28403,2576434,606516,Melvin,Gordon,"Gordon, Melvin",Melvin Gordon,RB,LAC,26.3,2.67,2020,14.6,20.3,3.4,7.3,1.2,14.4,4.5,2015,Wisconsin,1,15,3,,73,215,32.375,9.75,4.52,2.66,1.62,19,35,126,4.07,7.04,9.1,524,0.5266,12,,,,,,,512,175,885,10,398,1873,0.44,66,50,490,4,-23,0.19,-21.3,-0.35,526,0.13,-0.01,508,3961,68,313,0.22,271.5,22.63
