PLAYERID,DRAFTYEAR,POSITION,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE
1,1987,SS,,,,17,,,,
2,1987,LB,4.66,2.64,1.61,24,26,903,4.5,
3,1987,WR,4.63,2.69,1.61,4,29.5,906,4.5,
4,1987,TE,4.99,2.88,1.72,,28.5,811,4.42,
5,1987,LB,4.85,2.8,1.68,13,29,907,4.62,
6,1987,RB,4.74,2.76,1.65,,31,908,4.49,
7,1987,FB,,,,27,34,910,,
8,1987,RB,,,,,,,,
9,1987,WR,4.58,2.67,1.59,13,35,908,4.17,
10,1987,CB,4.69,2.74,1.65,,31,903,4.48,
11,1987,OT,5.08,2.98,1.8,31,,,,
12,1987,TE,4.82,2.79,1.69,13,28,805,4.82,
13,1987,OC,5.03,2.89,1.73,20,28,900,4.59,
14,1987,DT,,,,,,,,
15,1987,QB,4.96,2.82,1.68,10,24,803,4.22,
16,1987,P,,,,,,,,
17,1987,RB,,,,,,,,
18,1987,LB,4.92,2.82,1.69,23,28.5,908,4.28,
19,1987,FB,,,,15,29,900,4.34,
20,1987,OT,5.22,3,1.77,24,24,804,4.5,
21,1987,LB,,,,,,,,
22,1987,RB,4.65,2.7,1.62,14,29,902,4.07,
23,1987,SS,,,,,,,,
24,1987,DT,4.87,2.79,1.67,18,26,901,4.41,
25,1987,RB,,,,,,,,
26,1987,QB,,,,,,,,
27,1987,LB,,,,,,,,
28,1987,CB,4.45,2.6,1.55,8,35.5,911,4.17,
29,1987,TE,4.94,2.83,1.72,6,29,803,4.61,
30,1987,OT,5.48,3.18,1.88,14,22,707,5,
31,1987,OT,5.05,2.93,1.72,22,27,804,4.81,
32,1987,WR,4.49,2.63,1.61,,30.5,908,4.03,
33,1987,LB,4.92,2.8,1.7,15,28,809,4.5,
34,1987,DT,,,,20,,,,
35,1987,SS,4.57,2.57,1.55,,29.5,910,4.17,
36,1987,OT,,,,17,,,,
37,1987,LB,4.79,2.76,1.64,17,29.5,909,4.48,
38,1987,WR,4.67,2.67,1.55,12,27.5,909,4.4,
39,1987,RB,4.6,2.7,1.61,11,27.5,810,4.19,
40,1987,K,,,,,,,,
41,1987,RB,,,,,,,,
42,1987,DE,,,,,,,,
43,1987,LB,4.91,2.83,1.69,,30,905,4.46,
44,1987,SS,4.5,2.62,1.57,,29.5,907,4.5,
45,1987,WR,4.45,2.56,1.52,3,33,905,4.39,
46,1987,CB,,,,,,,,
47,1987,OT,5.33,3.11,1.78,21,23,708,4.59,
48,1987,OT,5.2,3.03,1.8,21,27,902,4.69,
49,1987,CB,4.6,2.66,1.6,2,33,908,4.25,
50,1987,TE,4.88,2.77,1.62,13,30,806,4.5,
51,1987,RB,,,,,,,,
52,1987,QB,4.74,2.68,1.6,,30.5,909,4.35,
53,1987,DT,,,,31,,,,
54,1987,DE,5.01,2.86,1.68,11,26.5,901,4.4,
55,1987,OG,,,,,,,,
56,1987,RB,,,,21,31,,,
57,1987,LB,,,,,,,,
58,1987,CB,,,,,,,,
59,1987,CB,,,,,,,,
60,1987,CB,4.5,2.6,1.53,8,31.5,908,4.34,
61,1987,QB,4.82,2.72,1.63,,29.5,903,4.45,
62,1987,DE,4.89,2.83,1.67,,27,903,4.41,
63,1987,LB,,,,,,,,
64,1987,LB,,,,,,,,
65,1987,WR,4.62,2.62,1.56,14,34.5,911,4.35,
66,1987,WR,,,,,,,,
67,1987,DT,5.08,2.94,1.77,15,24.5,708,4.69,
