fp_page,page_type,ecr_type,player,id,pos,team,ecr,sd,best,worst,sportsdata_id,player_filename,yahoo_id,cbs_id,player_owned_avg,player_owned_espn,player_owned_yahoo,player_image_url,player_square_image_url,rank_delta,bye,mergename,scrape_date,tm
/nfl/rankings/best-ball-dst.php,best-dst,bp,Dallas Cowboys,8080,DST,DAL,1.75,0.83,1,3,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,dallas-defense.php,100006,1908,91.6,94.1,89,https://images.fantasypros.com/images/players/nfl/8080/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/8080/headshot/210x210.png,NA,7,Dallas Cowboys,2024-05-24,DAL
/nfl/rankings/best-ball-dst.php,best-dst,bp,San Francisco 49ers,8270,DST,SF,3,2.35,1,7,f0e724b0-4cbf-495a-be47-013907608da9,san-francisco-defense.php,100025,1925,97.3,96.6,98,https://images.fantasypros.com/images/players/nfl/8270/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/8270/headshot/210x210.png,NA,9,San Francisco 49ers,2024-05-24,SFO
/nfl/rankings/best-ball-dst.php,best-dst,bp,Baltimore Ravens,8020,DST,BAL,4,2.35,2,8,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,baltimore-defense.php,100033,1903,84.2,87.4,81,https://images.fantasypros.com/images/players/nfl/8020/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/8020/headshot/210x210.png,NA,14,Baltimore Ravens,2024-05-24,BAL
/nfl/rankings/best-ball-dst.php,best-dst,bp,Buffalo Bills,8030,DST,BUF,5.5,0.5,5,6,768c92aa-75ff-4a43-bcc0-f2798c2e1724,buffalo-defense.php,100002,1904,58.2,22.4,94,https://images.fantasypros.com/images/players/nfl/8030/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/8030/headshot/210x210.png,NA,12,Buffalo Bills,2024-05-24,BUF
/nfl/rankings/best-ball-dst.php,best-dst,bp,Miami Dolphins,8160,DST,MIA,6.75,3.9,1,12,4809ecb0-abd3-451d-9c4a-92a90b83ca06,miami-defense.php,100015,1915,68.6,75.2,62,https://images.fantasypros.com/images/players/nfl/8160/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/8160/headshot/210x210.png,NA,6,Miami Dolphins,2024-05-24,MIA
/nfl/rankings/best-ball-dst.php,best-dst,bp,New York Jets,8210,DST,NYJ,7.25,3.27,4,11,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,new-york-jets-defense.php,100020,1919,80.8,84.6,77,https://images.fantasypros.com/images/players/nfl/8210/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/8210/headshot/210x210.png,NA,12,New York Jets,2024-05-24,NYJ
/nfl/rankings/best-ball-dst.php,best-dst,bp,Pittsburgh Steelers,8240,DST,PIT,9.5,2.06,8,13,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,pittsburgh-defense.php,100023,1922,74.2,83.3,65,https://images.fantasypros.com/images/players/nfl/8240/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/8240/headshot/210x210.png,NA,9,Pittsburgh Steelers,2024-05-24,PIT
/nfl/rankings/best-ball-dst.php,best-dst,bp,Cleveland Browns,8070,DST,CLE,9.75,5.36,5,18,d5a2eb42-8065-4174-ab79-0a6fa820e35e,cleveland-defense.php,100005,1930,94.3,98.6,90,https://images.fantasypros.com/images/players/nfl/8070/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/8070/headshot/210x210.png,NA,10,Cleveland Browns,2024-05-24,CLE
/nfl/rankings/best-ball-dst.php,best-dst,bp,Kansas City Chiefs,8150,DST,KC,10.5,2.18,8,14,6680d28d-d4d2-49f6-aace-5292d3ec02c2,kansas-city-defense.php,100012,1914,79.9,74.8,85,https://images.fantasypros.com/images/players/nfl/8150/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/8150/headshot/210x210.png,NA,6,Kansas City Chiefs,2024-05-24,KCC
/nfl/rankings/best-ball-dst.php,best-dst,bp,New Orleans Saints,8190,DST,NO,12,7.14,3,23,0d855753-ea21-4953-89f9-0e20aff9eb73,new-orleans-defense.php,100018,1917,65.2,81.4,49,https://images.fantasypros.com/images/players/nfl/8190/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/8190/headshot/210x210.png,NA,12,New Orleans Saints,2024-05-24,NOS
