Rank,WSIT,Team DST,Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Jacksonville (JAC)JAC DST,,,1,3,1.5,0.9
2,,Baltimore (BAL)BAL DST,,,2,3,2.5,0.5
3,,Minnesota (MIN)MIN DST,,,2,5,3.0,1.2
4,,Chicago (CHI)CHI DST,,,1,8,4.5,2.5
5,,Houston (HOU)HOU DST,,,4,6,4.8,0.8
6,,Los Angeles (LAR)LAR DST,,,5,7,6.0,0.7
7,,Denver (DEN)DEN DST,,,4,10,7.0,2.1
8,,Los Angeles (LAC)LAC DST,,,6,8,7.3,0.8
9,,Atlanta (ATL)ATL DST,,,8,10,9.0,0.7
10,,New Orleans (NO)NO DST,,,9,10,9.5,0.5
11,,Carolina (CAR)CAR DST,,,11,12,11.3,0.4
12,,Cleveland (CLE)CLE DST,,,11,13,12.3,0.8
13,,Buffalo (BUF)BUF DST,,,13,14,13.5,0.5
14,,Philadelphia (PHI)PHI DST,,,12,19,14.3,2.9
15,,Arizona (ARI)ARI DST,,,15,17,15.5,0.9
16,,New England (NE)NE DST,,,16,18,17.0,0.7
17,,Dallas (DAL)DAL DST,,,14,22,18.8,3.4
18,,Pittsburgh (PIT)PIT DST,,,18,21,19.3,1.1
19,,Cincinnati (CIN)CIN DST,,,16,29,20.0,5.3
20,,Green Bay (GB)GB DST,,,18,25,20.3,2.9
21,,Seattle (SEA)SEA DST,,,16,23,20.8,2.9
22,,Tennessee (TEN)TEN DST,,,15,24,21.3,3.7
23,,Detroit (DET)DET DST,,,20,23,21.5,1.5
24,,Kansas City (KC)KC DST,,,21,24,22.5,1.5
25,,New York (NYG)NYG DST,,,22,25,24.3,1.3
26,,Indianapolis (IND)IND DST,,,20,27,25.0,2.9
27,,Miami (MIA)MIA DST,,,26,28,26.8,0.8
28,,San Francisco (SF)SF DST,,,28,30,28.5,0.9
29,,New York (NYJ)NYJ DST,,,26,29,27.5,1.5
30,,Washington (WAS)WAS DST,,,27,32,29.5,2.5
31,,Oakland (OAK)OAK DST,,,30,31,30.5,0.5
32,,Tampa Bay (TB)TB DST,,,31,32,31.5,0.5
