Rank,WSIT,Kickers (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Justin TuckerJ. Tucker BAL,,29,1,4,2.0,1.4
2,,Stephen GostkowskiS. Gostkowski NE,,35,1,5,3.7,1.9
3,,Graham GanoG. Gano CAR,,31,2,7,3.7,2.4
4,,Greg ZuerleinG. Zuerlein LAR,,31,2,7,5.3,2.4
5,,Mason CrosbyM. Crosby GB,,34,3,10,5.7,3.1
6,,Dan BaileyD. Bailey MIN,,31,3,13,6.7,4.5
7,,Chris BoswellC. Boswell PIT,,27,6,11,7.7,2.4
8,,Matt PraterM. Prater DET,,34,8,9,8.3,0.5
9,,Ka'imi FairbairnK. Fairbairn HOU,,24,5,28,14.0,10.0
10,,Matt BryantM. Bryant ATL,,43,3,13,8.0,5.0
11,,Wil LutzW. Lutz NO,,24,6,15,10.5,4.5
12,,Brandon McManusB. McManus DEN,,27,9,12,10.5,1.5
13,,Harrison ButkerH. Butker KC,,23,8,14,11.0,3.0
14,,Steven HauschkaS. Hauschka BUF,,33,10,14,12.0,2.0
15,,Chandler CatanzaroC. Catanzaro CAR,,27,12,15,13.5,1.5
16,,Adam VinatieriA. Vinatieri IND,,46,11,20,15.5,4.5
17,,Cairo SantosC. Santos TB,,27,16,16,16.0,0.0
18,,Ryan SuccopR. Succop TEN,,32,17,17,17.0,0.0
19,,Jake ElliottJ. Elliott PHI,,24,18,18,18.0,0.0
20,,Sebastian JanikowskiS. Janikowski SEA,,40,19,20,19.5,0.5
21,,Robbie GouldR. Gould SF,,37,21,21,21.0,0.0
22,,Daniel CarlsonD. Carlson OAK,,24,22,22,22.0,0.0
23,,Andrew JacasA. Jacas SF,,,23,23,23.0,0.0
24,,Josh LamboJ. Lambo JAC,,28,19,28,23.5,4.5
25,,Andrew WellockA. Wellock CAR,,,24,27,25.5,1.5
26,,Cody ParkeyC. Parkey CHI,,26,26,26,26.0,0.0
27,,Kai ForbathK. Forbath JAC,,31,24,29,26.5,2.5
28,,Connor BarthC. Barth FA,,32,25,38,31.5,6.5
