Rank,WSIT,Running Backs (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Todd GurleyT. Gurley LAR,12,,1,1,1.0,0.0
2,,Saquon BarkleyS. Barkley NYG,9,,2,4,2.6,0.5
3,,Alvin KamaraA. Kamara NO,6,,2,5,2.8,0.8
4,,Ezekiel ElliottE. Elliott DAL,8,,3,5,3.8,0.4
5,,Melvin GordonM. Gordon LAC,8,,5,10,6.4,1.0
6,,Kareem HuntK. Hunt KC,12,,2,12,6.5,1.6
7,,Christian McCaffreyC. McCaffrey CAR,4,,5,11,6.8,2.0
8,,Joe MixonJ. Mixon CIN,9,,6,11,8.3,1.5
9,,David JohnsonD. Johnson ARI,9,,6,12,9.0,1.2
10,,Le'Veon BellL. Bell PIT,7,,7,14,10.6,1.8
11,,Dalvin CookD. Cook MIN,10,,5,15,11.1,2.3
12,,Nick ChubbN. Chubb CLE,11,,8,18,12.6,1.8
13,,Leonard FournetteL. Fournette JAC,9,,6,18,13.0,2.2
14,,James ConnerJ. Conner PIT,7,,10,35,13.4,2.4
15,,Sony MichelS. Michel NE,11,,11,17,13.8,1.9
16,,Derrius GuiceD. Guice WAS,4,,13,20,15.9,1.4
17,,Kerryon JohnsonK. Johnson DET,6,,14,25,17.2,1.8
18,,Devonta FreemanD. Freeman ATL,8,,15,36,19.3,2.1
19,,Jordan HowardJ. Howard CHI,5,,14,36,20.6,3.8
20,,Tevin ColemanT. Coleman ATL,8,,17,28,22.1,3.1
21,,Royce FreemanR. Freeman DEN,10,,18,34,22.3,2.1
22,,Aaron JonesA. Jones GB,7,,16,33,22.7,4.5
23,,Mark IngramM. Ingram NO,6,,20,32,23.4,3.3
24,,Rashaad PennyR. Penny SEA,7,,19,36,25.1,4.9
25,,Kenyan DrakeK. Drake MIA,11,,19,44,28.4,4.9
26,,Tarik CohenT. Cohen CHI,5,,19,40,28.4,4.1
27,,Jerick McKinnonJ. McKinnon SF,11,,22,39,29.0,3.6
28,,Alex CollinsA. Collins BAL,10,,25,40,29.6,2.7
29,,Derrick HenryD. Henry TEN,8,,19,37,29.8,3.4
30,,Marlon MackM. Mack IND,9,,19,44,30.6,7.2
31,,Jay AjayiJ. Ajayi PHI,9,,24,42,32.8,4.3
32,,James WhiteJ. White NE,11,,22,53,33.3,8.5
33,,Ronald Jones IIR. Jones TB,5,,22,51,33.4,5.9
