Rank,WSIT,Tight Ends (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Travis KelceT. Kelce KC,,29,1,1,1.0,0.0
2,,George KittleG. Kittle SF,,25,2,3,2.4,0.5
3,,Zach ErtzZ. Ertz PHI,,28,2,3,2.6,0.5
4,,O.J. HowardO. Howard TB,,24,4,5,4.3,0.5
5,,David NjokuD. Njoku CLE,,22,4,8,5.3,0.9
6,,Eric EbronE. Ebron IND,,25,6,9,6.6,0.7
7,,Evan EngramE. Engram NYG,,24,5,8,6.9,0.8
8,,Hunter HenryH. Henry LAC,,24,4,9,7.6,0.5
9,,Trey BurtonT. Burton CHI,,27,9,14,10.0,1.3
10,,Rob GronkowskiR. Gronkowski NE,,29,7,23,10.9,1.2
11,,Dallas GoedertD. Goedert PHI,,23,9,22,11.7,2.0
12,,Austin HooperA. Hooper ATL,,24,10,20,13.0,2.0
13,,Kyle RudolphK. Rudolph MIN,,29,10,19,13.3,1.9
14,,Mike GesickiM. Gesicki MIA,,23,13,33,16.1,2.7
15,,Jordan ReedJ. Reed WAS,,28,12,25,16.7,3.0
16,,Vance McDonaldV. McDonald PIT,,28,13,24,17.9,3.4
17,,Jack DoyleJ. Doyle IND,,28,11,27,18.4,2.3
18,,Chris Herndon IVC. Herndon NYJ,,22,11,27,19.0,3.0
19,,Jared CookJ. Cook OAK,,31,16,22,19.0,1.4
20,,Mark AndrewsM. Andrews BAL,,,12,31,20.7,2.8
21,,Jimmy GrahamJ. Graham GB,,32,19,26,21.3,1.6
22,,Gerald EverettG. Everett LAR,,24,15,34,22.3,2.8
23,,Hayden HurstH. Hurst BAL,,25,20,26,22.4,0.9
24,,Greg OlsenG. Olsen CAR,,33,16,30,24.1,2.4
25,,Jonnu SmithJ. Smith TEN,,23,14,28,24.3,3.1
26,,Delanie WalkerD. Walker TEN,,34,17,31,25.0,3.3
27,,Ian ThomasI. Thomas CAR,,22,15,35,27.1,5.0
28,,Ricky Seals-JonesR. Seals-Jones ARI,,23,24,36,28.3,1.0
29,,Cameron BrateC. Brate TB,,27,26,34,28.9,0.6
30,,Austin Seferian-JenkinsA. Seferian-Jenkins FA,,26,30,36,31.1,0.3
31,,Adam ShaheenA. Shaheen CHI,,24,26,55,31.3,2.9
32,,Tyler EifertT. Eifert CIN,,28,25,39,32.6,1.7
33,,Charles ClayC. Clay BUF,,29,33,49,36.0,2.0
34,,Jaylen SamuelsJ. Samuels PIT,,,13,38,28.2,8.4
35,,Jake ButtJ. Butt DEN,,23,31,37,33.4,1.0
36,,Nick VannettN. Vannett SEA,,25,32,51,35.6,1.9
37,,Will DisslyW. Dissly SEA,,22,30,49,35.8,4.7
38,,Geoff SwaimG. Swaim DAL,,25,37,47,40.4,3.7
39,,Dan ArnoldD. Arnold NO,,23,33,47,40.3,5.0
40,,Jordan ThomasJ. Thomas HOU,,22,35,46,40.8,4.4
41,,Tyler HigbeeT. Higbee LAR,,26,41,46,43.3,1.9
42,,C.J. UzomahC. Uzomah CIN,,26,34,60,43.8,10.3
43,,Dalton SchultzD. Schultz DAL,,22,37,51,44.8,5.3
44,,Vernon DavisV. Davis WAS,,35,40,52,45.0,5.2
45,,Benjamin WatsonB. Watson NO,,38,39,54,44.7,6.6
46,,Tyler KroftT. Kroft CIN,,26,43,50,47.0,2.9
47,,Jesse JamesJ. James PIT,,24,45,64,51.8,7.8
48,,Michael RobertsM. Roberts DET,,24,41,53,48.7,5.4
49,,Luke WillsonL. Willson DET,,29,48,53,50.3,2.1
50,,Jordan AkinsJ. Akins HOU,,26,47,56,52.0,3.7
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Anthony FirkserA. Firkser TEN,,23,40,60,52.3,8.8
52,,Ed DicksonE. Dickson SEA,,31,49,57,52.3,3.4
53,,Antonio GatesA. Gates LAC,,38,52,90,62.8,15.8
54,,Jeff HeuermanJ. Heuerman DEN,,26,47,63,54.7,6.5
55,,Rico GathersR. Gathers DAL,,25,49,91,63.7,19.3
56,,Matt LaCosseM. LaCosse DEN,,26,46,105,68.7,26.0
57,,Troy FumagalliT. Fumagalli DEN,,23,50,83,62.3,14.7
58,,Virgil GreenV. Green LAC,,30,57,81,63.8,10.0
59,,Ryan GriffinR. Griffin HOU,,29,52,63,59.0,5.0
60,,Seth DeValveS. DeValve CLE,,26,56,61,59.0,2.2
61,,Maxx WilliamsM. Williams BAL,,24,56,71,61.3,6.8
62,,Erik SwoopeE. Swoope FA,,26,56,69,62.0,4.6
63,,Dwayne AllenD. Allen NE,,28,50,87,68.5,18.5
64,,Jordan LeggettJ. Leggett NYJ,,24,58,65,62.0,2.9
65,,A.J. DerbyA. Derby MIA,,27,59,88,69.3,13.2
66,,Jeremy SprinkleJ. Sprinkle WAS,,24,62,64,63.3,0.9
67,,Josh HillJ. Hill NO,,28,58,79,68.5,10.5
68,,Bucky HodgesB. Hodges PIT,,23,65,100,76.7,16.5
