Rank,WSIT,Wide Receivers (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,DeAndre HopkinsD. Hopkins HOU,,26,1,1,1.0,0.0
2,,Odell Beckham Jr.O. Beckham NYG,,26,2,4,2.7,0.5
3,,Davante AdamsD. Adams GB,,26,2,10,3.3,1.0
4,,Michael ThomasM. Thomas NO,,25,2,5,3.6,0.7
5,,Tyreek HillT. Hill KC,,24,2,8,5.3,1.2
6,,JuJu Smith-SchusterJ. Smith-Schuster PIT,,22,5,10,6.4,1.4
7,,Julio JonesJ. Jones ATL,,29,6,9,7.3,0.5
8,,Mike EvansM. Evans TB,,25,4,10,7.9,1.0
9,,Antonio BrownA. Brown PIT,,30,6,11,8.7,1.6
10,,Keenan AllenK. Allen LAC,,26,5,13,10.3,1.0
11,,Stefon DiggsS. Diggs MIN,,25,7,12,11.0,0.8
12,,Amari CooperA. Cooper DAL,,24,8,14,11.9,0.6
13,,A.J. GreenA. Green CIN,,30,8,15,13.3,0.9
14,,Adam ThielenA. Thielen MIN,,28,10,16,14.4,1.0
15,,Brandin CooksB. Cooks LAR,,25,13,16,14.4,0.5
16,,Kenny GolladayK. Golladay DET,,25,14,19,17.0,1.2
17,,T.Y. HiltonT. Hilton IND,,29,15,20,17.0,0.0
18,,Corey DavisC. Davis TEN,,24,14,20,17.9,1.4
19,,Robert WoodsR. Woods LAR,,26,17,25,19.6,0.9
20,,D.J. MooreD. Moore CAR,,21,17,23,19.9,1.6
21,,Jarvis LandryJ. Landry CLE,,26,19,43,23.3,2.7
22,,Calvin RidleyC. Ridley ATL,,24,21,28,23.3,1.6
23,,Allen RobinsonA. Robinson CHI,,25,18,26,23.4,1.4
24,,Cooper KuppC. Kupp LAR,,25,21,27,23.6,1.2
25,,Courtland SuttonC. Sutton DEN,,23,21,36,25.9,3.6
26,,Alshon JefferyA. Jeffery PHI,,28,18,32,26.9,2.0
27,,Chris GodwinC. Godwin TB,,22,22,40,26.9,3.4
28,,Mike WilliamsM. Williams LAC,,24,23,35,28.3,2.7
29,,Will FullerW. Fuller HOU,,24,21,38,30.7,1.2
30,,Sammy WatkinsS. Watkins KC,,25,26,56,31.1,3.1
31,,Christian KirkC. Kirk ARI,,22,26,42,31.6,2.6
32,,Doug BaldwinD. Baldwin SEA,,30,28,38,31.6,1.9
33,,Tyler BoydT. Boyd CIN,,24,24,41,33.0,2.0
34,,Anthony MillerA. Miller CHI,,23,28,57,35.9,1.9
35,,Dante PettisD. Pettis SF,,23,26,52,36.0,4.4
36,,Tyler LockettT. Lockett SEA,,26,29,47,37.7,3.1
37,,Marvin JonesM. Jones DET,,28,33,46,38.4,1.8
38,,Golden TateG. Tate PHI,,30,29,55,38.9,3.0
39,,Robby AndersonR. Anderson NYJ,,25,22,56,39.3,7.4
40,,Emmanuel SandersE. Sanders DEN,,31,29,59,39.9,7.9
41,,Sterling ShepardS. Shepard NYG,,25,39,68,41.3,1.4
42,,Michael GallupM. Gallup DAL,,22,36,69,42.4,3.9
43,,John BrownJ. Brown BAL,,28,41,46,43.0,1.3
44,,Keke CouteeK. Coutee HOU,,22,39,70,45.6,4.1
45,,Marquise GoodwinM. Goodwin SF,,28,33,56,46.6,2.3
46,,James WashingtonJ. Washington PIT,,22,39,62,48.7,1.8
47,,Tre'Quan SmithT. Smith NO,,23,43,76,50.3,4.1
48,,Devante ParkerD. Parker MIA,,26,47,60,50.7,3.8
49,,Antonio CallawayA. Callaway CLE,,22,48,74,50.7,1.5
50,,Dede WestbrookD. Westbrook JAC,,25,43,75,51.7,4.3
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Devin FunchessD. Funchess CAR,,24,40,88,52.0,5.3
52,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,,24,37,69,52.7,6.3
53,,Julian EdelmanJ. Edelman NE,,32,45,68,53.3,4.0
54,,DaeSean HamiltonD. Hamilton DEN,,23,30,89,54.1,14.7
55,,Demaryius ThomasD. Thomas HOU,,31,46,92,59.0,6.7
56,,Quincy EnunwaQ. Enunwa NYJ,,26,47,84,59.0,5.4
57,,Josh GordonJ. Gordon NE,,27,37,103,60.7,12.3
58,,John RossJ. Ross CIN,,24,50,87,61.6,1.8
59,,Donte MoncriefD. Moncrief JAC,,25,56,69,61.7,4.2
60,,Curtis SamuelC. Samuel CAR,,22,43,80,63.1,8.5
61,,Jamison CrowderJ. Crowder WAS,,25,45,108,63.6,8.4
62,,Nelson AgholorN. Agholor PHI,,25,49,81,63.6,7.3
63,,Michael CrabtreeM. Crabtree BAL,,31,59,85,64.9,3.8
64,,Kenny StillsK. Stills MIA,,26,50,103,65.0,5.1
65,,Marqise LeeM. Lee JAC,,27,51,79,66.4,5.6
66,,Geronimo AllisonG. Allison GB,,25,53,101,66.4,4.6
67,,Tyrell WilliamsT. Williams LAC,,26,55,79,67.9,6.7
68,,D.J. CharkD. Chark JAC,,22,59,107,70.6,4.2
69,,Taywan TaylorT. Taylor TEN,,23,55,109,71.0,5.4
70,,DeSean JacksonD. Jackson TB,,32,66,82,71.6,5.4
71,,Josh DoctsonJ. Doctson WAS,,26,58,90,71.9,5.5
72,,Equanimeous St. BrownE. St. GB,,22,64,83,71.9,7.2
73,,Larry FitzgeraldL. Fitzgerald ARI,,35,62,93,73.6,5.0
74,,Adam HumphriesA. Humphries TB,,25,56,93,74.3,10.2
75,,Taylor GabrielT. Gabriel CHI,,27,68,96,75.6,2.4
76,,David MooreD. Moore SEA,,24,60,83,75.9,6.0
77,,Zay JonesZ. Jones BUF,,23,58,99,76.0,10.1
78,,Josh ReynoldsJ. Reynolds LAR,,23,57,112,76.3,8.0
79,,Randall CobbR. Cobb GB,,28,59,105,78.3,6.2
80,,Keelan ColeK. Cole JAC,,25,69,95,79.3,5.0
81,,Paul RichardsonP. Richardson WAS,,26,65,104,79.7,4.4
82,,Robert FosterR. Foster BUF,,24,49,95,68.2,10.2
83,,Mohamed SanuM. Sanu ATL,,29,73,91,81.6,2.7
84,,Chris HoganC. Hogan NE,,31,66,113,81.9,4.5
85,,Jordy NelsonJ. Nelson OAK,,33,72,93,84.6,3.7
86,,Albert WilsonA. Wilson MIA,,26,63,114,85.7,6.8
87,,Willie SneadW. Snead BAL,,26,79,91,86.0,1.8
88,,Deon CainD. Cain IND,,22,71,94,88.0,5.4
89,,Kelvin BenjaminK. Benjamin KC,,27,76,131,88.6,4.3
90,,Cameron MeredithC. Meredith NO,,26,83,115,92.9,8.5
91,,J'Mon MooreJ. Moore GB,,23,74,132,93.7,4.8
92,,Pierre GarconP. Garcon SF,,32,85,116,94.6,6.2
93,,Martavis BryantM. Bryant OAK,,27,88,156,95.9,5.2
94,,Dez BryantD. Bryant NO,,30,91,117,96.4,3.6
95,,Ted GinnT. Ginn NO,,33,77,110,97.7,7.5
96,,Laquon TreadwellL. Treadwell MIN,,23,88,120,97.9,8.6
97,,Allen HurnsA. Hurns DAL,,27,91,143,98.0,5.9
98,,Ryan GrantR. Grant IND,,28,90,153,99.6,4.1
99,,Trey QuinnT. Quinn WAS,,23,80,118,100.9,6.0
100,,Rishard MatthewsR. Matthews NYJ,,29,96,119,102.1,5.3
101,,Chad WilliamsC. Williams ARI,,24,102,122,103.7,2.0
102,,Keith KirkwoodK. Kirkwood NO,,25,78,114,96.3,8.1
