Rank,WSID,Kickers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Greg ZuerleinG. Zuerlein LAR,,1,2,1.2,0.4
2,,Justin TuckerJ. Tucker BAL,,1,3,2.0,0.6
3,,Harrison ButkerH. Butker KC,,2,6,3.5,1.0
4,,Stephen GostkowskiS. Gostkowski NE,,3,5,4.2,0.4
Tier 2,
5,,Ka'imi FairbairnK. Fairbairn HOU,,3,6,4.8,0.4
6,,Wil LutzW. Lutz NO,,3,7,6.3,0.5
7,,Matt BryantM. Bryant ATL,,3,14,7.2,1.3
8,,Mason CrosbyM. Crosby GB,,8,16,10.2,1.7
9,,Matt PraterM. Prater DET,,8,14,10.5,1.3
Tier 3,
10,,Jake ElliottJ. Elliott PHI,,9,19,10.8,1.7
11,,Brett MaherB. Maher DAL,,7,18,13.3,3.2
12,,Robbie GouldR. Gould SF,,7,23,13.8,1.5
13,,Graham GanoG. Gano CAR,,8,19,13.8,2.7
14,,Adam VinatieriA. Vinatieri IND,,9,26,14.7,4.7
15,,Michael BadgleyM. Badgley LAC,,8,20,11.8,2.8
16,,Dan BaileyD. Bailey MIN,,11,22,16.2,3.1
17,,Jason MyersJ. Myers NYJ,,11,35,17.2,3.8
18,,Aldrick RosasA. Rosas NYG,,8,36,18.3,5.0
19,,Brandon McManusB. McManus DEN,,16,22,18.3,1.5
Tier 4,
20,,Ryan SuccopR. Succop TEN,,13,23,19.2,1.9
21,,Sebastian JanikowskiS. Janikowski SEA,,15,30,19.4,1.6
22,,Cody ParkeyC. Parkey CHI,,16,29,19.8,2.8
23,,Chris BoswellC. Boswell PIT,,10,26,21.0,3.9
24,,Greg JosephG. Joseph CLE,,19,27,23.4,2.6
25,,Steven HauschkaS. Hauschka BUF,,23,26,24.2,0.7
26,,Josh LamboJ. Lambo JAC,,20,30,24.4,2.2
27,,Daniel CarlsonD. Carlson OAK,,21,31,25.4,0.8
Tier 5,
28,,Cairo SantosC. Santos TB,,18,32,27.2,3.9
29,,Dustin HopkinsD. Hopkins WAS,,21,31,27.8,1.6
30,,Jason SandersJ. Sanders MIA,,21,38,29.5,6.0
31,,Randy BullockR. Bullock CIN,,29,32,30.3,1.3
32,,Chandler CatanzaroC. Catanzaro CAR,,17,35,26.0,9.0
33,,Zane GonzalezZ. Gonzalez ARI,,31,33,32.0,0.8
34,,Phil DawsonP. Dawson ARI,,28,33,30.5,2.5
