Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Todd GurleyT. Gurley LAR,RB1,,1,3,1.4,0.6
2,,Saquon BarkleyS. Barkley NYG,RB2,,1,4,2.0,0.7
3,,Ezekiel ElliottE. Elliott DAL,RB3,,1,9,2.8,0.6
4,,Christian McCaffreyC. McCaffrey CAR,RB4,,2,7,3.8,0.4
5,,Alvin KamaraA. Kamara NO,RB5,,4,7,4.9,0.3
6,,DeAndre HopkinsD. Hopkins HOU,WR1,,5,10,6.7,0.9
7,,Melvin GordonM. Gordon LAC,RB6,,5,10,6.9,0.6
8,,Davante AdamsD. Adams GB,WR2,,6,11,8.3,1.6
9,,Julio JonesJ. Jones ATL,WR3,,6,12,9.2,1.7
10,,Michael ThomasM. Thomas NO,WR4,,8,15,10.5,1.0
Tier 2,
11,,Travis KelceT. Kelce KC,TE1,,13,22,13.8,1.4
12,,James ConnerJ. Conner PIT,RB7,,9,20,14.2,3.5
13,,Antonio BrownA. Brown PIT,WR5,,8,30,14.6,3.9
14,,Odell Beckham Jr.O. Beckham NYG,WR6,,9,20,14.9,2.4
15,,Nick ChubbN. Chubb CLE,RB8,,9,21,15.0,3.7
16,,Le'Veon BellL. Bell PIT,RB9,,9,23,16.2,2.3
17,,Joe MixonJ. Mixon CIN,RB10,,12,21,17.0,1.8
18,,Tyreek HillT. Hill KC,WR7,,11,24,17.4,3.2
19,,Zach ErtzZ. Ertz PHI,TE2,,13,53,18.6,5.8
20,,Dalvin CookD. Cook MIN,RB11,,9,31,19.8,2.8
21,,David JohnsonD. Johnson ARI,RB12,,9,31,20.8,2.5
22,,George KittleG. Kittle SF,TE3,,15,32,22.6,1.3
23,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR8,,12,32,22.8,3.7
24,,Aaron JonesA. Jones GB,RB13,,17,51,23.0,4.0
Tier 4,
25,,A.J. GreenA. Green CIN,WR9,,23,33,24.8,1.7
26,,Mike EvansM. Evans TB,WR10,,20,33,25.6,0.8
27,,Amari CooperA. Cooper DAL,WR11,,21,35,29.1,2.8
28,,T.Y. HiltonT. Hilton IND,WR12,,25,35,29.4,2.0
29,,Keenan AllenK. Allen LAC,WR13,,20,35,31.1,1.0
30,,Patrick MahomesP. Mahomes KC,QB1,,27,50,31.6,6.5
31,,Leonard FournetteL. Fournette JAC,RB14,,17,58,32.6,7.5
32,,Adam ThielenA. Thielen MIN,WR14,,23,39,33.4,2.3
33,,Stefon DiggsS. Diggs MIN,WR15,,26,36,33.5,1.4
34,,Sony MichelS. Michel NE,RB15,,26,52,34.3,6.2
35,,Brandin CooksB. Cooks LAR,WR16,,27,39,34.3,1.4
36,,Robert WoodsR. Woods LAR,WR17,,30,50,34.8,1.5
Tier 5,
37,,Kenny GolladayK. Golladay DET,WR18,,35,41,36.8,0.4
38,,Allen RobinsonA. Robinson CHI,WR19,,38,81,39.4,1.8
39,,Marlon MackM. Mack IND,RB16,,28,59,40.3,6.0
40,,Chris CarsonC. Carson SEA,RB17,,27,60,41.8,7.0
41,,Cooper KuppC. Kupp LAR,WR20,,36,67,41.9,3.9
42,,Alshon JefferyA. Jeffery PHI,WR21,,36,62,43.0,3.6
43,,Corey DavisC. Davis TEN,WR22,,38,73,43.3,5.5
44,,Phillip LindsayP. Lindsay DEN,RB18,,21,51,44.0,1.8
45,,Aaron RodgersA. Rodgers GB,QB2,,28,62,44.8,6.0
46,,Doug BaldwinD. Baldwin SEA,WR23,,41,55,47.4,2.4
47,,Kerryon JohnsonK. Johnson DET,RB19,,27,84,47.6,7.8
48,,Jarvis LandryJ. Landry CLE,WR24,,39,67,48.3,3.3
49,,Andrew LuckA. Luck IND,QB3,,45,68,50.3,5.3
50,,Derrick HenryD. Henry TEN,RB20,,40,66,51.5,4.2
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Derrius GuiceD. Guice WAS,RB21,,38,93,53.0,10.3
52,,Devonta FreemanD. Freeman ATL,RB22,,40,83,53.9,7.4
53,,Julian EdelmanJ. Edelman NE,WR25,,29,82,54.4,9.3
54,,Calvin RidleyC. Ridley ATL,WR26,,48,82,55.3,10.2
55,,D.J. MooreD. Moore CAR,WR27,,48,73,56.4,4.7
56,,Deshaun WatsonD. Watson HOU,QB4,,47,70,57.0,5.9
57,,Tarik CohenT. Cohen CHI,RB23,,40,66,57.1,5.6
Tier 6,
58,,Russell WilsonR. Wilson SEA,QB5,,54,70,60.3,6.0
59,,O.J. HowardO. Howard TB,TE4,,53,121,61.0,11.7
60,,Tyler BoydT. Boyd CIN,WR28,,39,75,62.0,4.4
61,,Lamar MillerL. Miller HOU,RB24,,56,98,62.3,3.8
62,,Jerick McKinnonJ. McKinnon SF,RB25,,53,89,63.5,7.7
63,,Damien WilliamsD. Williams KC,RB26,,9,133,63.9,25.5
64,,Tyler LockettT. Lockett SEA,WR29,,50,80,64.4,4.6
65,,Sammy WatkinsS. Watkins KC,WR30,,55,97,65.5,7.9
66,,Hunter HenryH. Henry LAC,TE5,,63,94,66.6,3.7
67,,Marvin JonesM. Jones DET,WR31,,64,99,67.3,1.8
68,,Jordan HowardJ. Howard CHI,RB27,,52,83,68.5,6.7
69,,Eric EbronE. Ebron IND,TE6,,53,106,69.5,9.5
70,,Drew BreesD. Brees NO,QB6,,56,91,70.5,8.6
71,,Mark IngramM. Ingram NO,RB28,,59,112,70.8,5.6
72,,Chris GodwinC. Godwin TB,WR32,,55,88,71.0,4.5
73,,Cam NewtonC. Newton CAR,QB7,,47,103,71.3,11.2
74,,James WhiteJ. White NE,RB29,,42,76,71.9,6.1
75,,Mike WilliamsM. Williams LAC,WR33,,50,79,73.3,3.9
76,,David NjokuD. Njoku CLE,TE7,,53,94,73.8,4.4
77,,Will FullerW. Fuller HOU,WR34,,62,146,74.0,5.4
78,,Robby AndersonR. Anderson NYJ,WR35,,47,99,75.3,8.4
