Rank,WSID,Tight Ends (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
Tier 2,
1,,Travis KelceT. Kelce KC,,1,2,1.0,0.0
2,,Zach ErtzZ. Ertz PHI,,1,3,2.3,0.4
3,,George KittleG. Kittle SF,,2,3,2.8,0.4
Tier 3,
4,,O.J. HowardO. Howard TB,,4,12,5.0,1.5
5,,Hunter HenryH. Henry LAC,,5,9,5.6,0.7
6,,Eric EbronE. Ebron IND,,4,10,5.9,1.5
7,,David NjokuD. Njoku CLE,,4,8,6.8,1.0
8,,Evan EngramE. Engram NYG,,5,10,8.1,0.8
9,,Rob GronkowskiR. Gronkowski NE,,5,16,8.6,0.9
10,,Delanie WalkerD. Walker TEN,,10,15,11.6,1.3
Tier 4,
11,,Jack DoyleJ. Doyle IND,,10,17,11.7,1.5
12,,Jared CookJ. Cook OAK,,6,18,12.1,2.7
13,,Trey BurtonT. Burton CHI,,8,19,13.3,2.1
14,,Greg OlsenG. Olsen CAR,,10,18,14.1,2.3
Tier 5,
15,,Austin HooperA. Hooper ATL,,9,19,15.4,1.7
16,,Chris Herndon IVC. Herndon NYJ,,13,18,15.6,1.5
17,,Jordan ReedJ. Reed WAS,,14,21,17.9,1.6
18,,Kyle RudolphK. Rudolph MIN,,11,22,18.6,2.3
19,,Jimmy GrahamJ. Graham GB,,14,21,18.7,1.9
20,,Jaylen SamuelsJ. Samuels PIT,,6,27,18.9,4.6
21,,Vance McDonaldV. McDonald PIT,,13,23,19.6,2.0
22,,Gerald EverettG. Everett LAR,,16,31,22.1,0.6
23,,Dallas GoedertD. Goedert PHI,,23,28,24.7,1.2
24,,Cameron BrateC. Brate TB,,20,41,24.9,2.8
25,,Mike GesickiM. Gesicki MIA,,22,29,25.7,1.0
Tier 6,
26,,Ricky Seals-JonesR. Seals-Jones ARI,,25,45,29.0,2.8
27,,Hayden HurstH. Hurst BAL,,24,50,29.4,4.5
28,,Tyler EifertT. Eifert CIN,,13,33,24.5,2.8
29,,Jake ButtJ. Butt DEN,,25,37,32.6,3.4
30,,Nick VannettN. Vannett SEA,,30,46,33.9,2.9
31,,Mark AndrewsM. Andrews BAL,,19,45,26.7,2.7
32,,Ian ThomasI. Thomas CAR,,25,38,30.2,1.5
33,,Austin Seferian-JenkinsA. Seferian-Jenkins JAC,,28,36,31.3,0.9
34,,Charles ClayC. Clay BUF,,29,40,34.0,2.3
35,,Luke WillsonL. Willson DET,,34,74,37.8,5.1
Tier 7,
36,,Jonnu SmithJ. Smith TEN,,30,65,38.6,13.5
37,,Adam ShaheenA. Shaheen CHI,,35,53,39.2,6.9
38,,Vernon DavisV. Davis WAS,,32,61,40.2,10.7
39,,C.J. UzomahC. Uzomah CIN,,29,54,41.8,10.7
40,,Blake JarwinB. Jarwin DAL,,21,69,35.8,19.4
41,,Jesse JamesJ. James PIT,,39,60,44.8,8.2
42,,Ryan GriffinR. Griffin HOU,,32,46,41.3,5.4
43,,Jordan ThomasJ. Thomas HOU,,30,59,41.8,10.6
44,,Will DisslyW. Dissly SEA,,28,77,43.8,19.4
45,,Geoff SwaimG. Swaim DAL,,26,77,51.0,18.8
46,,Dan ArnoldD. Arnold NO,,31,73,53.4,18.0
47,,Demetrius HarrisD. Harris KC,,43,55,47.5,4.6
Tier 8,
48,,Tyler HigbeeT. Higbee LAR,,32,62,49.8,11.0
49,,Antonio GatesA. Gates LAC,,34,47,40.7,5.3
50,,Tyler KroftT. Kroft CIN,,37,64,50.0,12.5
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Michael RobertsM. Roberts DET,,36,66,50.3,11.3
52,,Rhett EllisonR. Ellison NYG,,42,79,54.5,14.9
53,,Nick BoyleN. Boyle BAL,,49,71,55.5,9.0
54,,Benjamin WatsonB. Watson NO,,31,37,34.0,3.0
55,,Virgil GreenV. Green LAC,,41,84,57.5,17.6
56,,Josh HillJ. Hill NO,,46,56,50.0,4.3
57,,Ed DicksonE. Dickson SEA,,41,64,51.3,9.5
58,,Jermaine GreshamJ. Gresham ARI,,36,80,52.0,19.9
59,,Maxx WilliamsM. Williams BAL,,49,66,58.0,6.0
60,,Jeff HeuermanJ. Heuerman DEN,,42,65,51.7,9.7
61,,Lee SmithL. Smith OAK,,40,76,52.7,16.5
62,,Levine ToiloloL. Toilolo DET,,45,85,60.8,16.5
63,,Erik SwoopeE. Swoope FA,,48,64,53.3,7.5
64,,Garrett CelekG. Celek SF,,44,67,54.0,9.6
65,,Jordan AkinsJ. Akins HOU,,44,75,60.0,12.9
66,,James O'ShaughnessyJ. O'Shaughnessy JAC,,51,66,58.0,6.2
Tier 9,
67,,Mo Alie-CoxM. Alie-Cox IND,,57,63,59.7,2.5
68,,Anthony FirkserA. Firkser TEN,,57,72,64.5,7.5
69,,Jason CroomJ. Croom BUF,,58,73,66.0,6.2
70,,A.J. DerbyA. Derby MIA,,52,70,63.7,8.3
71,,Dalton SchultzD. Schultz DAL,,58,74,64.7,6.8
72,,Seth DeValveS. DeValve CLE,,54,63,58.5,4.5
73,,Jordan LeggettJ. Leggett NYJ,,50,69,59.5,9.5
74,,Luke StockerL. Stocker TEN,,41,98,69.5,28.5
75,,Jacob HollisterJ. Hollister NE,,52,68,60.0,8.0
76,,Derek CarrierD. Carrier OAK,,43,92,67.5,24.5
77,,Neal SterlingN. Sterling NYJ,,56,94,72.0,16.1
78,,Nick O'LearyN. O'Leary MIA,,55,75,67.0,8.6
79,,Troy FumagalliT. Fumagalli DEN,,53,73,63.0,10.0
80,,Robert TonyanR. Tonyan GB,,56,71,63.5,7.5
81,,Rico GathersR. Gathers DAL,,60,89,72.3,12.2
82,,Jeremy SprinkleJ. Sprinkle WAS,,54,78,66.0,12.0
Tier 10,
83,,Eric TomlinsonE. Tomlinson NYJ,,61,86,73.5,12.5
84,,Lance KendricksL. Kendricks GB,,62,87,74.5,12.5
85,,Dion SimsD. Sims CHI,,65,81,73.0,8.0
86,,Antony AuclairA. Auclair TB,,67,96,81.5,14.5
87,,MyCole PruittM. Pruitt TEN,,68,82,75.0,7.0
