Rank,WSIT,Rookies (Team),Pos,Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Darrell HendersonD. Henderson,RB1,,,2,4,3.0,0.8
2,,David MontgomeryD. Montgomery FA,RB2,,,3,5,3.7,0.9
3,,D.K. MetcalfD. Metcalf FA,WR1,,,2,6,4.3,1.7
4,,Josh JacobsJ. Jacobs FA,RB3,,,1,10,5.0,3.7
5,,N'Keal HarryN. Harry FA,WR2,,,4,6,5.0,0.8
6,,Kelvin HarmonK. Harmon FA,WR3,,,1,10,6.0,3.7
7,,Rodney AndersonR. Anderson FA,RB4,,,1,14,7.7,5.3
8,,Hakeem ButlerH. Butler FA,WR4,,,6,9,8.0,1.4
9,,A.J. BrownA. Brown FA,WR5,,,7,10,8.3,1.2
10,,Marquise BrownM. Brown FA,WR6,,,8,11,10.0,1.4
11,,Devin SingletaryD. Singletary FA,RB5,,,7,13,10.7,2.6
12,,Damien HarrisD. Harris FA,RB6,,,11,13,12.0,0.8
13,,JJ Arcega-WhitesideJ. Arcega-Whiteside FA,WR7,,,9,16,13.0,2.9
14,,Justice HillJ. Hill FA,RB7,,,14,15,14.7,0.5
15,,Benjamin Snell Jr.B. Snell FA,RB8,,,13,17,15.3,1.7
16,,Elijah HolyfieldE. Holyfield FA,RB9,,,17,20,18.3,1.2
17,,Kyler MurrayK. Murray,QB1,,,2,33,20.0,13.1
18,,Trayveon WilliamsT. Williams,RB10,,,12,32,20.7,8.4
19,,Parris CampbellP. Campbell FA,WR8,,,15,28,21.0,5.4
20,,Miles SandersM. Sanders FA,RB11,,,16,29,21.3,5.6
21,,Lil'Jordan HumphreyL. Humphrey,WR9,,,18,25,21.3,2.9
22,,Riley RidleyR. Ridley FA,WR10,,,22,28,24.0,2.8
23,,Deebo SamuelD. Samuel FA,WR11,,,21,30,24.7,3.9
24,,Irv Smith Jr.I. Smith FA,TE1,,,19,34,25.7,6.2
25,,Bryce LoveB. Love FA,RB12,,,25,33,28.0,3.6
26,,Dwayne HaskinsD. Haskins FA,QB2,,,23,40,29.7,7.4
27,,Emanuel HallE. Hall FA,WR12,,,20,45,31.0,10.4
28,,T.J. HockensonT. Hockenson FA,TE2,,,24,43,31.3,8.3
29,,Andy IsabellaA. Isabella FA,WR13,,,27,42,32.7,6.6
30,,Antoine WesleyA. Wesley,WR14,,,30,37,32.7,3.1
31,,DaMarkus LodgeD. Lodge FA,WR15,,,31,36,34.0,2.2
32,,James WilliamsJ. Williams,RB13,,,30,51,37.7,9.5
33,,Mike WeberM. Weber FA,RB14,,,33,44,38.0,4.5
34,,Preston WilliamsP. Williams FA,WR16,,,29,62,41.7,14.5
35,,David SillsD. Sills FA,WR17,,,37,43,39.3,2.6
36,,Drew LockD. Lock FA,QB3,,,32,54,40.3,9.7
37,,Dillon MitchellD. Mitchell FA,WR18,,,26,50,40.0,10.2
38,,Darwin ThompsonD. Thompson FA,RB15,,,36,45,40.7,3.7
39,,Kaden SmithK. Smith FA,TE3,,,38,64,47.0,12.0
40,,KeeSean JohnsonK. Johnson FA,WR19,,,39,66,48.3,12.5
41,,Will GrierW. Grier FA,QB4,,,40,50,43.7,4.5
42,,Dexter WilliamsD. Williams FA,RB16,,,41,58,47.7,7.4
43,,Isaac NautaI. Nauta,TE4,,,42,70,53.0,12.2
44,,Daniel JonesD. Jones FA,QB5,,,43,55,48.7,4.9
