"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","ScrapeDate"
"Christian McCaffrey","CAR","RB",1,3,1.3,6,1,2.3,0.7,5,1,2.5,,,,,1.5,5,1,2.3,1.1,4,2019-09-13
"Ezekiel Elliott","DAL","RB",2,5.3,2.4,10,2,3.5,0.8,5,1,2.5,,,,,1.7,5,1,2.3,1.3,4,2019-09-13
"Saquon Barkley","NYG","RB",1,1.2,0.6,5,1,1.1,0.4,4,1,2.8,,,,,1.5,5,1,2.5,1.1,4,2019-09-13
"Alvin Kamara","NOS","RB",2,4.7,1.3,8,2,3.1,0.5,4,2,3.3,,,,,1.1,5,2,3,0.7,4,2019-09-13
"Davante Adams","GBP","WR",4,7.8,1.8,15,1,3.9,1.2,7,4,4.8,,,,,1.3,7,1,1.5,0.9,3,2019-09-13
"DeAndre Hopkins","HOU","WR",1,3.7,1.4,9,1,1.4,0.6,4,6,6,,,,,0,6,2,2,0,2,2019-09-13
"Julio Jones","ATL","WR",9,15.5,2.2,25,3,8,1.5,13,4,7.5,,,,,2.9,12,1,3.3,1.8,6,2019-09-13
"Travis Kelce","KCC","TE",8,20.3,4,31,1,1.1,0.3,3,9,9,,,,,0,9,1,1,0,1,2019-09-13
"David Johnson","ARI","RB",5,15.4,5.3,34,5,7.9,2.4,15,8,9.8,,,,,3,15,5,5.8,1.3,8,2019-09-13
"Michael Thomas","NOS","WR",3,8.5,1.5,16,2,3.9,0.9,6,10,10,,,,,0,10,4,4,0,4,2019-09-13
"Odell Beckham","CLE","WR",1,6.1,2.9,14,1,3.1,1.4,7,7,10.5,,,,,2.1,12,3,5,1.2,6,2019-09-13
"Dalvin Cook","MIN","RB",9,16.2,3,22,5,8.5,1.4,15,8,12.8,,,,,2.9,15,5,6.8,1.3,8,2019-09-13
"LeVeon Bell","NYJ","RB",9,23.3,5.7,46,7,11.9,2.2,20,13,13.5,,,,,0.5,14,6,6.5,0.5,7,2019-09-13
