Rank,WSID,Team DST,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Chicago (CHI)CHI DST,6,1,1,1.0,0.0,1.0,0.0
2,,Jacksonville (JAC)JAC DST,10,2,14,3.3,1.5,3.0,+1.0
3,,Los Angeles (LAR)LAR DST,9,2,14,4.0,1.8,2.0,-1.0
Tier 2,
4,,Baltimore (BAL)BAL DST,8,2,15,5.1,3.3,4.0,0.0
5,,Los Angeles (LAC)LAC DST,12,2,17,5.3,2.6,5.0,0.0
6,,Minnesota (MIN)MIN DST,12,2,14,5.4,1.7,6.0,0.0
7,,Houston (HOU)HOU DST,10,3,22,7.0,2.2,7.0,0.0
Tier 3,
8,,New Orleans (NO)NO DST,9,3,15,9.1,1.6,10.0,+2.0
9,,Cleveland (CLE)CLE DST,7,3,25,9.5,2.7,8.0,-1.0
10,,Denver (DEN)DEN DST,10,7,19,10.1,1.9,11.0,+1.0
11,,Buffalo (BUF)BUF DST,6,5,25,12.5,2.9,18.0,+7.0
12,,New England (NE)NE DST,10,6,17,12.6,2.3,12.0,0.0
13,,Dallas (DAL)DAL DST,8,4,24,12.7,2.9,13.0,0.0
Tier 4,
14,,Philadelphia (PHI)PHI DST,10,9,27,15.4,2.4,15.0,+1.0
15,,Seattle (SEA)SEA DST,11,9,21,15.5,2.3,16.0,+1.0
16,,Tennessee (TEN)TEN DST,11,11,28,16.8,2.7,21.0,+5.0
17,,Pittsburgh (PIT)PIT DST,7,7,29,17.4,3.4,14.0,-3.0
18,,Indianapolis (IND)IND DST,6,4,31,17.6,4.4,17.0,-1.0
19,,Kansas City (KC)KC DST,12,4,25,18.5,4.1,9.0,-10.0
20,,Green Bay (GB)GB DST,11,8,26,19.5,4.4,22.0,+2.0
21,,Atlanta (ATL)ATL DST,9,10,31,21.0,4.2,24.0,+3.0
22,,Carolina (CAR)CAR DST,7,13,30,21.1,3.4,20.0,-2.0
Tier 5,
23,,New York (NYJ)NYJ DST,4,8,30,22.4,4.5,19.0,-4.0
24,,Washington (WAS)WAS DST,10,10,32,23.5,3.9,26.0,+2.0
25,,Arizona (ARI)ARI DST,12,15,27,24.1,2.3,27.0,+2.0
26,,Detroit (DET)DET DST,5,9,28,25.3,1.7,25.0,-1.0
27,,San Francisco (SF)SF DST,4,8,32,26.3,4.0,23.0,-4.0
28,,New York (NYG)NYG DST,11,18,32,27.3,2.3,28.0,0.0
29,,Miami (MIA)MIA DST,5,15,31,28.2,2.7,31.0,+2.0
30,,Tampa Bay (TB)TB DST,7,20,32,29.1,2.2,30.0,0.0
31,,Cincinnati (CIN)CIN DST,9,23,32,29.9,1.4,32.0,+1.0
32,,Oakland (OAK)OAK DST,6,19,32,30.5,2.1,29.0,-3.0
