Rank,WSID,Team DST,Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Minnesota (MIN)MIN DST,12,,1,3,1.8,1.0
2,,Chicago (CHI)CHI DST,6,,1,7,3.2,2.1
3,,Baltimore (BAL)BAL DST,8,,2,14,3.6,0.8
4,,Houston (HOU)HOU DST,10,,2,7,4.8,1.6
5,,Los Angeles (LAR)LAR DST,9,,3,6,5.4,1.2
6,,Denver (DEN)DEN DST,10,,3,7,6.2,1.2
7,,Jacksonville (JAC)JAC DST,10,,1,3,2.3,0.8
8,,Los Angeles (LAC)LAC DST,12,,5,9,7.6,1.4
9,,Atlanta (ATL)ATL DST,9,,5,15,9.4,3.2
10,,New Orleans (NO)NO DST,9,,10,11,10.2,0.4
11,,Carolina (CAR)CAR DST,7,,5,13,10.8,1.6
12,,Cleveland (CLE)CLE DST,7,,10,12,11.6,0.8
13,,Buffalo (BUF)BUF DST,6,,13,16,13.8,1.2
14,,Philadelphia (PHI)PHI DST,10,,2,22,14.6,4.2
15,,New England (NE)NE DST,10,,15,18,16.2,1.0
16,,Arizona (ARI)ARI DST,12,,15,20,16.8,2.2
17,,Dallas (DAL)DAL DST,8,,17,19,17.4,0.8
18,,Cincinnati (CIN)CIN DST,9,,13,23,18.6,3.2
19,,Pittsburgh (PIT)PIT DST,7,,6,21,19.0,1.3
20,,Seattle (SEA)SEA DST,11,,8,24,19.6,4.5
21,,Green Bay (GB)GB DST,11,,7,22,19.8,1.6
22,,Tennessee (TEN)TEN DST,11,,1,26,20.0,6.2
23,,Kansas City (KC)KC DST,12,,12,25,21.8,4.9
24,,Detroit (DET)DET DST,5,,18,24,22.2,2.1
25,,New York (NYJ)NYJ DST,4,,9,28,19.3,7.8
26,,New York (NYG)NYG DST,11,,16,27,23.6,3.9
27,,Indianapolis (IND)IND DST,6,,26,29,26.6,1.2
28,,Miami (MIA)MIA DST,5,,25,27,26.5,0.9
29,,San Francisco (SF)SF DST,4,,23,28,27.0,2.0
