Rank,WSIT,Kickers (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Justin TuckerJ. Tucker BAL,8,29,1,3,1.2,0.4
2,,Greg ZuerleinG. Zuerlein LAR,9,31,1,7,2.3,0.5
3,,Stephen GostkowskiS. Gostkowski NE,10,35,2,7,3.2,0.9
4,,Harrison ButkerH. Butker KC,12,24,1,14,5.8,3.6
5,,Wil LutzW. Lutz NO,9,25,5,15,5.8,0.9
6,,Mason CrosbyM. Crosby GB,11,35,4,11,7.3,1.7
7,,Matt PraterM. Prater DET,5,35,6,19,9.2,2.0
8,,Graham GanoG. Gano CAR,7,32,3,25,10.8,7.1
9,,Chris BoswellC. Boswell PIT,7,28,6,20,11.2,3.2
10,,Ka'imi FairbairnK. Fairbairn HOU,10,25,4,27,11.7,5.9
11,,Dan BaileyD. Bailey MIN,12,31,4,19,12.3,4.4
12,,Jake ElliottJ. Elliott PHI,10,24,3,20,12.8,4.2
13,,Adam VinatieriA. Vinatieri IND,6,46,10,16,13.0,1.9
14,,Robbie GouldR. Gould SF,4,37,10,20,14.0,4.0
15,,Brandon McManusB. McManus DEN,10,28,9,20,14.5,3.0
16,,Steven HauschkaS. Hauschka BUF,6,34,10,26,15.2,4.2
17,,Chandler CatanzaroC. Catanzaro FA,,28,12,29,17.5,5.7
18,,Matt BryantM. Bryant ATL,9,44,12,25,17.7,4.5
19,,Michael BadgleyM. Badgley LAC,12,24,6,14,11.3,3.1
20,,Brett MaherB. Maher DAL,8,29,9,17,13.3,2.9
21,,Cairo SantosC. Santos TEN,11,27,12,30,19.7,5.1
22,,Ryan SuccopR. Succop TEN,11,33,17,24,19.7,2.4
23,,Daniel CarlsonD. Carlson OAK,6,24,21,27,22.3,2.1
24,,Jason MyersJ. Myers SEA,11,28,12,18,14.7,2.5
25,,Josh LamboJ. Lambo JAC,10,28,19,31,23.7,3.6
26,,Giorgio TavecchioG. Tavecchio FA,,29,5,32,19.3,11.1
27,,Andrew JacasA. Jacas SF,4,,22,30,25.0,3.3
28,,Andrew WellockA. Wellock CAR,7,,24,29,26.4,2.2
29,,Greg JosephG. Joseph FA,,25,16,23,19.5,3.5
30,,Aldrick RosasA. Rosas NYG,11,24,19,33,24.0,6.4
31,,Eddy PineiroE. Pineiro CHI,6,24,18,36,25.0,7.9
32,,Kai ForbathK. Forbath FA,,32,23,26,24.7,1.2
33,,Kaare VedvikK. Vedvik FA,,25,16,28,22.0,6.0
34,,Cody ParkeyC. Parkey FA,,27,25,26,25.3,0.5
35,,Connor BarthC. Barth FA,,33,24,27,26.0,1.4
36,,Randy BullockR. Bullock CIN,9,29,24,31,27.0,2.9
37,,Dustin HopkinsD. Hopkins WAS,10,28,26,30,28.0,1.6
38,,Zane GonzalezZ. Gonzalez ARI,12,24,22,37,30.0,6.2
39,,Jason SandersJ. Sanders MIA,5,23,27,34,30.5,3.5
