Rank,WSID,Running Backs (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Saquon BarkleyS. Barkley NYG,,22,1,1,1.0,0.0
2,,Ezekiel ElliottE. Elliott DAL,,23,2,4,2.6,0.7
3,,Christian McCaffreyC. McCaffrey CAR,,22,2,5,3.6,0.7
4,,Todd GurleyT. Gurley LAR,,24,2,9,4.2,1.9
5,,Alvin KamaraA. Kamara NO,,23,3,7,4.2,0.8
6,,Joe MixonJ. Mixon CIN,,22,5,10,6.6,1.1
7,,Melvin GordonM. Gordon LAC,,25,6,9,7.2,0.8
8,,Dalvin CookD. Cook MIN,,23,5,13,7.7,1.6
9,,David JohnsonD. Johnson ARI,,27,7,12,9.6,0.8
10,,Nick ChubbN. Chubb CLE,,23,7,15,10.6,1.9
11,,Le'Veon BellL. Bell NYJ,,27,5,14,11.2,1.9
12,,James ConnerJ. Conner PIT,,23,8,15,11.7,1.4
13,,Sony MichelS. Michel NE,,24,10,16,13.9,0.9
14,,Kerryon JohnsonK. Johnson DET,,21,10,20,14.9,1.7
15,,Aaron JonesA. Jones GB,,24,11,18,15.8,0.9
16,,Derrius GuiceD. Guice WAS,,21,11,23,16.3,1.3
17,,Leonard FournetteL. Fournette JAC,,24,8,27,17.2,2.6
18,,Phillip LindsayP. Lindsay DEN,,24,18,24,19.0,1.1
19,,Derrick HenryD. Henry TEN,,24,16,22,19.4,1.2
20,,Marlon MackM. Mack IND,,23,14,30,20.6,2.7
21,,Rashaad PennyR. Penny SEA,,23,21,29,23.4,2.6
22,,Kareem HuntK. Hunt CLE,,23,13,36,24.2,5.7
23,,Devonta FreemanD. Freeman ATL,,27,20,32,24.6,2.1
24,,Tarik CohenT. Cohen CHI,,23,23,32,25.2,2.1
25,,Chris CarsonC. Carson SEA,,24,15,37,25.4,1.9
26,,Tevin ColemanT. Coleman SF,,25,22,31,26.9,2.1
27,,Mark IngramM. Ingram BAL,,29,21,36,28.2,3.2
28,,Royce FreemanR. Freeman DEN,,23,26,33,28.8,1.3
29,,Damien WilliamsD. Williams KC,,26,10,43,29.7,8.6
30,,Jerick McKinnonJ. McKinnon SF,,26,21,63,29.8,4.2
31,,Kenyan DrakeK. Drake MIA,,25,27,49,30.0,1.5
32,,Jordan HowardJ. Howard CHI,,24,25,77,33.2,2.9
33,,James WhiteJ. White NE,,27,28,42,33.9,3.0
34,,Matt BreidaM. Breida SF,,24,26,50,34.8,3.8
35,,Lamar MillerL. Miller HOU,,27,33,76,36.6,1.6
36,,Ronald Jones IIR. Jones TB,,21,33,49,39.7,3.8
37,,Dion LewisD. Lewis TEN,,28,37,55,40.6,3.0
38,,Duke JohnsonD. Johnson CLE,,25,35,65,41.6,4.6
39,,T.J. YeldonT. Yeldon FA,,25,36,62,42.3,4.7
40,,Nyheim HinesN. Hines IND,,22,36,50,42.3,3.1
41,,Jay AjayiJ. Ajayi FA,,25,28,85,42.6,6.3
42,,Austin EkelerA. Ekeler LAC,,23,37,54,45.0,4.0
43,,Gus EdwardsG. Edwards BAL,,,37,62,46.4,3.3
44,,LeSean McCoyL. McCoy BUF,,30,37,70,47.8,5.3
45,,Elijah McGuireE. McGuire NYJ,,24,40,77,47.9,9.1
46,,Carlos HydeC. Hyde KC,,27,38,62,49.1,6.4
47,,Kenneth DixonK. Dixon BAL,,25,36,58,50.0,3.7
48,,Chris ThompsonC. Thompson WAS,,28,43,68,50.0,6.0
49,,D'Onta ForemanD. Foreman HOU,,22,37,64,51.3,7.2
50,,Ito SmithI. Smith ATL,,23,39,90,51.7,5.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Josh AdamsJ. Adams PHI,,22,45,84,52.1,2.8
