Rank,WSIT,Tight Ends (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Travis KelceT. Kelce KC,12,30,1,2,1.3,0.5
2,,George KittleG. Kittle SF,4,26,1,3,2.1,0.6
3,,Evan EngramE. Engram NYG,11,25,1,6,3.3,0.9
4,,Austin HooperA. Hooper ATL,9,25,4,7,5.0,0.8
5,,Mark AndrewsM. Andrews BAL,8,,4,9,5.6,1.4
6,,Hunter HenryH. Henry LAC,12,24,4,9,5.9,1.2
7,,Zach ErtzZ. Ertz PHI,10,29,2,9,6.4,2.3
8,,Darren WallerD. Waller OAK,6,27,6,53,8.1,1.7
9,,T.J. HockensonT. Hockenson DET,5,22,5,16,8.3,1.3
10,,Dallas GoedertD. Goedert PHI,10,24,10,14,11.0,0.5
11,,O.J. HowardO. Howard TB,7,25,9,13,11.4,1.0
12,,David NjokuD. Njoku CLE,7,23,7,14,11.7,1.5
13,,Noah FantN. Fant DEN,10,22,8,26,12.4,2.8
14,,Irv Smith Jr.I. Smith MIN,12,21,12,34,15.7,2.7
15,,Eric EbronE. Ebron IND,6,26,11,22,16.1,2.1
16,,Gerald EverettG. Everett LAR,9,25,14,28,17.7,4.3
17,,Chris Herndon IVC. Herndon NYJ,4,23,12,23,18.1,2.4
18,,Will DisslyW. Dissly SEA,11,23,14,39,20.6,5.9
19,,Vance McDonaldV. McDonald PIT,7,29,14,28,21.3,2.8
20,,Mike GesickiM. Gesicki MIA,5,24,16,37,21.6,4.8
21,,Ian ThomasI. Thomas CAR,7,23,15,39,21.9,2.5
22,,Jared CookJ. Cook NO,9,32,9,25,22.0,1.3
23,,Jonnu SmithJ. Smith TEN,11,24,17,37,24.0,5.7
24,,Dawson KnoxD. Knox BUF,6,23,20,52,24.7,6.0
25,,Greg OlsenG. Olsen CAR,7,34,19,34,25.6,3.2
26,,Trey BurtonT. Burton CHI,6,28,13,33,25.9,4.8
27,,Jack DoyleJ. Doyle IND,6,29,17,38,27.1,6.3
28,,Delanie WalkerD. Walker TEN,11,35,15,35,28.6,2.6
