Rank,WSID,Wide Receivers (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,DeAndre HopkinsD. Hopkins HOU,10,27,1,4,1.4,0.7
2,,Odell Beckham Jr.O. Beckham CLE,7,26,1,5,2.3,0.9
3,,Michael ThomasM. Thomas NO,9,26,2,5,3.4,0.8
4,,Davante AdamsD. Adams GB,11,26,1,6,3.5,1.1
5,,JuJu Smith-SchusterJ. Smith-Schuster PIT,7,22,1,9,5.0,1.4
6,,Mike EvansM. Evans TB,7,25,4,8,6.1,0.8
7,,Julio JonesJ. Jones ATL,9,30,3,14,7.8,1.2
8,,Amari CooperA. Cooper DAL,8,25,7,13,8.7,1.7
9,,Keenan AllenK. Allen LAC,12,27,5,14,9.1,1.9
10,,Stefon DiggsS. Diggs MIN,12,25,6,14,10.0,1.4
11,,Antonio BrownA. Brown OAK,6,30,7,13,10.4,1.0
12,,Brandin CooksB. Cooks LAR,9,25,10,24,14.3,2.5
13,,Adam ThielenA. Thielen MIN,12,28,12,23,14.5,2.1
14,,Kenny GolladayK. Golladay DET,5,25,7,20,15.0,3.2
15,,A.J. GreenA. Green CIN,9,30,10,40,15.0,2.2
16,,T.Y. HiltonT. Hilton IND,6,29,9,30,16.0,2.2
17,,D.J. MooreD. Moore CAR,7,22,10,27,18.2,4.1
18,,Robert WoodsR. Woods LAR,9,27,14,42,20.3,4.8
19,,Cooper KuppC. Kupp LAR,9,26,14,36,20.4,2.7
20,,Calvin RidleyC. Ridley ATL,9,24,11,34,21.7,3.9
21,,Corey DavisC. Davis TEN,11,24,14,39,22.0,4.1
22,,Chris GodwinC. Godwin TB,7,23,15,37,22.9,4.1
23,,N'Keal HarryN. Harry NE,10,,7,57,24.3,7.1
24,,Allen RobinsonA. Robinson CHI,6,25,18,44,25.9,4.4
25,,Mike WilliamsM. Williams LAC,12,24,18,44,26.2,4.3
26,,Jarvis LandryJ. Landry CLE,7,26,19,35,27.4,3.3
27,,Sammy WatkinsS. Watkins KC,12,26,18,50,28.8,4.8
28,,Courtland SuttonC. Sutton DEN,10,23,20,45,30.0,4.5
29,,Tyler LockettT. Lockett SEA,11,26,19,53,31.3,7.6
30,,Tyler BoydT. Boyd CIN,9,24,19,47,31.6,4.3
31,,Christian KirkC. Kirk ARI,12,22,22,46,32.9,4.4
32,,Will FullerW. Fuller HOU,10,25,21,50,33.8,4.5
33,,Alshon JefferyA. Jeffery PHI,10,29,18,48,34.1,5.7
34,,Dante PettisD. Pettis SF,4,23,25,49,34.2,4.4
35,,Tyreek HillT. Hill KC,12,25,10,100,36.1,21.8
36,,A.J. BrownA. Brown TEN,11,,20,103,37.8,16.6
37,,D.K. MetcalfD. Metcalf SEA,11,,21,101,38.8,18.8
38,,Robby AndersonR. Anderson NYJ,4,26,27,66,40.5,8.6
39,,Anthony MillerA. Miller CHI,6,23,32,69,42.0,4.6
40,,Sterling ShepardS. Shepard NYG,11,26,28,54,42.4,6.2
41,,Parris CampbellP. Campbell IND,6,,24,70,42.5,12.2
42,,Marvin JonesM. Jones DET,5,29,32,63,43.5,6.7
43,,Marquise BrownM. Brown BAL,8,,24,111,45.4,17.7
44,,James WashingtonJ. Washington PIT,7,23,35,57,46.2,5.0
45,,Dede WestbrookD. Westbrook JAC,10,25,36,82,47.8,5.4
46,,Keke CouteeK. Coutee HOU,10,22,35,80,48.3,7.1
47,,Deebo SamuelD. Samuel SF,4,,22,126,48.4,13.4
48,,Golden TateG. Tate NYG,11,30,32,69,50.4,5.6
49,,Michael GallupM. Gallup DAL,8,23,38,75,50.4,7.7
50,,Curtis SamuelC. Samuel CAR,7,22,38,107,50.9,7.2
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Julian EdelmanJ. Edelman NE,10,33,18,73,51.4,10.4
52,,J.J. Arcega-WhitesideJ. Arcega-Whiteside PHI,10,,35,94,53.6,12.4
53,,Tre'Quan SmithT. Smith NO,9,23,32,76,55.5,6.4
54,,DaeSean HamiltonD. Hamilton DEN,10,24,26,87,56.7,9.8
55,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,11,24,38,68,57.2,3.3
56,,Devin FunchessD. Funchess IND,6,25,49,66,57.2,4.6
57,,John BrownJ. Brown BUF,6,29,44,84,57.5,8.6
58,,Mecole HardmanM. Hardman KC,12,,29,96,51.5,14.4
59,,Hakeem ButlerH. Butler ARI,12,,30,100,60.9,15.1
60,,Emmanuel SandersE. Sanders DEN,10,32,44,98,61.9,10.0
61,,Andy IsabellaA. Isabella ARI,12,,36,98,56.1,16.2
62,,Antonio CallawayA. Callaway CLE,7,22,51,84,64.5,6.3
63,,Robert FosterR. Foster BUF,6,25,34,114,66.0,15.5
