Rank,WSID,Kickers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Greg ZuerleinG. Zuerlein LAR,9,1,3,1.1,0.3,1.0,0.0
2,,Justin TuckerJ. Tucker BAL,8,1,15,2.5,1.2,2.0,0.0
3,,Harrison ButkerH. Butker KC,12,2,6,3.2,1.0,3.0,0.0
4,,Stephen GostkowskiS. Gostkowski NE,10,2,10,3.7,0.8,6.0,+2.0
5,,Wil LutzW. Lutz NO,9,3,8,5.0,1.0,4.0,-1.0
Tier 2,
6,,Ka'imi FairbairnK. Fairbairn HOU,10,3,27,7.3,3.4,5.0,-1.0
7,,Mason CrosbyM. Crosby GB,11,6,26,7.7,1.9,11.0,+4.0
8,,Jake ElliottJ. Elliott PHI,10,6,16,9.0,1.7,13.0,+5.0
9,,Brett MaherB. Maher DAL,8,7,14,9.9,1.6,14.0,+5.0
10,,Michael BadgleyM. Badgley LAC,12,6,19,11.1,2.2,12.0,+2.0
11,,Robbie GouldR. Gould SF,4,6,28,11.2,2.8,8.0,-3.0
12,,Matt PraterM. Prater DET,5,7,25,11.2,3.5,15.0,+3.0
Tier 3,
13,,Adam VinatieriA. Vinatieri IND,6,5,17,12.9,2.0,9.0,-4.0
14,,Jason MyersJ. Myers SEA,11,7,24,15.1,2.9,7.0,-7.0
15,,Graham GanoG. Gano CAR,7,10,29,15.7,3.9,21.0,+6.0
16,,Aldrick RosasA. Rosas NYG,11,14,32,17.4,2.8,10.0,-6.0
17,,Dan BaileyD. Bailey MIN,12,11,29,18.0,3.4,17.0,0.0
18,,Chris BoswellC. Boswell PIT,7,5,24,18.2,2.8,18.0,0.0
19,,Ryan SuccopR. Succop TEN,11,12,24,19.6,2.3,19.0,0.0
20,,Brandon McManusB. McManus DEN,10,6,29,20.8,2.7,20.0,0.0
Tier 4,
21,,Josh LamboJ. Lambo JAC,10,11,30,21.9,3.4,24.0,+3.0
22,,Giorgio TavecchioG. Tavecchio ATL,9,10,31,19.8,5.1,16.0,-6.0
23,,Greg JosephG. Joseph CLE,7,7,33,23.1,4.3,23.0,0.0
24,,Steven HauschkaS. Hauschka BUF,6,4,29,24.5,1.6,28.0,+4.0
25,,Daniel CarlsonD. Carlson OAK,6,13,31,24.5,3.6,32.0,+7.0
26,,Chandler CatanzaroC. Catanzaro NYJ,4,11,32,25.2,3.7,30.0,+4.0
27,,Cairo SantosC. Santos TB,7,15,34,25.9,3.1,38.0,+11.0
28,,Dustin HopkinsD. Hopkins WAS,10,14,34,26.7,3.0,52.0,+24.0
Tier 5,
29,,Randy BullockR. Bullock CIN,9,7,33,28.8,2.1,54.0,+25.0
30,,Zane GonzalezZ. Gonzalez ARI,12,18,36,30.6,2.6,53.0,+23.0
31,,Matt BryantM. Bryant FA,,13,33,20.7,6.2,31.0,0.0
32,,Eddy PineiroE. Pineiro CHI,6,13,35,30.6,3.9,26.0,-6.0
33,,Jason SandersJ. Sanders MIA,5,19,33,31.1,1.3,55.0,+22.0
34,,Austin SeibertA. Seibert CLE,7,5,37,27.7,7.6,22.0,-12.0
35,,Matt GayM. Gay TB,7,16,35,28.5,5.0,29.0,-6.0
36,,Cody ParkeyC. Parkey FA,,20,36,26.0,6.4,33.0,-3.0
37,,Andrew JacasA. Jacas SF,4,27,36,31.5,4.5,,
38,,Chris BlewittC. Blewitt FA,,31,38,33.7,3.1,50.0,+12.0
39,,Andrew WellockA. Wellock CAR,7,28,37,32.5,4.5,,
