Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,2,1.3,0.5
2,,Ezekiel ElliottE. Elliott DAL,RB2,8,1,5,2.9,1.1
3,,Christian McCaffreyC. McCaffrey CAR,RB3,7,2,9,3.1,0.9
4,,Alvin KamaraA. Kamara NO,RB4,9,2,7,3.6,1.0
5,,Melvin GordonM. Gordon LAC,RB5,12,5,14,6.6,1.6
6,,DeAndre HopkinsD. Hopkins HOU,WR1,10,6,12,7.2,2.1
7,,Todd GurleyT. Gurley LAR,RB6,9,1,31,8.9,5.7
8,,Davante AdamsD. Adams GB,WR2,11,6,20,10.1,3.2
9,,Julio JonesJ. Jones ATL,WR3,9,6,16,10.5,1.4
10,,Odell Beckham Jr.O. Beckham CLE,WR4,7,6,24,11.0,2.8
11,,Michael ThomasM. Thomas NO,WR5,9,6,25,11.6,3.8
12,,Le'Veon BellL. Bell NYJ,RB7,4,4,40,12.3,5.2
13,,Travis KelceT. Kelce KC,TE1,12,13,13,13.0,0.0
14,,David JohnsonD. Johnson ARI,RB8,12,4,23,13.6,5.9
15,,James ConnerJ. Conner PIT,RB9,7,7,27,15.0,4.5
Tier 2,
16,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,8,30,17.4,5.4
17,,Joe MixonJ. Mixon CIN,RB10,9,4,40,17.5,2.7
18,,Antonio BrownA. Brown OAK,WR7,6,8,25,18.3,4.3
19,,Zach ErtzZ. Ertz PHI,TE2,10,15,53,19.5,8.2
20,,George KittleG. Kittle SF,TE3,4,15,22,19.7,3.3
21,,Nick ChubbN. Chubb CLE,RB11,7,5,51,21.0,5.1
22,,Dalvin CookD. Cook MIN,RB12,12,9,46,21.2,3.7
23,,Mike EvansM. Evans TB,WR8,7,16,33,23.9,2.9
Tier 4,
24,,A.J. GreenA. Green CIN,WR9,9,20,36,27.1,2.6
25,,T.Y. HiltonT. Hilton IND,WR10,6,10,34,27.4,4.4
26,,Amari CooperA. Cooper DAL,WR11,8,24,33,28.2,2.5
27,,Keenan AllenK. Allen LAC,WR12,12,20,35,28.4,2.6
28,,Adam ThielenA. Thielen MIN,WR13,12,25,36,32.3,2.3
29,,Leonard FournetteL. Fournette JAC,RB13,10,18,52,32.4,9.3
30,,Patrick MahomesP. Mahomes KC,QB1,12,28,54,32.6,8.4
31,,Stefon DiggsS. Diggs MIN,WR14,12,30,36,32.9,1.3
32,,Marlon MackM. Mack IND,RB14,6,17,60,34.6,10.4
33,,Sony MichelS. Michel NE,RB15,10,19,59,35.1,9.3
34,,Brandin CooksB. Cooks LAR,WR15,9,32,49,35.9,1.9
35,,Robert WoodsR. Woods LAR,WR16,9,33,65,36.0,1.8
36,,Aaron JonesA. Jones GB,RB16,11,14,60,36.4,10.7
37,,Kenny GolladayK. Golladay DET,WR17,5,32,48,36.8,2.3
38,,Damien WilliamsD. Williams KC,RB17,12,14,83,38.5,19.1
39,,Julian EdelmanJ. Edelman NE,WR18,10,33,58,39.5,6.1
Tier 5,
40,,Cooper KuppC. Kupp LAR,WR19,9,34,74,42.0,7.3
41,,Andrew LuckA. Luck IND,QB2,6,28,70,43.9,8.2
