Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,5,1.7,0.9,1.0,0.0
2,,Christian McCaffreyC. McCaffrey CAR,RB2,7,1,6,2.4,1.0,2.0,0.0
3,,Alvin KamaraA. Kamara NO,RB3,9,1,17,3.1,1.7,3.0,0.0
4,,Ezekiel ElliottE. Elliott DAL,RB4,8,1,59,5.2,4.5,4.0,0.0
Tier 2,
5,,David JohnsonD. Johnson ARI,RB5,12,1,31,7.4,5.5,6.0,+1.0
6,,DeAndre HopkinsD. Hopkins HOU,WR1,10,5,20,8.6,2.1,5.0,-1.0
7,,Travis KelceT. Kelce KC,TE1,12,7,22,9.3,2.8,13.0,+6.0
8,,Davante AdamsD. Adams GB,WR2,11,5,25,9.4,3.3,8.0,0.0
9,,Julio JonesJ. Jones ATL,WR3,9,5,32,10.3,2.5,10.0,+1.0
10,,Michael ThomasM. Thomas NO,WR4,9,7,34,12.4,4.2,9.0,-1.0
11,,James ConnerJ. Conner PIT,RB6,7,2,44,13.0,5.9,11.0,0.0
12,,Le'Veon BellL. Bell NYJ,RB7,4,2,44,13.2,7.7,7.0,-5.0
13,,Odell Beckham Jr.O. Beckham CLE,WR5,7,7,30,13.6,3.7,12.0,-1.0
Tier 3,
14,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,6,34,14.2,4.1,16.0,+2.0
15,,Joe MixonJ. Mixon CIN,RB8,9,5,42,15.4,5.5,17.0,+2.0
16,,Dalvin CookD. Cook MIN,RB9,12,5,44,17.8,7.1,19.0,+3.0
17,,Nick ChubbN. Chubb CLE,RB10,7,1,71,19.1,8.7,20.0,+3.0
18,,Tyreek HillT. Hill KC,WR7,12,7,212,19.9,10.4,15.0,-3.0
19,,Todd GurleyT. Gurley LAR,RB11,9,1,57,20.6,11.3,14.0,-5.0
20,,Mike EvansM. Evans TB,WR8,7,7,33,20.7,4.3,21.0,+1.0
Tier 4,
21,,Keenan AllenK. Allen LAC,WR9,12,9,34,24.3,5.4,24.0,+3.0
22,,Antonio BrownA. Brown OAK,WR10,6,13,73,25.0,6.7,23.0,+1.0
23,,Zach ErtzZ. Ertz PHI,TE2,10,15,69,25.9,6.9,25.0,+2.0
24,,T.Y. HiltonT. Hilton IND,WR11,6,12,36,26.1,4.5,27.0,+3.0
25,,George KittleG. Kittle SF,TE3,4,8,69,26.2,8.3,29.0,+4.0
26,,Adam ThielenA. Thielen MIN,WR12,12,16,55,29.0,4.6,28.0,+2.0
27,,Amari CooperA. Cooper DAL,WR13,8,13,49,29.4,4.9,32.0,+5.0
28,,Melvin GordonM. Gordon LAC,RB12,12,1,100,29.4,18.0,22.0,-6.0
29,,Stefon DiggsS. Diggs MIN,WR14,12,16,43,29.8,4.3,35.0,+6.0
30,,Damien WilliamsD. Williams KC,RB13,12,4,61,31.6,12.6,26.0,-4.0
31,,Julian EdelmanJ. Edelman NE,WR15,10,10,68,33.0,6.6,39.0,+8.0
32,,Kerryon JohnsonK. Johnson DET,RB14,5,4,76,33.2,12.7,30.0,-2.0
33,,Brandin CooksB. Cooks LAR,WR16,9,20,49,34.4,3.1,40.0,+7.0
34,,Leonard FournetteL. Fournette JAC,RB15,10,14,60,34.7,12.0,31.0,-3.0
35,,Robert WoodsR. Woods LAR,WR17,9,24,73,35.2,4.7,41.0,+6.0
36,,Aaron JonesA. Jones GB,RB16,11,14,83,35.7,13.5,33.0,-3.0
37,,Devonta FreemanD. Freeman ATL,RB17,9,11,66,35.8,11.8,34.0,-3.0
Tier 5,
38,,Marlon MackM. Mack IND,RB18,6,17,61,37.8,12.1,36.0,-2.0
39,,Patrick MahomesP. Mahomes KC,QB1,12,1,56,39.4,5.6,18.0,-21.0
40,,Kenny GolladayK. Golladay DET,WR18,5,30,97,40.9,9.1,42.0,+2.0
41,,Chris GodwinC. Godwin TB,WR19,7,25,73,41.3,7.9,46.0,+5.0
42,,Tyler LockettT. Lockett SEA,WR20,11,28,113,46.0,12.0,51.0,+9.0
43,,Cooper KuppC. Kupp LAR,WR21,9,29,86,47.1,11.4,47.0,+4.0
44,,Josh JacobsJ. Jacobs OAK,RB19,6,4,227,48.7,15.0,37.0,-7.0
45,,Deshaun WatsonD. Watson HOU,QB2,10,38,68,50.3,6.8,43.0,-2.0
46,,Tyler BoydT. Boyd CIN,WR22,9,33,96,50.8,11.6,58.0,+12.0
47,,Alshon JefferyA. Jeffery PHI,WR23,10,32,97,51.7,10.8,70.0,+23.0
48,,Derrick HenryD. Henry TEN,RB20,11,11,110,53.2,11.1,38.0,-10.0
49,,Aaron RodgersA. Rodgers GB,QB3,11,38,79,53.2,7.4,54.0,+5.0
Tier 6,
50,,D.J. MooreD. Moore CAR,WR24,7,28,122,54.5,13.4,59.0,+9.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Calvin RidleyC. Ridley ATL,WR25,9,37,88,54.9,10.9,55.0,+4.0
52,,Andrew LuckA. Luck IND,QB4,6,38,91,54.9,10.2,50.0,-2.0
53,,Chris CarsonC. Carson SEA,RB21,11,27,104,57.2,12.6,53.0,0.0
54,,Allen RobinsonA. Robinson CHI,WR26,6,33,113,57.2,16.3,69.0,+15.0
55,,A.J. GreenA. Green CIN,WR27,9,20,127,57.3,22.5,45.0,-10.0
56,,James WhiteJ. White NE,RB22,10,11,112,58.3,16.0,52.0,-4.0
57,,Mark IngramM. Ingram BAL,RB23,8,19,93,58.7,12.9,49.0,-8.0
58,,Jarvis LandryJ. Landry CLE,WR28,7,28,124,59.1,15.4,64.0,+6.0
59,,O.J. HowardO. Howard TB,TE4,7,22,106,61.4,9.8,62.0,+3.0
60,,David MontgomeryD. Montgomery CHI,RB24,6,4,272,61.9,22.7,60.0,0.0
61,,Evan EngramE. Engram NYG,TE5,11,22,121,62.0,14.8,56.0,-5.0
62,,Phillip LindsayP. Lindsay DEN,RB25,10,17,118,63.7,14.6,48.0,-14.0
63,,Mike WilliamsM. Williams LAC,WR29,12,34,97,64.0,13.3,63.0,0.0
64,,Sony MichelS. Michel NE,RB26,10,17,112,65.2,13.8,44.0,-20.0
