Rank,WSID,Running Backs (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Todd GurleyT. Gurley LAR,,1,3,1.5,0.7
2,,Saquon BarkleyS. Barkley NYG,,1,4,2.0,0.7
3,,Ezekiel ElliottE. Elliott DAL,,1,6,2.7,0.6
4,,Christian McCaffreyC. McCaffrey CAR,,2,6,3.8,0.4
Tier 2,
5,,Alvin KamaraA. Kamara NO,,4,6,4.9,0.3
6,,Melvin GordonM. Gordon LAC,,5,6,5.8,0.4
7,,James ConnerJ. Conner PIT,,7,11,8.6,1.4
8,,Nick ChubbN. Chubb CLE,,7,12,8.7,1.5
9,,Le'Veon BellL. Bell PIT,,7,13,9.2,1.4
10,,Joe MixonJ. Mixon CIN,,7,12,9.5,1.1
Tier 3,
11,,Dalvin CookD. Cook MIN,,7,15,11.2,1.5
12,,David JohnsonD. Johnson ARI,,7,15,11.7,1.1
13,,Aaron JonesA. Jones GB,,9,20,12.5,1.3
14,,Leonard FournetteL. Fournette JAC,,9,27,15.4,1.6
15,,Sony MichelS. Michel NE,,14,21,15.7,1.4
Tier 4,
16,,Marlon MackM. Mack IND,,13,23,17.0,1.8
17,,Chris CarsonC. Carson SEA,,14,24,17.5,2.1
18,,Phillip LindsayP. Lindsay DEN,,12,23,18.3,0.9
19,,Kerryon JohnsonK. Johnson DET,,13,31,19.6,2.5
20,,Derrick HenryD. Henry TEN,,16,26,21.0,1.5
21,,Devonta FreemanD. Freeman ATL,,16,31,21.8,2.4
22,,Derrius GuiceD. Guice WAS,,17,34,21.8,3.6
23,,Tarik CohenT. Cohen CHI,,16,26,22.7,1.7
24,,Damien WilliamsD. Williams KC,,7,46,24.2,8.1
25,,Lamar MillerL. Miller HOU,,23,35,25.2,1.3
26,,Jerick McKinnonJ. McKinnon SF,,22,34,25.4,2.1
Tier 5,
27,,Jordan HowardJ. Howard CHI,,21,30,26.7,1.5
28,,James WhiteJ. White NE,,17,29,27.4,1.3
29,,Mark IngramM. Ingram NO,,23,39,27.4,1.4
30,,LeSean McCoyL. McCoy BUF,,24,41,30.1,1.6
31,,Kenyan DrakeK. Drake MIA,,23,34,31.0,1.2
32,,Tevin ColemanT. Coleman ATL,,22,42,31.9,1.7
33,,Rashaad PennyR. Penny SEA,,31,41,34.1,2.1
34,,Matt BreidaM. Breida SF,,24,42,34.5,2.7
35,,Elijah McGuireE. McGuire NYJ,,30,44,35.8,3.0
36,,Royce FreemanR. Freeman DEN,,28,50,36.7,3.5
37,,Kenneth DixonK. Dixon BAL,,28,47,37.5,2.7
38,,Jay AjayiJ. Ajayi PHI,,32,52,38.8,2.7
39,,Gus EdwardsG. Edwards BAL,,31,59,39.1,2.1
Tier 6,
40,,Dion LewisD. Lewis TEN,,38,46,41.5,1.8
41,,Kareem HuntK. Hunt FA,,20,52,40.6,5.5
42,,Nyheim HinesN. Hines IND,,36,52,45.8,2.5
43,,Rex BurkheadR. Burkhead NE,,34,57,46.7,4.9
44,,Duke JohnsonD. Johnson CLE,,32,59,47.5,3.5
45,,Ronald Jones IIR. Jones TB,,36,71,48.5,6.2
46,,D'Onta ForemanD. Foreman HOU,,44,64,48.7,4.9
