Rank,WSID,Running Backs (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,11,1,5,1.7,0.9,1.0,0.0
2,,Ezekiel ElliottE. Elliott DAL,8,1,8,2.6,1.2,3.0,+1.0
3,,Christian McCaffreyC. McCaffrey CAR,7,1,7,2.7,1.1,2.0,-1.0
4,,Alvin KamaraA. Kamara NO,9,1,6,3.5,1.1,4.0,0.0
Tier 2,
5,,David JohnsonD. Johnson ARI,12,3,16,6.0,2.2,5.0,0.0
6,,James ConnerJ. Conner PIT,7,3,20,8.1,2.1,7.0,+1.0
7,,Le'Veon BellL. Bell NYJ,4,5,16,8.2,2.5,6.0,-1.0
8,,Joe MixonJ. Mixon CIN,9,4,26,9.0,2.4,10.0,+2.0
9,,Melvin GordonM. Gordon LAC,12,3,30,9.9,4.5,8.0,-1.0
Tier 3,
10,,Todd GurleyT. Gurley LAR,9,1,22,10.6,4.0,9.0,-1.0
11,,Dalvin CookD. Cook MIN,12,5,33,10.9,2.5,11.0,0.0
12,,Nick ChubbN. Chubb CLE,7,6,30,11.9,3.3,12.0,0.0
13,,Damien WilliamsD. Williams KC,12,4,47,13.8,5.5,14.0,+1.0
14,,Leonard FournetteL. Fournette JAC,10,7,23,15.4,3.0,13.0,-1.0
15,,Aaron JonesA. Jones GB,11,3,29,15.6,3.2,15.0,0.0
16,,Marlon MackM. Mack IND,6,9,40,16.4,3.6,18.0,+2.0
17,,Devonta FreemanD. Freeman ATL,9,8,28,16.7,3.6,16.0,-1.0
18,,Kerryon JohnsonK. Johnson DET,5,8,28,17.3,4.4,17.0,-1.0
Tier 4,
19,,Derrick HenryD. Henry TEN,11,11,39,20.0,3.9,20.0,+1.0
20,,Josh JacobsJ. Jacobs OAK,6,8,38,20.4,5.1,19.0,-1.0
21,,Phillip LindsayP. Lindsay DEN,10,10,36,23.3,3.8,21.0,0.0
22,,David MontgomeryD. Montgomery CHI,6,8,41,24.3,6.4,22.0,0.0
23,,Mark IngramM. Ingram BAL,8,10,41,24.5,3.7,23.0,0.0
24,,Kenyan DrakeK. Drake MIA,5,9,45,24.6,5.4,24.0,0.0
25,,James WhiteJ. White NE,10,9,43,24.7,5.4,26.0,+1.0
26,,Sony MichelS. Michel NE,10,10,40,25.1,4.6,25.0,-1.0
27,,Chris CarsonC. Carson SEA,11,15,38,25.2,4.4,27.0,0.0
28,,Tarik CohenT. Cohen CHI,6,14,43,26.1,4.7,28.0,0.0
Tier 5,
29,,Lamar MillerL. Miller HOU,10,22,55,29.5,3.9,31.0,+2.0
30,,Tevin ColemanT. Coleman SF,4,21,46,30.3,4.3,30.0,0.0
31,,Derrius GuiceD. Guice WAS,10,11,45,32.3,5.7,29.0,-2.0
32,,Rashaad PennyR. Penny SEA,11,21,46,33.8,4.0,32.0,0.0
33,,Latavius MurrayL. Murray NO,9,19,54,34.2,5.7,38.0,+5.0
34,,Royce FreemanR. Freeman DEN,10,23,70,37.4,4.1,41.0,+7.0
35,,Austin EkelerA. Ekeler LAC,12,19,58,38.3,6.6,36.0,+1.0
36,,LeSean McCoyL. McCoy BUF,6,21,55,38.6,6.4,39.0,+3.0
37,,Jordan HowardJ. Howard PHI,10,26,64,39.1,6.6,35.0,-2.0
38,,Miles SandersM. Sanders PHI,10,16,86,36.5,10.0,33.0,-5.0
39,,Darrell HendersonD. Henderson LAR,9,15,103,40.2,12.3,34.0,-5.0
Tier 6,
40,,Ronald Jones IIR. Jones TB,7,27,68,42.1,7.0,40.0,0.0
41,,Dion LewisD. Lewis TEN,11,29,59,42.2,7.1,48.0,+7.0
42,,Jerick McKinnonJ. McKinnon SF,4,24,75,42.7,9.9,42.0,0.0
43,,Nyheim HinesN. Hines IND,6,28,71,43.0,7.0,44.0,+1.0
44,,Matt BreidaM. Breida SF,4,25,63,46.4,7.4,52.0,+8.0
45,,Ito SmithI. Smith ATL,9,31,81,47.6,6.7,50.0,+5.0
46,,D'Onta ForemanD. Foreman HOU,10,25,72,47.8,6.5,45.0,-1.0
47,,Adrian PetersonA. Peterson WAS,10,32,73,49.1,8.9,51.0,+4.0
48,,Peyton BarberP. Barber TB,7,29,73,49.3,9.1,46.0,-2.0
49,,Duke JohnsonD. Johnson CLE,7,35,68,50.8,6.8,57.0,+8.0
50,,Kalen BallageK. Ballage MIA,5,33,82,52.3,8.4,53.0,+3.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Carlos HydeC. Hyde KC,12,28,87,51.1,8.8,49.0,-2.0
52,,Jaylen SamuelsJ. Samuels PIT,7,21,78,53.0,9.6,47.0,-5.0
53,,Damien HarrisD. Harris NE,10,20,105,53.3,13.4,43.0,-10.0
54,,Kareem HuntK. Hunt CLE,7,30,88,55.1,8.7,37.0,-17.0
55,,Jamaal WilliamsJ. Williams GB,11,42,78,57.1,7.3,63.0,+8.0
56,,Chris ThompsonC. Thompson WAS,10,39,100,55.0,8.5,58.0,+2.0
Tier 7,
57,,C.J. AndersonC. Anderson DET,5,44,76,58.6,7.1,61.0,+4.0
58,,Giovani BernardG. Bernard CIN,9,41,84,59.7,7.7,60.0,+2.0
59,,Devin SingletaryD. Singletary BUF,6,27,86,58.1,10.2,54.0,-5.0
60,,Justice HillJ. Hill BAL,8,14,104,59.1,14.4,55.0,-5.0
61,,Jalen RichardJ. Richard OAK,6,41,76,60.5,8.3,64.0,+3.0
62,,Mike DavisM. Davis CHI,6,44,106,63.1,8.8,74.0,+12.0
63,,Justin JacksonJ. Jackson LAC,12,38,83,65.1,10.7,59.0,-4.0
64,,Rex BurkheadR. Burkhead NE,10,42,86,62.3,9.0,70.0,+6.0
65,,Chase EdmondsC. Edmonds ARI,12,44,88,66.6,7.3,72.0,+7.0
66,,Gus EdwardsG. Edwards BAL,8,35,99,67.1,9.6,67.0,+1.0
67,,Elijah McGuireE. McGuire NYJ,4,36,104,65.1,10.7,77.0,+10.0
68,,Frank GoreF. Gore BUF,6,44,88,69.0,7.2,75.0,+7.0
69,,T.J. YeldonT. Yeldon BUF,6,41,91,66.6,9.2,65.0,-4.0
70,,Alexander MattisonA. Mattison MIN,12,45,99,65.7,11.3,56.0,-14.0
71,,Kenneth DixonK. Dixon BAL,8,37,113,66.9,11.9,88.0,+17.0
72,,Doug MartinD. Martin OAK,6,31,95,73.3,8.4,84.0,+12.0
73,,Theo RiddickT. Riddick FA,,45,115,71.2,12.5,73.0,0.0
74,,Malcolm BrownM. Brown LAR,9,47,105,72.5,8.3,79.0,+5.0
75,,Ryquell ArmsteadR. Armstead JAC,10,45,108,71.2,11.9,69.0,-6.0
76,,Spencer WareS. Ware IND,6,46,109,76.2,8.8,87.0,+11.0
Tier 8,
77,,Corey ClementC. Clement PHI,10,60,90,77.7,6.0,104.0,+27.0
78,,Benny Snell Jr.B. Snell PIT,7,31,113,77.9,11.5,66.0,-12.0
79,,Devontae BookerD. Booker DEN,10,55,101,80.2,8.1,94.0,+15.0
80,,Jordan WilkinsJ. Wilkins IND,6,64,105,81.9,8.5,99.0,+19.0
81,,Alfred BlueA. Blue JAC,10,48,102,82.7,8.9,82.0,+1.0
82,,Josh AdamsJ. Adams PHI,10,38,153,79.0,15.3,118.0,+36.0
83,,Ty MontgomeryT. Montgomery NYJ,4,61,109,85.7,8.4,78.0,-5.0
84,,Wendell SmallwoodW. Smallwood PHI,10,71,155,83.9,11.2,106.0,+22.0
85,,Wayne GallmanW. Gallman NYG,11,70,113,86.6,7.7,92.0,+7.0
86,,John KellyJ. Kelly LAR,9,74,123,90.3,10.6,239.0,+153.0
87,,Darwin ThompsonD. Thompson KC,12,26,132,80.5,17.3,62.0,-25.0
88,,Cameron Artis-PayneC. Artis-Payne CAR,7,72,118,93.8,9.1,97.0,+9.0
89,,Dexter WilliamsD. Williams GB,11,56,114,83.4,13.9,85.0,-4.0
90,,Tony PollardT. Pollard DAL,8,47,110,75.8,13.7,68.0,-22.0
91,,Rod SmithR. Smith NYG,11,68,126,91.8,8.8,133.0,+42.0
92,,Mike WeberM. Weber DAL,8,61,128,91.6,13.4,86.0,-6.0
93,,Ameer AbdullahA. Abdullah MIN,12,82,131,95.4,11.4,250.0,+157.0
94,,Zach ZennerZ. Zenner DET,5,71,135,98.4,10.1,122.0,+28.0
