Rank,WSID,Tight Ends (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
Tier 2,
1,,Travis KelceT. Kelce KC,12,1,1,1.0,0.0,1.0,0.0
2,,George KittleG. Kittle SF,4,2,4,2.5,0.5,3.0,+1.0
3,,Zach ErtzZ. Ertz PHI,10,2,5,2.7,0.7,2.0,-1.0
Tier 3,
4,,O.J. HowardO. Howard TB,7,2,17,4.7,1.2,4.0,0.0
5,,Hunter HenryH. Henry LAC,12,2,10,5.3,1.1,6.0,+1.0
6,,Evan EngramE. Engram NYG,11,3,12,6.1,1.7,5.0,-1.0
7,,Jared CookJ. Cook NO,9,3,19,8.3,2.6,8.0,+1.0
8,,Eric EbronE. Ebron IND,6,4,20,8.4,2.2,7.0,-1.0
9,,David NjokuD. Njoku CLE,7,6,18,9.1,2.0,9.0,0.0
Tier 4,
10,,Vance McDonaldV. McDonald PIT,7,6,21,11.4,3.0,10.0,0.0
11,,Austin HooperA. Hooper ATL,9,5,22,12.4,3.2,11.0,0.0
12,,Delanie WalkerD. Walker TEN,11,6,29,13.0,4.0,12.0,0.0
13,,Trey BurtonT. Burton CHI,6,5,23,13.5,2.7,14.0,+1.0
14,,Jack DoyleJ. Doyle IND,6,6,33,14.8,4.3,22.0,+8.0
15,,Chris Herndon IVC. Herndon NYJ,4,6,20,14.8,3.1,16.0,+1.0
16,,Jordan ReedJ. Reed WAS,10,8,27,16.7,3.5,20.0,+4.0
Tier 5,
17,,Greg OlsenG. Olsen CAR,7,10,36,17.9,4.0,17.0,0.0
18,,Jimmy GrahamJ. Graham GB,11,11,29,18.6,3.6,18.0,0.0
19,,Kyle RudolphK. Rudolph MIN,12,11,31,18.7,3.1,15.0,-4.0
20,,Mark AndrewsM. Andrews BAL,8,12,32,22.0,4.3,21.0,+1.0
21,,Dallas GoedertD. Goedert PHI,10,12,34,21.7,4.0,23.0,+2.0
22,,T.J. HockensonT. Hockenson DET,5,9,63,21.9,7.5,13.0,-9.0
23,,Mike GesickiM. Gesicki MIA,5,13,42,23.9,5.0,27.0,+4.0
24,,Noah FantN. Fant DEN,10,8,39,22.6,5.6,19.0,-5.0
25,,Gerald EverettG. Everett LAR,9,16,37,25.9,3.3,34.0,+9.0
26,,Tyler EifertT. Eifert CIN,9,15,38,26.1,4.1,24.0,-2.0
Tier 6,
27,,Cameron BrateC. Brate TB,7,22,44,29.4,4.4,37.0,+10.0
28,,Hayden HurstH. Hurst BAL,8,22,42,30.2,4.1,35.0,+7.0
29,,Ricky Seals-JonesR. Seals-Jones ARI,12,17,68,31.2,6.6,38.0,+9.0
30,,Ian ThomasI. Thomas CAR,7,23,50,31.4,4.7,32.0,+2.0
31,,Jason WittenJ. Witten DAL,8,9,43,30.8,5.4,25.0,-6.0
32,,Nick VannettN. Vannett SEA,11,25,61,35.5,6.9,59.0,+27.0
33,,Charles ClayC. Clay ARI,12,31,65,37.1,6.5,51.0,+18.0
34,,Jonnu SmithJ. Smith TEN,11,18,59,36.8,5.9,46.0,+12.0
35,,Jake ButtJ. Butt DEN,10,29,57,37.7,6.3,53.0,+18.0
Tier 7,
36,,Irv Smith Jr.I. Smith MIN,12,25,69,37.8,9.3,26.0,-10.0
37,,Will DisslyW. Dissly SEA,11,11,48,34.3,7.6,31.0,-6.0
38,,Jordan ThomasJ. Thomas HOU,10,25,62,40.0,9.5,54.0,+16.0
39,,C.J. UzomahC. Uzomah CIN,9,18,57,37.6,10.1,41.0,+2.0
40,,Austin Seferian-JenkinsA. Seferian-Jenkins FA,,20,107,34.9,17.2,39.0,-1.0
41,,Vernon DavisV. Davis WAS,10,27,60,42.6,7.8,58.0,+17.0
42,,Blake JarwinB. Jarwin DAL,8,28,64,41.3,7.9,49.0,+7.0
43,,Luke WillsonL. Willson OAK,6,23,66,42.7,9.3,149.0,+106.0
44,,Jace SternbergerJ. Sternberger GB,11,25,62,40.0,10.2,40.0,-4.0
45,,Jesse JamesJ. James DET,5,22,54,45.3,5.1,30.0,-15.0
46,,Benjamin WatsonB. Watson NE,10,9,55,36.0,6.9,29.0,-17.0
47,,Josh OliverJ. Oliver JAC,10,19,73,42.0,14.2,36.0,-11.0
48,,Geoff SwaimG. Swaim JAC,10,21,53,40.4,9.7,48.0,0.0
49,,Adam ShaheenA. Shaheen CHI,6,23,63,46.9,7.4,61.0,+12.0
50,,Darren WallerD. Waller OAK,6,10,105,40.7,20.2,28.0,-22.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Tyler HigbeeT. Higbee LAR,9,38,50,44.1,3.8,55.0,+4.0
Tier 8,
52,,Dawson KnoxD. Knox BUF,6,24,70,43.5,13.1,47.0,-5.0
53,,Kahale WarringK. Warring HOU,10,23,74,48.2,12.4,43.0,-10.0
54,,Tyler KroftT. Kroft BUF,6,27,71,48.7,7.4,44.0,-10.0
55,,Matt LaCosseM. LaCosse NE,10,24,79,44.8,16.8,42.0,-13.0
56,,Josh HillJ. Hill NO,9,38,73,55.4,8.0,148.0,+92.0
57,,Jeff HeuermanJ. Heuerman DEN,10,41,66,53.1,6.9,45.0,-12.0
58,,Foster MoreauF. Moreau OAK,6,25,89,56.1,17.4,72.0,+14.0
59,,Demetrius HarrisD. Harris CLE,7,41,69,56.7,8.4,62.0,+3.0
Tier 9,
60,,Ed DicksonE. Dickson SEA,11,37,61,58.6,2.3,78.0,+18.0
61,,Dan ArnoldD. Arnold NO,9,42,90,64.4,13.8,85.0,+24.0
62,,Jason CroomJ. Croom BUF,6,47,95,64.6,15.5,106.0,+44.0
63,,James O'ShaughnessyJ. O'Shaughnessy JAC,10,46,73,60.5,8.0,71.0,+8.0
64,,Dwayne AllenD. Allen MIA,5,31,78,61.1,7.7,90.0,+26.0
65,,Jordan AkinsJ. Akins HOU,10,47,69,61.4,7.3,98.0,+33.0
66,,Rhett EllisonR. Ellison NYG,11,43,82,59.0,12.8,103.0,+37.0
67,,Virgil GreenV. Green LAC,12,56,83,67.4,7.3,81.0,+14.0
68,,Xavier GrimbleX. Grimble PIT,7,45,76,63.3,9.2,82.0,+14.0
69,,Mo Alie-CoxM. Alie-Cox IND,6,39,81,69.9,8.0,70.0,+1.0
70,,Ryan GriffinR. Griffin FA,,41,51,47.3,3.9,158.0,+88.0
71,,Blake BellB. Bell KC,12,46,69,60.8,4.9,112.0,+41.0
72,,Nick BoyleN. Boyle BAL,8,57,82,69.2,7.8,187.0,+115.0
73,,Maxx WilliamsM. Williams ARI,12,47,80,70.5,7.4,120.0,+47.0
74,,Garrett CelekG. Celek SF,4,56,76,71.2,3.1,128.0,+54.0
75,,Anthony FirkserA. Firkser TEN,11,46,82,67.8,12.6,167.0,+92.0
76,,Luke StockerL. Stocker ATL,9,43,88,75.8,8.4,80.0,+4.0
77,,Nick O'LearyN. O'Leary MIA,5,64,90,76.5,8.9,170.0,+93.0
78,,Jordan LeggettJ. Leggett TB,7,65,83,70.4,6.5,152.0,+74.0
79,,Michael RobertsM. Roberts FA,,45,86,63.0,15.9,184.0,+105.0
80,,Dalton SchultzD. Schultz DAL,8,55,79,73.8,4.3,182.0,+102.0
81,,Logan PaulsenL. Paulsen ATL,9,62,93,73.8,10.3,162.0,+81.0
82,,Darren FellsD. Fells HOU,10,34,101,75.6,23.5,163.0,+81.0
83,,Deon YelderD. Yelder KC,12,57,91,80.0,12.5,139.0,+56.0
Tier 10,
84,,Alize MackA. Mack NO,9,43,105,80.4,27.8,178.0,+94.0
85,,Drew SampleD. Sample CIN,9,54,87,73.8,12.2,76.0,-9.0
86,,Lee SmithL. Smith BUF,6,31,49,40.0,9.0,145.0,+59.0
87,,Jeremy SprinkleJ. Sprinkle WAS,10,55,98,82.2,9.1,181.0,+94.0
88,,Seth DeValveS. DeValve CLE,7,60,100,79.0,15.0,169.0,+81.0
89,,Stephen AndersonS. Anderson NE,10,61,98,79.0,17.1,137.0,+48.0
90,,Derek CarrierD. Carrier OAK,6,46,101,85.6,11.6,122.0,+32.0
91,,Scott SimonsonS. Simonson NYG,11,77,98,85.6,7.3,124.0,+33.0
92,,Kaden SmithK. Smith SF,4,43,99,82.8,23.2,155.0,+63.0
93,,Trevon WescoT. Wesco NYJ,4,52,93,76.3,17.6,101.0,+8.0
94,,Tyler ConklinT. Conklin NE,10,69,106,85.3,14.4,84.0,-10.0
95,,Jacob HollisterJ. Hollister SEA,11,51,96,80.0,20.5,83.0,-12.0
96,,Marcedes LewisM. Lewis GB,11,78,104,92.8,10.5,108.0,+12.0
97,,Zach GentryZ. Gentry PIT,7,80,100,89.5,7.1,91.0,-6.0
98,,Rico GathersR. Gathers DAL,8,73,91,83.7,7.7,130.0,+32.0
99,,Eric TomlinsonE. Tomlinson NYJ,4,68,78,73.0,5.0,118.0,+19.0
100,,Eric SaubertE. Saubert ATL,9,81,92,87.0,4.5,150.0,+50.0
101,,C.J. ConradC. Conrad NYG,11,51,103,77.0,26.0,,
102,,David MorganD. Morgan MIN,12,84,103,93.8,6.9,156.0,+54.0
103,,Clive WalfordC. Walford MIA,5,76,85,80.5,4.5,151.0,+48.0
104,,Durham SmytheD. Smythe MIA,5,77,84,80.5,3.5,166.0,+62.0
105,,Neal SterlingN. Sterling KC,12,83,106,94.5,8.1,95.0,-10.0
106,,Antony AuclairA. Auclair TB,7,87,97,91.0,4.3,160.0,+54.0
Tier 11,
107,,Chris ManhertzC. Manhertz CAR,7,89,97,92.3,3.4,164.0,+57.0
108,,Logan ThomasL. Thomas DET,5,86,92,89.0,3.0,171.0,+63.0
109,,Richard RodgersR. Rodgers PHI,10,92,97,95.3,2.4,92.0,-17.0
110,,Daniel BrownD. Brown NYJ,4,86,93,89.5,3.5,99.0,-11.0
111,,Isaac NautaI. Nauta DET,5,85,95,90.0,5.0,173.0,+62.0
112,,Ben BrauneckerB. Braunecker CHI,6,94,101,96.7,3.1,63.0,-49.0
113,,MyCole PruittM. Pruitt TEN,11,82,107,97.0,10.8,159.0,+46.0
114,,Robert TonyanR. Tonyan GB,11,90,103,97.3,5.4,144.0,+30.0
115,,Sean CulkinS. Culkin LAC,12,87,100,93.5,6.5,97.0,-18.0
116,,Troy FumagalliT. Fumagalli DEN,10,92,96,94.0,2.0,142.0,+26.0
117,,Ross DwelleyR. Dwelley SF,4,88,102,95.0,7.0,117.0,0.0
118,,Ryan IzzoR. Izzo MIN,12,96,97,96.5,0.5,136.0,+18.0
