Rank,WSID,Tight Ends (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,George KittleG. Kittle SF,,1,4,1.4,0.5
2,,Travis KelceT. Kelce KC,,1,2,1.6,0.5
3,,Zach ErtzZ. Ertz PHI,,3,8,3.3,0.6
Tier 2,
4,,Mark AndrewsM. Andrews BAL,,3,5,4.2,0.5
5,,Austin HooperA. Hooper ATL,,2,11,5.3,1.4
6,,Darren WallerD. Waller OAK,,3,7,6.0,0.8
7,,Evan EngramE. Engram NYG,,5,10,7.2,1.4
8,,Hunter HenryH. Henry LAC,,6,11,7.8,0.8
9,,Jared CookJ. Cook NO,,7,13,9.4,1.1
Tier 3,
10,,Tyler HigbeeT. Higbee LAR,,7,18,10.0,1.2
11,,Dallas GoedertD. Goedert PHI,,10,28,11.8,1.5
12,,Noah FantN. Fant DEN,,7,19,11.8,1.7
13,,T.J. HockensonT. Hockenson DET,,12,18,13.9,0.8
14,,Mike GesickiM. Gesicki MIA,,9,22,14.6,2.5
15,,Will DisslyW. Dissly SEA,,10,30,15.5,3.1
16,,O.J. HowardO. Howard TB,,5,22,16.8,2.4
Tier 4,
17,,David NjokuD. Njoku CLE,,12,30,17.5,2.2
18,,Jack DoyleJ. Doyle IND,,14,27,18.8,2.6
19,,Jonnu SmithJ. Smith TEN,,13,32,19.2,2.5
20,,Eric EbronE. Ebron IND,,16,32,20.1,2.3
21,,Kyle RudolphK. Rudolph MIN,,16,26,21.5,2.1
22,,Ian ThomasI. Thomas CAR,,17,27,22.4,2.6
23,,Irv Smith Jr.I. Smith MIN,,17,31,23.0,1.5
24,,Chris Herndon IVC. Herndon NYJ,,13,34,25.1,2.2
25,,Dawson KnoxD. Knox BUF,,12,34,25.5,4.6
26,,Jacob HollisterJ. Hollister SEA,,15,41,26.5,5.6
27,,Vance McDonaldV. McDonald PIT,,14,38,29.2,3.7
28,,Gerald EverettG. Everett LAR,,19,37,28.4,4.5
Tier 5,
29,,Delanie WalkerD. Walker TEN,,23,40,30.9,4.5
30,,Cameron BrateC. Brate TB,,25,38,31.2,3.2
31,,Greg OlsenG. Olsen CAR,,20,42,32.3,5.1
32,,Trey BurtonT. Burton CHI,,25,53,34.0,6.6
33,,Jimmy GrahamJ. Graham GB,,26,42,34.8,2.6
34,,Blake JarwinB. Jarwin DAL,,14,36,28.5,4.5
35,,Jordan AkinsJ. Akins HOU,,27,40,34.1,3.6
