Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,DeAndre HopkinsD. Hopkins HOU,,1,5,1.6,0.9
2,,Davante AdamsD. Adams GB,,1,5,2.5,1.0
3,,Julio JonesJ. Jones ATL,,1,11,3.5,1.2
4,,Michael ThomasM. Thomas NO,,2,8,4.0,1.2
5,,Odell Beckham Jr.O. Beckham CLE,,1,8,4.6,1.7
Tier 2,
6,,Antonio BrownA. Brown OAK,,2,12,6.3,1.4
7,,Tyreek HillT. Hill KC,,4,16,7.0,2.1
8,,JuJu Smith-SchusterJ. Smith-Schuster PIT,,2,12,7.7,1.7
Tier 3,
9,,Mike EvansM. Evans TB,,6,14,9.3,1.6
10,,A.J. GreenA. Green CIN,,6,17,9.9,1.7
11,,T.Y. HiltonT. Hilton IND,,9,16,11.5,1.5
12,,Amari CooperA. Cooper DAL,,9,19,11.8,1.5
13,,Keenan AllenK. Allen LAC,,9,16,12.7,1.4
14,,Adam ThielenA. Thielen MIN,,9,20,14.3,1.9
15,,Stefon DiggsS. Diggs MIN,,10,19,14.4,1.4
16,,Brandin CooksB. Cooks LAR,,12,20,15.9,1.5
Tier 4,
17,,Robert WoodsR. Woods LAR,,10,25,16.8,1.7
18,,Kenny GolladayK. Golladay DET,,13,23,17.8,1.1
19,,Corey DavisC. Davis TEN,,17,35,21.7,2.8
20,,Allen RobinsonA. Robinson CHI,,19,36,21.7,3.8
21,,Cooper KuppC. Kupp LAR,,15,31,21.9,2.9
22,,Alshon JefferyA. Jeffery PHI,,17,29,22.1,1.9
23,,Julian EdelmanJ. Edelman NE,,16,30,24.2,3.2
24,,Doug BaldwinD. Baldwin SEA,,21,33,24.5,2.6
25,,Jarvis LandryJ. Landry CLE,,14,36,25.5,3.9
26,,D.J. MooreD. Moore CAR,,19,32,26.1,2.5
27,,Calvin RidleyC. Ridley ATL,,18,37,26.6,3.1
Tier 5,
28,,Tyler LockettT. Lockett SEA,,21,34,28.8,2.2
29,,Tyler BoydT. Boyd CIN,,20,35,29.1,2.7
30,,Chris GodwinC. Godwin TB,,19,39,29.3,4.4
31,,Sammy WatkinsS. Watkins KC,,21,40,30.0,4.1
32,,Mike WilliamsM. Williams LAC,,23,40,32.5,2.9
33,,Marvin JonesM. Jones DET,,29,44,32.8,2.9
34,,Robby AndersonR. Anderson NYJ,,19,45,33.6,3.6
35,,Will FullerW. Fuller HOU,,30,58,35.2,3.0
36,,Dante PettisD. Pettis SF,,30,45,36.3,2.3
37,,Golden TateG. Tate NYG,,26,46,36.7,3.4
38,,Courtland SuttonC. Sutton DEN,,29,46,37.1,2.1
Tier 6,
39,,Sterling ShepardS. Shepard NYG,,29,49,39.9,2.0
40,,Christian KirkC. Kirk ARI,,35,53,40.6,2.2
41,,Curtis SamuelC. Samuel CAR,,35,56,43.3,4.0
42,,Keke CouteeK. Coutee HOU,,37,62,44.2,3.6
43,,Anthony MillerA. Miller CHI,,37,53,44.2,2.5
44,,Dede WestbrookD. Westbrook JAC,,31,54,45.1,3.0
45,,Michael GallupM. Gallup DAL,,40,52,46.0,2.1
46,,Emmanuel SandersE. Sanders DEN,,22,63,46.6,7.0
47,,Marquise GoodwinM. Goodwin SF,,42,63,48.8,3.7
48,,Larry FitzgeraldL. Fitzgerald ARI,,33,59,49.5,7.0
49,,Robert FosterR. Foster BUF,,38,68,49.6,4.3
50,,John BrownJ. Brown BUF,,42,61,51.6,3.6
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Adam HumphriesA. Humphries TEN,,38,89,52.1,9.6
52,,Geronimo AllisonG. Allison GB,,27,88,53.7,7.5
Tier 7,
53,,Kenny StillsK. Stills MIA,,36,77,57.4,6.2
54,,James WashingtonJ. Washington PIT,,40,69,58.8,7.2
55,,DeSean JacksonD. Jackson PHI,,45,67,58.3,5.0
56,,Jamison CrowderJ. Crowder NYJ,,43,74,53.9,5.4
57,,Antonio CallawayA. Callaway CLE,,52,75,59.0,6.2
58,,John RossJ. Ross CIN,,52,81,59.3,7.8
59,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,,49,75,59.7,5.4
60,,DaeSean HamiltonD. Hamilton DEN,,34,69,60.9,4.3
61,,Quincy EnunwaQ. Enunwa NYJ,,48,76,61.3,5.2
62,,Devante ParkerD. Parker MIA,,35,75,61.6,4.6
63,,Marqise LeeM. Lee JAC,,50,75,66.1,5.8
64,,Devin FunchessD. Funchess IND,,37,75,62.0,9.4
