Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,DeAndre HopkinsD. Hopkins HOU,10,1,5,1.4,0.8,1.0,0.0
2,,Davante AdamsD. Adams GB,11,1,6,2.7,1.3,2.0,0.0
3,,Julio JonesJ. Jones ATL,9,1,10,3.3,1.3,4.0,+1.0
Tier 2,
4,,Michael ThomasM. Thomas NO,9,2,10,4.3,1.3,3.0,-1.0
5,,Odell Beckham Jr.O. Beckham CLE,7,2,10,4.7,1.7,5.0,0.0
6,,JuJu Smith-SchusterJ. Smith-Schuster PIT,7,1,11,5.6,1.6,6.0,0.0
7,,Antonio BrownA. Brown OAK,6,5,13,7.3,1.5,7.0,0.0
8,,Mike EvansM. Evans TB,7,5,28,8.7,1.8,8.0,0.0
Tier 3,
9,,Keenan AllenK. Allen LAC,12,6,17,10.2,2.0,11.0,+2.0
10,,T.Y. HiltonT. Hilton IND,6,4,29,10.5,2.2,10.0,0.0
11,,A.J. GreenA. Green CIN,9,6,17,11.4,2.4,14.0,+3.0
12,,Amari CooperA. Cooper DAL,8,8,19,11.8,2.2,12.0,0.0
13,,Adam ThielenA. Thielen MIN,12,7,18,12.7,2.4,9.0,-4.0
14,,Stefon DiggsS. Diggs MIN,12,7,18,13.6,2.1,13.0,-1.0
15,,Julian EdelmanJ. Edelman NE,10,9,30,16.5,4.2,18.0,+3.0
16,,Robert WoodsR. Woods LAR,9,10,30,16.6,2.5,17.0,+1.0
17,,Brandin CooksB. Cooks LAR,9,11,26,17.4,2.8,15.0,-2.0
Tier 4,
18,,Kenny GolladayK. Golladay DET,5,7,40,18.3,2.7,16.0,-2.0
19,,Chris GodwinC. Godwin TB,7,10,35,20.8,3.3,21.0,+2.0
20,,Cooper KuppC. Kupp LAR,9,14,31,20.9,3.0,19.0,-1.0
21,,Sammy WatkinsS. Watkins KC,12,6,37,22.4,4.8,23.0,+2.0
22,,Tyler LockettT. Lockett SEA,11,15,34,22.8,3.8,25.0,+3.0
23,,Alshon JefferyA. Jeffery PHI,10,15,32,23.2,2.6,30.0,+7.0
24,,D.J. MooreD. Moore CAR,7,18,34,24.8,3.1,22.0,-2.0
25,,Allen RobinsonA. Robinson CHI,6,15,41,25.9,5.5,29.0,+4.0
26,,Calvin RidleyC. Ridley ATL,9,13,45,26.1,3.5,20.0,-6.0
Tier 5,
27,,Jarvis LandryJ. Landry CLE,7,13,43,27.6,5.6,24.0,-3.0
28,,Tyler BoydT. Boyd CIN,9,16,42,28.7,5.4,26.0,-2.0
29,,Robby AndersonR. Anderson NYJ,4,19,51,30.0,5.5,33.0,+4.0
30,,Corey DavisC. Davis TEN,11,18,55,31.2,6.8,32.0,+2.0
31,,Mike WilliamsM. Williams LAC,12,23,41,31.3,3.5,28.0,-3.0
32,,Marvin JonesM. Jones DET,5,25,45,33.9,4.0,41.0,+9.0
33,,Will FullerW. Fuller HOU,10,24,62,35.6,4.3,31.0,-2.0
34,,Dante PettisD. Pettis SF,4,26,56,35.8,5.0,34.0,0.0
35,,Sterling ShepardS. Shepard NYG,11,24,61,35.8,5.8,38.0,+3.0
36,,Golden TateG. Tate NYG,11,21,53,36.5,5.5,39.0,+3.0
Tier 6,
37,,Christian KirkC. Kirk ARI,12,27,81,39.2,6.1,37.0,0.0
38,,Dede WestbrookD. Westbrook JAC,10,17,57,39.3,7.3,46.0,+8.0
39,,Larry FitzgeraldL. Fitzgerald ARI,12,22,70,40.0,8.1,43.0,+4.0
40,,Courtland SuttonC. Sutton DEN,10,28,54,40.3,4.8,36.0,-4.0
41,,Keke CouteeK. Coutee HOU,10,27,69,42.3,6.8,48.0,+7.0
42,,Curtis SamuelC. Samuel CAR,7,36,70,44.3,5.2,51.0,+9.0
43,,Geronimo AllisonG. Allison GB,11,28,85,46.6,9.6,49.0,+6.0
44,,Anthony MillerA. Miller CHI,6,34,82,47.4,10.5,50.0,+6.0
45,,Michael GallupM. Gallup DAL,8,39,75,50.9,8.6,70.0,+25.0
46,,DeSean JacksonD. Jackson PHI,10,27,86,51.5,6.8,54.0,+8.0
47,,Kenny StillsK. Stills MIA,5,20,90,53.9,9.6,65.0,+18.0
48,,James WashingtonJ. Washington PIT,7,28,94,54.6,13.1,44.0,-4.0
49,,John BrownJ. Brown BUF,6,23,79,54.7,7.9,63.0,+14.0
50,,DaeSean HamiltonD. Hamilton DEN,10,27,86,52.5,9.8,58.0,+8.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,N'Keal HarryN. Harry NE,10,18,83,46.4,12.2,35.0,-16.0
Tier 7,
52,,Devin FunchessD. Funchess IND,6,41,83,55.5,9.1,55.0,+3.0
53,,Emmanuel SandersE. Sanders DEN,10,31,75,53.0,10.3,45.0,-8.0
54,,Tyrell WilliamsT. Williams OAK,6,25,84,61.0,13.0,53.0,-1.0
55,,Robert FosterR. Foster BUF,6,26,89,55.2,12.6,61.0,+6.0
56,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,11,46,96,62.7,11.1,59.0,+3.0
57,,Jamison CrowderJ. Crowder NYJ,4,42,81,56.8,8.9,66.0,+9.0
58,,D.K. MetcalfD. Metcalf SEA,11,28,112,61.2,14.3,42.0,-16.0
59,,Mecole HardmanM. Hardman KC,12,26,85,57.5,11.7,40.0,-19.0
60,,Donte MoncriefD. Moncrief PIT,7,27,91,64.0,10.4,64.0,+4.0
61,,Mohamed SanuM. Sanu ATL,9,31,98,64.0,9.2,77.0,+16.0
62,,Marqise LeeM. Lee JAC,10,35,91,64.3,11.2,76.0,+14.0
63,,Marquise GoodwinM. Goodwin SF,4,44,94,62.0,13.4,68.0,+5.0
64,,Adam HumphriesA. Humphries TEN,11,36,129,62.8,16.1,71.0,+7.0
65,,Parris CampbellP. Campbell IND,6,37,85,61.8,10.9,47.0,-18.0
66,,Quincy EnunwaQ. Enunwa NYJ,4,47,89,65.3,8.8,82.0,+16.0
67,,Albert WilsonA. Wilson MIA,5,33,97,66.5,12.0,74.0,+7.0
68,,Devante ParkerD. Parker MIA,5,43,92,65.9,8.1,67.0,-1.0
Tier 8,
69,,Taylor GabrielT. Gabriel CHI,6,58,91,69.9,7.6,84.0,+15.0
70,,Tre'Quan SmithT. Smith NO,9,49,98,70.1,9.1,60.0,-10.0
71,,David MooreD. Moore SEA,11,51,91,72.9,8.6,93.0,+22.0
72,,Zay JonesZ. Jones BUF,6,43,102,74.0,12.8,69.0,-3.0
73,,Antonio CallawayA. Callaway CLE,7,52,92,73.5,9.0,72.0,-1.0
74,,Deebo SamuelD. Samuel SF,4,48,89,68.3,10.9,52.0,-22.0
75,,A.J. BrownA. Brown TEN,11,29,87,69.4,8.1,57.0,-18.0
76,,Marquise BrownM. Brown BAL,8,34,91,68.9,13.7,62.0,-14.0
77,,Randall CobbR. Cobb DAL,8,61,104,79.0,7.6,89.0,+12.0
78,,John RossJ. Ross CIN,9,51,115,77.8,13.2,85.0,+7.0
79,,Nelson AgholorN. Agholor PHI,10,64,104,81.9,7.8,75.0,-4.0
80,,Ted GinnT. Ginn NO,9,49,108,84.2,10.2,86.0,+6.0
81,,Josh DoctsonJ. Doctson WAS,10,51,102,82.0,7.8,101.0,+20.0
82,,Paul RichardsonP. Richardson WAS,10,55,113,84.1,11.2,95.0,+13.0
83,,Andy IsabellaA. Isabella ARI,12,40,95,75.8,12.9,56.0,-27.0
84,,Equanimeous St. BrownE. St. GB,11,58,107,85.0,11.1,97.0,+13.0
85,,D.J. CharkD. Chark JAC,10,32,102,84.0,8.8,98.0,+13.0
86,,Willie SneadW. Snead BAL,8,72,106,87.1,7.8,96.0,+10.0
