Rank,WSID,Rookies (Team),Pos,Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Josh JacobsJ. Jacobs OAK,RB1,6,21,1,4,1.7,1.0
2,,N'Keal HarryN. Harry NE,WR1,10,21,1,4,2.4,1.1
3,,Miles SandersM. Sanders PHI,RB2,10,22,1,17,3.9,1.4
4,,David MontgomeryD. Montgomery CHI,RB3,6,22,2,14,4.1,2.0
5,,A.J. BrownA. Brown TEN,WR2,11,22,2,14,6.4,2.0
6,,D.K. MetcalfD. Metcalf SEA,WR3,11,21,1,14,6.8,2.1
7,,Darrell HendersonD. Henderson LAR,RB4,9,21,2,25,9.6,5.0
8,,Parris CampbellP. Campbell IND,WR4,6,22,5,16,9.8,3.0
9,,T.J. HockensonT. Hockenson DET,TE1,5,22,5,29,10.3,3.1
10,,Deebo SamuelD. Samuel SF,WR5,4,23,7,17,11.5,2.2
11,,Marquise BrownM. Brown BAL,WR6,8,22,5,29,11.6,3.3
12,,Kyler MurrayK. Murray ARI,QB1,12,21,3,20,12.0,4.5
13,,Noah FantN. Fant DEN,TE2,10,21,8,20,13.6,2.7
14,,J.J. Arcega-WhitesideJ. Arcega-Whiteside PHI,WR7,10,22,6,30,14.4,3.0
15,,Damien HarrisD. Harris NE,RB5,10,22,5,25,14.9,4.3
16,,Devin SingletaryD. Singletary BUF,RB6,6,21,5,35,15.9,4.4
17,,Andy IsabellaA. Isabella ARI,WR8,12,22,10,38,16.1,3.6
18,,Hakeem ButlerH. Butler ARI,WR9,12,23,7,23,16.3,3.9
19,,Justice HillJ. Hill BAL,RB7,8,21,7,33,18.8,4.6
20,,Mecole HardmanM. Hardman KC,WR10,12,21,5,28,15.3,4.7
21,,Irv Smith Jr.I. Smith MIN,TE3,12,20,19,35,24.6,3.9
22,,Dwayne HaskinsD. Haskins WAS,QB2,10,22,12,41,26.0,4.3
23,,Kelvin HarmonK. Harmon WAS,WR11,10,22,10,40,26.7,6.4
24,,Miles BoykinM. Boykin BAL,WR12,8,22,13,49,28.1,8.2
25,,Diontae JohnsonD. Johnson PIT,WR13,7,23,19,35,24.9,4.0
26,,Benny Snell Jr.B. Snell PIT,RB8,7,21,15,42,30.6,5.7
27,,Jace SternbergerJ. Sternberger GB,TE4,11,23,21,50,30.9,7.4
28,,Terry McLaurinT. McLaurin WAS,WR14,10,23,20,45,27.6,6.1
29,,Bryce LoveB. Love WAS,RB9,10,22,20,44,32.4,6.0
30,,Drew LockD. Lock DEN,QB3,10,22,22,49,33.2,6.6
31,,Alexander MattisonA. Mattison MIN,RB10,12,21,17,40,28.9,6.3
32,,Rodney AndersonR. Anderson CIN,RB11,9,,19,53,33.8,6.2
33,,Riley RidleyR. Ridley CHI,WR15,6,22,23,51,34.0,6.6
34,,Jalen HurdJ. Hurd SF,WR16,4,23,19,50,29.7,7.4
35,,Trayveon WilliamsT. Williams CIN,RB12,9,21,22,42,36.0,4.1
36,,Daniel JonesD. Jones NYG,QB4,11,22,26,58,37.8,5.1
37,,Ryquell ArmsteadR. Armstead JAC,RB13,10,22,21,61,35.0,7.6
38,,Dexter WilliamsD. Williams GB,RB14,11,,22,58,39.8,9.1
39,,Darwin ThompsonD. Thompson KC,RB15,12,22,19,47,38.0,6.0
40,,KeeSean JohnsonK. Johnson ARI,WR17,12,22,27,58,40.0,7.1
41,,Mike WeberM. Weber DAL,RB16,8,21,25,60,44.9,7.8
42,,Josh OliverJ. Oliver JAC,TE5,10,22,23,50,41.2,6.9
43,,Myles GaskinM. Gaskin MIA,RB17,5,22,23,63,45.6,8.4
44,,Emanuel HallE. Hall CHI,WR18,6,22,28,70,47.3,9.6
45,,Travis HomerT. Homer SEA,RB18,11,20,27,66,50.1,7.8
46,,Gary JenningsG. Jennings SEA,WR19,11,22,23,74,42.8,11.2
47,,Dawson KnoxD. Knox BUF,TE6,6,22,34,59,45.1,6.5
48,,Will GrierW. Grier CAR,QB5,7,24,36,60,49.3,6.4
49,,Elijah HolyfieldE. Holyfield CAR,RB19,7,,20,64,50.8,9.5
50,,Tony PollardT. Pollard DAL,RB20,8,22,31,47,40.4,5.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Hunter RenfrowH. Renfrow OAK,WR20,6,23,38,59,46.9,6.5
52,,DaMarkus LodgeD. Lodge TB,WR21,7,22,30,80,53.1,13.8
53,,Jordan ScarlettJ. Scarlett CAR,RB21,7,23,38,67,48.2,7.0
54,,Caleb WilsonC. Wilson ARI,TE7,12,23,40,74,57.5,7.3
55,,David SillsD. Sills BUF,WR22,6,,36,79,56.0,10.3
56,,Karan HigdonK. Higdon HOU,RB22,10,22,24,65,48.0,9.9
57,,James WilliamsJ. Williams Washington State,RB23,,23,41,98,55.9,15.6
