Rank,WSID,Team DST,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Chicago (CHI)CHI DST,,1,2,1.1,0.3
2,,Baltimore (BAL)BAL DST,,2,6,2.4,0.5
3,,Jacksonville (JAC)JAC DST,,1,7,3.6,1.2
4,,Minnesota (MIN)MIN DST,,1,5,3.7,0.5
Tier 2,
5,,Los Angeles (LAR)LAR DST,,2,7,4.8,0.9
6,,Los Angeles (LAC)LAC DST,,4,9,5.8,0.8
7,,Houston (HOU)HOU DST,,5,9,6.9,0.9
Tier 3,
8,,New Orleans (NO)NO DST,,6,13,8.4,0.8
9,,Cleveland (CLE)CLE DST,,7,17,9.7,1.3
10,,Denver (DEN)DEN DST,,8,15,9.8,0.6
11,,Buffalo (BUF)BUF DST,,7,13,11.6,1.1
12,,Dallas (DAL)DAL DST,,8,15,12.3,1.3
13,,Tennessee (TEN)TEN DST,,10,19,13.2,1.0
14,,New England (NE)NE DST,,11,20,13.6,1.5
Tier 4,
15,,Seattle (SEA)SEA DST,,14,16,15.2,0.4
16,,Philadelphia (PHI)PHI DST,,10,18,16.7,1.2
17,,Atlanta (ATL)ATL DST,,8,20,17.6,1.6
18,,Pittsburgh (PIT)PIT DST,,12,23,19.3,1.8
19,,Carolina (CAR)CAR DST,,17,21,18.6,1.0
20,,Indianapolis (IND)IND DST,,12,28,19.0,2.2
21,,Arizona (ARI)ARI DST,,17,28,20.8,1.0
22,,Kansas City (KC)KC DST,,12,30,20.6,2.2
Tier 5,
23,,Detroit (DET)DET DST,,22,24,23.1,0.3
24,,Green Bay (GB)GB DST,,22,26,24.0,0.5
25,,New York (NYG)NYG DST,,22,27,24.9,0.8
26,,Washington (WAS)WAS DST,,18,32,25.5,2.8
27,,Tampa Bay (TB)TB DST,,21,31,27.4,1.1
28,,Miami (MIA)MIA DST,,24,29,27.1,1.0
29,,San Francisco (SF)SF DST,,26,31,28.0,1.8
30,,Cincinnati (CIN)CIN DST,,26,31,28.6,2.1
31,,New York (NYJ)NYJ DST,,26,30,28.3,1.5
32,,Oakland (OAK)OAK DST,,30,32,31.5,0.9
