Rank,WSIT,Team DST,Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Jacksonville (JAC)JAC DST,,,1,3,1.5,0.9
2,,Minnesota (MIN)MIN DST,,,1,3,2.0,0.7
3,,Chicago (CHI)CHI DST,,,2,5,3.5,1.1
4,,Baltimore (BAL)BAL DST,,,2,10,4.8,3.1
5,,Houston (HOU)HOU DST,,,4,8,5.5,1.5
6,,Los Angeles (LAC)LAC DST,,,4,8,6.5,1.7
7,,Los Angeles (LAR)LAR DST,,,6,7,6.5,0.5
8,,Denver (DEN)DEN DST,,,5,10,7.3,1.8
9,,Atlanta (ATL)ATL DST,,,8,14,10.0,2.3
10,,New Orleans (NO)NO DST,,,9,11,10.0,0.7
11,,Carolina (CAR)CAR DST,,,11,12,11.5,0.5
12,,Cleveland (CLE)CLE DST,,,11,15,12.5,1.5
13,,Philadelphia (PHI)PHI DST,,,6,19,13.3,4.7
14,,Buffalo (BUF)BUF DST,,,13,16,13.8,1.3
15,,Arizona (ARI)ARI DST,,,13,17,15.0,1.4
16,,Dallas (DAL)DAL DST,,,14,17,16.3,1.3
17,,Seattle (SEA)SEA DST,,,9,21,16.8,4.9
18,,New England (NE)NE DST,,,16,18,17.0,1.0
19,,Pittsburgh (PIT)PIT DST,,,18,21,19.3,1.3
20,,Tennessee (TEN)TEN DST,,,15,22,19.5,2.9
21,,Green Bay (GB)GB DST,,,20,25,21.5,2.1
22,,Cincinnati (CIN)CIN DST,,,19,29,23.0,4.2
23,,Detroit (DET)DET DST,,,23,23,23.0,0.0
24,,Indianapolis (IND)IND DST,,,20,26,23.5,2.6
25,,New York (NYG)NYG DST,,,22,25,24.0,1.2
26,,Kansas City (KC)KC DST,,,24,26,24.5,0.9
27,,Miami (MIA)MIA DST,,,27,28,27.3,0.4
28,,San Francisco (SF)SF DST,,,28,30,28.5,0.9
