Rank,WSIT,Tight Ends (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,Travis KelceT. Kelce KC,,29,1,1,1.0,0.0
2,,George KittleG. Kittle SF,,25,2,3,2.4,0.5
3,,Zach ErtzZ. Ertz PHI,,28,2,3,2.6,0.5
4,,O.J. HowardO. Howard TB,,24,4,7,4.5,0.5
5,,David NjokuD. Njoku CLE,,22,4,8,5.1,1.1
6,,Eric EbronE. Ebron IND,,25,6,8,6.5,0.7
7,,Hunter HenryH. Henry LAC,,24,4,9,6.9,1.1
8,,Evan EngramE. Engram NYG,,24,5,8,7.1,0.9
9,,Trey BurtonT. Burton CHI,,27,9,13,9.3,0.4
10,,Rob GronkowskiR. Gronkowski NE,,29,10,23,11.4,1.7
11,,Dallas GoedertD. Goedert PHI,,23,9,22,12.3,1.9
12,,Kyle RudolphK. Rudolph MIN,,29,10,24,13.3,2.7
13,,Austin HooperA. Hooper ATL,,24,11,23,13.5,2.9
14,,Mike GesickiM. Gesicki MIA,,23,13,33,16.3,2.5
15,,Chris Herndon IVC. Herndon NYJ,,22,11,24,16.6,2.9
16,,Jack DoyleJ. Doyle IND,,28,11,27,17.0,3.6
17,,Jordan ReedJ. Reed WAS,,28,14,25,17.1,3.1
18,,Vance McDonaldV. McDonald PIT,,28,13,28,18.4,3.2
19,,Jared CookJ. Cook OAK,,31,17,21,19.3,1.0
20,,Mark AndrewsM. Andrews BAL,,,16,31,20.4,2.7
21,,Gerald EverettG. Everett LAR,,24,15,34,21.6,2.4
22,,Hayden HurstH. Hurst BAL,,25,17,26,22.0,2.5
23,,Jimmy GrahamJ. Graham GB,,32,20,26,22.9,1.7
24,,Delanie WalkerD. Walker TEN,,34,17,28,24.3,2.7
25,,Greg OlsenG. Olsen CAR,,33,16,30,25.5,2.2
26,,Jonnu SmithJ. Smith TEN,,23,17,31,25.5,1.5
27,,Ian ThomasI. Thomas CAR,,22,15,35,26.6,4.7
28,,Cameron BrateC. Brate TB,,27,26,35,29.0,2.1
29,,Ricky Seals-JonesR. Seals-Jones ARI,,23,27,36,29.8,1.7
30,,Austin Seferian-JenkinsA. Seferian-Jenkins FA,,26,29,44,31.4,1.8
31,,Adam ShaheenA. Shaheen CHI,,24,27,55,31.6,1.9
32,,Tyler EifertT. Eifert CIN,,28,30,47,33.1,2.5
33,,Charles ClayC. Clay BUF,,29,33,49,38.1,4.2
34,,Jaylen SamuelsJ. Samuels PIT,,,13,38,30.7,2.6
35,,Jake ButtJ. Butt DEN,,23,32,37,35.0,1.3
36,,Nick VannettN. Vannett SEA,,25,34,51,35.8,1.6
37,,Will DisslyW. Dissly SEA,,22,30,49,38.0,3.1
