Rank,WSIT,Wide Receivers (Team),Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,DeAndre HopkinsD. Hopkins HOU,,26,1,1,1.0,0.0
2,,Odell Beckham Jr.O. Beckham NYG,,26,2,4,2.7,0.7
3,,Davante AdamsD. Adams GB,,26,2,10,3.3,1.2
4,,Michael ThomasM. Thomas NO,,25,2,5,3.4,0.7
5,,Tyreek HillT. Hill KC,,24,3,8,5.9,0.9
6,,JuJu Smith-SchusterJ. Smith-Schuster PIT,,22,3,13,6.9,1.7
7,,Mike EvansM. Evans TB,,25,4,10,7.1,1.3
8,,Julio JonesJ. Jones ATL,,30,5,11,7.7,1.3
9,,Amari CooperA. Cooper DAL,,24,7,13,9.3,1.5
10,,Stefon DiggsS. Diggs MIN,,25,6,12,9.7,1.1
11,,Antonio BrownA. Brown PIT,,30,6,13,10.3,1.4
12,,Keenan AllenK. Allen LAC,,26,5,13,11.6,1.1
13,,A.J. GreenA. Green CIN,,30,8,18,13.2,0.9
14,,Brandin CooksB. Cooks LAR,,25,10,16,14.4,0.7
15,,Adam ThielenA. Thielen MIN,,28,13,17,15.0,0.8
16,,Kenny GolladayK. Golladay DET,,25,12,19,16.6,1.5
17,,T.Y. HiltonT. Hilton IND,,29,15,20,16.7,0.5
18,,Corey DavisC. Davis TEN,,24,14,23,18.2,2.1
19,,Robert WoodsR. Woods LAR,,26,17,25,19.1,0.9
20,,D.J. MooreD. Moore CAR,,21,17,33,20.6,1.4
21,,Cooper KuppC. Kupp LAR,,25,18,29,22.4,1.9
22,,Allen RobinsonA. Robinson CHI,,25,18,27,22.4,1.6
23,,Calvin RidleyC. Ridley ATL,,24,20,30,23.2,2.4
24,,Jarvis LandryJ. Landry CLE,,26,22,43,25.9,3.0
25,,Courtland SuttonC. Sutton DEN,,23,22,31,26.4,3.0
26,,Chris GodwinC. Godwin TB,,22,18,40,26.7,3.7
27,,Alshon JefferyA. Jeffery PHI,,29,18,36,27.1,2.7
28,,Mike WilliamsM. Williams LAC,,24,23,33,27.8,1.9
29,,Will FullerW. Fuller HOU,,24,21,45,30.3,2.2
30,,Sammy WatkinsS. Watkins KC,,25,26,56,30.9,3.4
31,,Christian KirkC. Kirk ARI,,22,26,42,32.0,3.8
32,,Dante PettisD. Pettis SF,,23,25,45,32.8,3.7
33,,Doug BaldwinD. Baldwin SEA,,30,27,41,33.6,2.3
34,,Tyler BoydT. Boyd CIN,,24,31,41,34.6,2.4
35,,Robby AndersonR. Anderson NYJ,,25,23,48,35.7,3.5
36,,Tyler LockettT. Lockett SEA,,26,29,47,36.0,2.5
37,,Anthony MillerA. Miller CHI,,23,35,57,37.2,1.1
38,,Marvin JonesM. Jones DET,,28,33,46,40.1,3.0
39,,Golden TateG. Tate PHI,,30,28,55,40.8,3.3
40,,Michael GallupM. Gallup DAL,,22,37,69,42.3,3.0
41,,Sterling ShepardS. Shepard NYG,,26,31,68,43.0,3.2
42,,John BrownJ. Brown BAL,,28,40,57,44.1,3.0
43,,Keke CouteeK. Coutee HOU,,22,34,70,45.1,4.8
44,,Emmanuel SandersE. Sanders DEN,,31,29,70,46.9,5.2
45,,Marquise GoodwinM. Goodwin SF,,28,33,56,47.6,3.3
