Rank,WSID,Kickers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Greg ZuerleinG. Zuerlein LAR,,1,2,1.1,0.3
2,,Justin TuckerJ. Tucker BAL,,1,3,2.0,0.5
3,,Harrison ButkerH. Butker KC,,2,6,3.5,0.9
4,,Stephen GostkowskiS. Gostkowski NE,,3,5,4.0,0.5
Tier 2,
5,,Ka'imi FairbairnK. Fairbairn HOU,,3,6,4.9,0.3
6,,Wil LutzW. Lutz NO,,3,7,6.3,0.4
7,,Matt BryantM. Bryant ATL,,3,14,7.1,1.2
8,,Mason CrosbyM. Crosby GB,,8,16,9.6,1.7
9,,Matt PraterM. Prater DET,,8,14,10.1,1.3
Tier 3,
10,,Jake ElliottJ. Elliott PHI,,9,19,10.6,1.5
11,,Brett MaherB. Maher DAL,,7,18,13.1,2.9
12,,Graham GanoG. Gano CAR,,8,19,13.4,2.4
13,,Robbie GouldR. Gould SF,,7,23,13.6,1.3
14,,Adam VinatieriA. Vinatieri IND,,9,26,14.6,4.1
15,,Michael BadgleyM. Badgley LAC,,8,20,12.1,2.6
16,,Dan BaileyD. Bailey MIN,,11,22,16.1,2.7
17,,Jason MyersJ. Myers NYJ,,11,35,17.1,3.3
18,,Brandon McManusB. McManus DEN,,16,22,18.3,1.3
Tier 4,
19,,Aldrick RosasA. Rosas NYG,,8,36,18.9,4.5
20,,Ryan SuccopR. Succop TEN,,13,23,19.3,1.6
21,,Sebastian JanikowskiS. Janikowski SEA,,15,30,19.7,1.5
22,,Chris BoswellC. Boswell PIT,,10,26,20.7,3.0
23,,Cody ParkeyC. Parkey CHI,,16,29,21.2,2.0
24,,Steven HauschkaS. Hauschka BUF,,23,26,24.3,0.7
25,,Josh LamboJ. Lambo JAC,,20,30,24.7,2.0
26,,Daniel CarlsonD. Carlson OAK,,21,31,25.7,0.9
Tier 5,
27,,Greg JosephG. Joseph CLE,,19,27,24.4,1.4
28,,Cairo SantosC. Santos TB,,18,32,26.7,3.0
29,,Dustin HopkinsD. Hopkins WAS,,21,31,27.8,1.6
30,,Jason SandersJ. Sanders MIA,,21,38,29.5,6.0
31,,Randy BullockR. Bullock CIN,,29,32,30.3,1.3
32,,Chandler CatanzaroC. Catanzaro CAR,,17,35,26.0,9.0
33,,Zane GonzalezZ. Gonzalez ARI,,31,33,32.0,0.8
34,,Phil DawsonP. Dawson ARI,,28,33,30.5,2.5
