Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Todd GurleyT. Gurley LAR,RB1,,1,3,1.3,0.6
2,,Saquon BarkleyS. Barkley NYG,RB2,,1,4,2.1,0.7
3,,Ezekiel ElliottE. Elliott DAL,RB3,,1,9,2.7,0.6
4,,Christian McCaffreyC. McCaffrey CAR,RB4,,2,7,3.9,0.4
5,,Alvin KamaraA. Kamara NO,RB5,,4,7,4.9,0.3
6,,DeAndre HopkinsD. Hopkins HOU,WR1,,5,10,6.5,0.9
7,,Melvin GordonM. Gordon LAC,RB6,,5,10,6.9,0.6
8,,Davante AdamsD. Adams GB,WR2,,6,11,8.2,1.4
9,,Julio JonesJ. Jones ATL,WR3,,6,12,9.4,1.5
10,,Michael ThomasM. Thomas NO,WR4,,8,16,10.8,1.4
Tier 2,
11,,Nick ChubbN. Chubb CLE,RB7,,9,21,13.5,4.1
12,,Travis KelceT. Kelce KC,TE1,,13,22,13.6,1.2
13,,Antonio BrownA. Brown PIT,WR5,,8,30,13.9,3.6
14,,James ConnerJ. Conner PIT,RB8,,9,23,14.5,3.4
15,,Odell Beckham Jr.O. Beckham NYG,WR6,,9,25,15.4,2.4
16,,Le'Veon BellL. Bell PIT,RB9,,9,23,16.6,2.2
17,,Joe MixonJ. Mixon CIN,RB10,,12,21,16.8,1.7
18,,Tyreek HillT. Hill KC,WR7,,11,24,17.6,3.3
19,,Zach ErtzZ. Ertz PHI,TE2,,13,53,17.7,5.3
20,,Dalvin CookD. Cook MIN,RB11,,9,31,19.4,2.5
21,,David JohnsonD. Johnson ARI,RB12,,9,31,20.7,2.2
22,,George KittleG. Kittle SF,TE3,,15,32,22.4,1.2
23,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR8,,12,32,22.8,3.3
24,,Aaron JonesA. Jones GB,RB13,,17,51,23.3,3.6
Tier 4,
25,,A.J. GreenA. Green CIN,WR9,,23,33,24.9,1.5
26,,Mike EvansM. Evans TB,WR10,,20,33,25.6,0.8
27,,T.Y. HiltonT. Hilton IND,WR11,,25,35,29.3,1.7
28,,Amari CooperA. Cooper DAL,WR12,,21,37,29.6,2.8
29,,Patrick MahomesP. Mahomes KC,QB1,,27,50,30.7,5.8
30,,Keenan AllenK. Allen LAC,WR13,,20,35,31.2,1.0
31,,Leonard FournetteL. Fournette JAC,RB14,,17,58,31.4,6.9
32,,Adam ThielenA. Thielen MIN,WR14,,23,39,33.5,2.0
33,,Stefon DiggsS. Diggs MIN,WR15,,26,36,33.6,1.4
34,,Sony MichelS. Michel NE,RB15,,26,52,34.1,5.9
35,,Brandin CooksB. Cooks LAR,WR16,,27,39,34.4,1.3
36,,Robert WoodsR. Woods LAR,WR17,,30,50,34.9,1.5
37,,Kenny GolladayK. Golladay DET,WR18,,35,41,36.8,0.6
Tier 5,
38,,Marlon MackM. Mack IND,RB16,,28,59,40.3,5.2
39,,Chris CarsonC. Carson SEA,RB17,,27,60,42.2,6.2
40,,Alshon JefferyA. Jeffery PHI,WR19,,36,62,42.3,3.4
41,,Phillip LindsayP. Lindsay DEN,RB18,,21,51,44.1,1.7
