Rank,WSID,Running Backs (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Todd GurleyT. Gurley LAR,,1,3,1.3,0.6
2,,Saquon BarkleyS. Barkley NYG,,1,4,2.1,0.7
3,,Ezekiel ElliottE. Elliott DAL,,1,6,2.7,0.6
4,,Christian McCaffreyC. McCaffrey CAR,,2,6,3.9,0.4
Tier 2,
5,,Alvin KamaraA. Kamara NO,,4,6,4.9,0.3
6,,Melvin GordonM. Gordon LAC,,5,6,5.9,0.3
7,,Nick ChubbN. Chubb CLE,,7,12,8.3,1.5
8,,James ConnerJ. Conner PIT,,7,13,8.7,1.3
Tier 3,
9,,Joe MixonJ. Mixon CIN,,7,12,9.3,1.0
10,,Le'Veon BellL. Bell PIT,,7,13,9.4,1.3
11,,Dalvin CookD. Cook MIN,,7,15,11.0,1.4
12,,David JohnsonD. Johnson ARI,,7,15,11.7,1.0
13,,Aaron JonesA. Jones GB,,9,20,12.7,1.2
14,,Leonard FournetteL. Fournette JAC,,9,27,15.1,1.4
15,,Sony MichelS. Michel NE,,14,21,15.7,1.3
Tier 4,
16,,Marlon MackM. Mack IND,,13,23,16.8,1.6
17,,Chris CarsonC. Carson SEA,,14,24,17.7,2.0
18,,Phillip LindsayP. Lindsay DEN,,12,23,18.3,0.9
19,,Kerryon JohnsonK. Johnson DET,,13,31,19.8,2.4
20,,Derrick HenryD. Henry TEN,,16,26,20.7,1.4
21,,Devonta FreemanD. Freeman ATL,,16,31,21.5,2.5
22,,Derrius GuiceD. Guice WAS,,17,34,21.7,3.1
23,,Damien WilliamsD. Williams KC,,7,46,23.4,7.6
24,,Jerick McKinnonJ. McKinnon SF,,22,34,25.1,1.9
Tier 5,
25,,Tarik CohenT. Cohen CHI,,16,26,22.9,1.6
26,,Tevin ColemanT. Coleman ATL,,22,42,31.1,2.5
27,,Lamar MillerL. Miller HOU,,23,35,25.1,1.2
28,,Jordan HowardJ. Howard CHI,,21,30,26.9,1.4
29,,Mark IngramM. Ingram NO,,23,39,27.6,1.3
30,,James WhiteJ. White NE,,17,30,27.7,1.3
31,,LeSean McCoyL. McCoy BUF,,24,41,30.1,1.5
32,,Kenyan DrakeK. Drake MIA,,23,34,31.1,1.1
33,,Rashaad PennyR. Penny SEA,,31,41,33.9,1.9
34,,Matt BreidaM. Breida SF,,24,42,34.4,2.4
35,,Elijah McGuireE. McGuire NYJ,,30,44,35.7,2.7
36,,Royce FreemanR. Freeman DEN,,28,50,36.5,3.2
37,,Kenneth DixonK. Dixon BAL,,28,47,37.4,2.4
Tier 6,
38,,Jay AjayiJ. Ajayi PHI,,32,52,38.6,2.4
39,,Gus EdwardsG. Edwards BAL,,31,59,39.1,1.8
40,,Dion LewisD. Lewis TEN,,38,46,41.1,1.7
41,,Kareem HuntK. Hunt FA,,20,52,40.7,4.8
42,,Nyheim HinesN. Hines IND,,36,52,45.2,2.4
43,,Rex BurkheadR. Burkhead NE,,34,57,45.7,4.7
44,,Duke JohnsonD. Johnson CLE,,32,59,46.8,3.3
45,,Ronald Jones IIR. Jones TB,,36,71,47.8,5.6
46,,D'Onta ForemanD. Foreman HOU,,44,64,48.2,4.5
47,,Latavius MurrayL. Murray MIN,,38,63,48.9,4.2
48,,Isaiah CrowellI. Crowell NYJ,,39,60,50.3,4.0
49,,Josh AdamsJ. Adams PHI,,41,58,44.8,3.3
Tier 7,
50,,Austin EkelerA. Ekeler LAC,,35,60,51.7,4.6
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Ito SmithI. Smith ATL,,34,62,52.4,4.0
52,,Chris ThompsonC. Thompson WAS,,40,64,52.9,4.4
53,,Jamaal WilliamsJ. Williams GB,,45,67,55.2,1.9
54,,T.J. YeldonT. Yeldon JAC,,48,76,56.0,4.5
55,,Peyton BarberP. Barber TB,,45,67,56.2,4.5
56,,C.J. AndersonC. Anderson LAR,,37,67,57.1,6.2
57,,Spencer WareS. Ware KC,,35,61,53.3,5.7
58,,Alex CollinsA. Collins BAL,,43,74,53.6,5.5
59,,Doug MartinD. Martin OAK,,41,73,53.8,6.4
60,,Adrian PetersonA. Peterson WAS,,37,63,58.7,2.1
61,,Jaylen SamuelsJ. Samuels PIT,,37,72,56.8,7.2
62,,Kalen BallageK. Ballage MIA,,47,66,61.8,2.8
63,,Jalen RichardJ. Richard OAK,,49,73,63.7,5.0
