Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,DeAndre HopkinsD. Hopkins HOU,,1,3,1.4,0.5
2,,Davante AdamsD. Adams GB,,1,4,2.3,0.7
3,,Julio JonesJ. Jones ATL,,1,5,3.0,1.1
4,,Michael ThomasM. Thomas NO,,2,7,3.7,0.7
Tier 2,
5,,Antonio BrownA. Brown PIT,,3,12,5.5,1.2
6,,Odell Beckham Jr.O. Beckham NYG,,4,7,5.9,0.7
7,,Tyreek HillT. Hill KC,,4,8,6.5,0.7
8,,JuJu Smith-SchusterJ. Smith-Schuster PIT,,5,13,8.4,1.4
Tier 3,
9,,A.J. GreenA. Green CIN,,8,14,9.4,1.4
10,,Mike EvansM. Evans TB,,8,14,9.9,0.8
11,,T.Y. HiltonT. Hilton IND,,9,17,11.7,1.2
12,,Amari CooperA. Cooper DAL,,9,16,11.7,1.8
13,,Keenan AllenK. Allen LAC,,9,16,12.6,0.8
14,,Adam ThielenA. Thielen MIN,,10,20,14.6,2.0
15,,Stefon DiggsS. Diggs MIN,,10,17,14.8,1.5
16,,Brandin CooksB. Cooks LAR,,12,20,15.4,1.4
17,,Robert WoodsR. Woods LAR,,13,25,16.0,1.2
Tier 4,
18,,Kenny GolladayK. Golladay DET,,16,21,18.0,0.0
19,,Allen RobinsonA. Robinson CHI,,19,36,19.8,1.0
20,,Cooper KuppC. Kupp LAR,,17,31,21.0,1.8
21,,Corey DavisC. Davis TEN,,19,32,21.7,2.4
22,,Alshon JefferyA. Jeffery PHI,,17,28,21.9,1.7
23,,Doug BaldwinD. Baldwin SEA,,21,27,23.1,1.0
24,,Jarvis LandryJ. Landry CLE,,20,31,23.6,1.1
Tier 5,
25,,Julian EdelmanJ. Edelman NE,,14,37,25.6,3.9
26,,D.J. MooreD. Moore CAR,,23,32,26.6,1.9
27,,Calvin RidleyC. Ridley ATL,,22,37,26.7,3.9
28,,Tyler BoydT. Boyd CIN,,20,34,28.4,2.1
29,,Tyler LockettT. Lockett SEA,,25,36,29.3,1.7
30,,Sammy WatkinsS. Watkins KC,,26,42,30.2,3.8
31,,Marvin JonesM. Jones DET,,30,43,31.0,0.4
32,,Chris GodwinC. Godwin TB,,26,39,31.7,1.7
33,,Mike WilliamsM. Williams LAC,,25,37,33.1,1.6
34,,Will FullerW. Fuller HOU,,28,58,33.4,2.2
35,,Robby AndersonR. Anderson NYJ,,24,43,33.9,3.3
36,,Courtland SuttonC. Sutton DEN,,34,41,36.5,1.2
37,,Dante PettisD. Pettis SF,,30,41,37.2,1.5
Tier 6,
38,,Golden TateG. Tate PHI,,26,43,38.5,1.7
39,,Christian KirkC. Kirk ARI,,35,44,39.9,1.5
40,,Sterling ShepardS. Shepard NYG,,36,49,40.2,3.3
41,,Curtis SamuelC. Samuel CAR,,35,50,42.2,2.0
42,,Keke CouteeK. Coutee HOU,,41,57,43.8,3.6
43,,Emmanuel SandersE. Sanders DEN,,22,66,44.3,10.2
44,,Anthony MillerA. Miller CHI,,39,62,44.6,2.9
45,,Dede WestbrookD. Westbrook JAC,,39,51,45.2,2.9
46,,Michael GallupM. Gallup DAL,,41,49,45.9,1.5
47,,Adam HumphriesA. Humphries TB,,38,89,47.5,3.0
48,,Marquise GoodwinM. Goodwin SF,,43,66,48.1,4.2
49,,Robert FosterR. Foster BUF,,39,59,49.1,3.1
50,,Geronimo AllisonG. Allison GB,,27,75,53.5,7.5
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,John BrownJ. Brown BAL,,46,64,53.6,3.6
Tier 7,
52,,Larry FitzgeraldL. Fitzgerald ARI,,32,81,51.0,3.0
53,,Jamison CrowderJ. Crowder WAS,,48,74,51.7,2.3
54,,Kenny StillsK. Stills MIA,,51,74,56.7,2.6
55,,John RossJ. Ross CIN,,52,81,56.7,7.0
56,,Antonio CallawayA. Callaway CLE,,52,63,56.9,3.3
57,,DaeSean HamiltonD. Hamilton DEN,,34,68,58.2,7.6
58,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,,50,79,58.6,6.4
59,,Quincy EnunwaQ. Enunwa NYJ,,48,80,60.7,7.0
60,,James WashingtonJ. Washington PIT,,40,70,65.3,3.7
61,,DeSean JacksonD. Jackson TB,,47,85,57.8,4.3
62,,Zay JonesZ. Jones BUF,,46,82,62.7,4.8
63,,Taylor GabrielT. Gabriel CHI,,57,68,62.8,2.4
64,,Devante ParkerD. Parker MIA,,55,90,63.6,4.5
65,,Albert WilsonA. Wilson MIA,,53,82,65.1,3.5
66,,Marqise LeeM. Lee JAC,,52,75,65.8,5.3
67,,Mohamed SanuM. Sanu ATL,,47,83,66.2,8.5
68,,Devin FunchessD. Funchess CAR,,58,79,66.2,4.8
69,,Tre'Quan SmithT. Smith NO,,49,78,67.0,2.8
Tier 8,
70,,Donte MoncriefD. Moncrief JAC,,60,74,70.7,2.3
71,,Michael CrabtreeM. Crabtree BAL,,55,84,72.0,7.0
72,,Nelson AgholorN. Agholor PHI,,60,83,73.2,4.7
73,,Equanimeous St. BrownE. St. GB,,62,115,73.6,3.6
74,,Taywan TaylorT. Taylor TEN,,68,89,73.8,2.2
75,,Demaryius ThomasD. Thomas HOU,,53,124,62.8,5.9
76,,Paul RichardsonP. Richardson WAS,,60,84,75.3,5.1
77,,Tyrell WilliamsT. Williams LAC,,51,84,75.7,4.7
78,,Josh ReynoldsJ. Reynolds LAR,,71,88,77.2,2.3
79,,David MooreD. Moore SEA,,61,81,68.3,5.0
80,,Josh DoctsonJ. Doctson WAS,,72,84,79.3,1.4
81,,Randall CobbR. Cobb GB,,71,91,81.3,2.2
82,,D.J. CharkD. Chark JAC,,76,92,82.0,2.2
83,,Jordy NelsonJ. Nelson OAK,,44,94,83.3,4.3
84,,Chris HoganC. Hogan NE,,65,90,85.0,3.5
85,,Dez BryantD. Bryant NO,,73,106,86.7,9.2
86,,Keelan ColeK. Cole JAC,,86,101,88.0,1.9
87,,Willie SneadW. Snead BAL,,68,91,88.3,1.8
88,,Chris ConleyC. Conley KC,,84,99,89.3,3.2
89,,Kelvin BenjaminK. Benjamin KC,,87,116,92.2,2.7
90,,Ryan GrantR. Grant IND,,90,123,94.9,4.6
91,,Ted GinnT. Ginn NO,,54,111,86.3,5.3
92,,Rashard HigginsR. Higgins CLE,,67,118,89.3,11.1
Tier 9,
93,,J'Mon MooreJ. Moore GB,,87,165,99.4,17.3
94,,Pierre GarconP. Garcon SF,,73,100,91.6,3.6
95,,Cameron MeredithC. Meredith NO,,83,146,95.8,2.7
96,,Cole BeasleyC. Beasley DAL,,81,106,96.4,2.1
97,,Kendrick BourneK. Bourne SF,,85,114,96.8,4.5
98,,Jake KumerowJ. Kumerow GB,,76,167,99.0,11.2
99,,Deon CainD. Cain IND,,85,110,100.4,2.9
100,,Danny AmendolaD. Amendola MIA,,95,105,100.9,3.3
101,,Cordarrelle PattersonC. Patterson NE,,92,113,101.8,4.9
102,,Jermaine KearseJ. Kearse NYJ,,98,134,104.3,6.2
103,,Phillip DorsettP. Dorsett NE,,100,121,105.3,4.4
104,,Breshad PerrimanB. Perriman CLE,,78,127,97.7,7.2
105,,Trent TaylorT. Taylor SF,,101,125,106.3,2.7
106,,Chester RogersC. Rogers IND,,102,120,108.6,2.3
107,,Rishard MatthewsR. Matthews NYJ,,89,106,101.7,3.1
108,,Allen HurnsA. Hurns DAL,,93,142,107.4,4.7
109,,Keith KirkwoodK. Kirkwood NO,,78,117,107.7,4.1
110,,Laquon TreadwellL. Treadwell MIN,,93,128,109.9,3.5
Tier 10,
111,,Dontrelle InmanD. Inman IND,,79,122,106.0,17.0
112,,Mike WallaceM. Wallace PHI,,86,126,106.8,17.1
113,,Corey ColemanC. Coleman NYG,,99,148,119.2,17.4
114,,Jordan MatthewsJ. Matthews PHI,,91,122,108.0,12.6
115,,Travis BenjaminT. Benjamin LAC,,103,123,113.0,7.2
116,,Ryan SwitzerR. Switzer PIT,,94,143,124.6,18.1
117,,Jaron BrownJ. Brown SEA,,104,128,115.0,8.8
118,,Chad WilliamsC. Williams ARI,,103,130,117.3,11.5
119,,Brice ButlerB. Butler MIA,,116,119,117.3,1.3
120,,Jakeem GrantJ. Grant MIA,,93,132,108.3,17.0
121,,Trey QuinnT. Quinn WAS,,80,147,123.5,27.0
122,,Jarius WrightJ. Wright CAR,,110,137,123.8,9.8
