Rank,WSIT,Rookies (Team),Pos,Bye,Age,Best,Worst,Avg,Std Dev,Notes
1,,D.K. MetcalfD. Metcalf FA,WR1,,,1,6,2.7,1.5
2,,David MontgomeryD. Montgomery FA,RB1,,,1,28,3.1,2.0
3,,N'Keal HarryN. Harry FA,WR2,,,2,11,4.0,1.2
4,,Josh JacobsJ. Jacobs FA,RB2,,,1,10,5.1,2.1
5,,Kelvin HarmonK. Harmon FA,WR3,,,1,11,5.7,2.3
6,,A.J. BrownA. Brown FA,WR4,,,1,10,6.4,1.4
7,,Damien HarrisD. Harris FA,RB3,,,6,13,8.4,2.1
8,,Darrell HendersonD. Henderson,RB4,,,2,20,8.7,4.4
9,,Rodney AndersonR. Anderson FA,RB5,,,1,39,9.3,3.1
10,,Hakeem ButlerH. Butler FA,WR5,,,4,21,9.3,1.7
11,,Marquise BrownM. Brown FA,WR6,,,6,19,10.1,1.1
12,,Devin SingletaryD. Singletary FA,RB6,,,7,34,13.9,4.6
13,,Justice HillJ. Hill FA,RB7,,,12,17,14.1,0.8
14,,Benjamin Snell Jr.B. Snell FA,RB8,,,5,24,15.3,1.3
15,,Miles SandersM. Sanders FA,RB9,,,5,59,16.7,6.2
16,,Deebo SamuelD. Samuel FA,WR7,,,8,31,16.9,3.6
17,,JJ Arcega-WhitesideJ. Arcega-Whiteside FA,WR8,,,9,26,17.4,2.1
18,,Elijah HolyfieldE. Holyfield FA,RB10,,,15,29,18.9,2.1
19,,Irv Smith Jr.I. Smith FA,TE1,,,18,35,20.0,2.0
20,,Bryce LoveB. Love FA,RB11,,,10,34,21.4,3.8
21,,Kyler MurrayK. Murray FA,QB1,,,2,33,22.9,8.6
22,,T.J. HockensonT. Hockenson FA,TE2,,,16,40,22.9,2.2
23,,Riley RidleyR. Ridley FA,WR9,,,21,30,24.9,2.8
24,,Dwayne HaskinsD. Haskins FA,QB2,,,22,43,25.6,2.9
25,,Parris CampbellP. Campbell FA,WR10,,,9,33,24.5,4.4
26,,DaMarkus LodgeD. Lodge FA,WR11,,,20,38,31.7,3.3
27,,Trayveon WilliamsT. Williams,RB12,,,12,65,26.2,5.3
28,,Mike WeberM. Weber FA,RB13,,,22,47,32.4,7.2
29,,Noah FantN. Fant,TE3,,,12,46,18.8,3.1
30,,Lil'Jordan HumphreyL. Humphrey,WR12,,,15,35,28.7,4.4
31,,Emanuel HallE. Hall FA,WR13,,,20,36,30.3,1.9
32,,Drew LockD. Lock FA,QB3,,,13,62,36.1,6.3
33,,Will GrierW. Grier FA,QB4,,,32,56,39.9,5.1
34,,David SillsD. Sills FA,WR14,,,27,43,35.7,1.8
35,,LJ ScottL. Scott FA,RB14,,,22,45,29.4,5.5
36,,Andy IsabellaA. Isabella FA,WR15,,,28,53,36.3,3.9
37,,Antoine WesleyA. Wesley,WR16,,,30,55,37.2,2.9
38,,James WilliamsJ. Williams,RB15,,,26,59,38.7,6.6
39,,Karan HigdonK. Higdon FA,RB16,,,23,56,32.8,5.7
40,,Myles GaskinM. Gaskin,RB17,,,25,50,35.4,6.2
41,,Daniel JonesD. Jones FA,QB5,,,22,63,44.3,7.1
42,,Greg DortchG. Dortch,WR17,,,18,56,42.0,9.3
43,,Dillon MitchellD. Mitchell FA,WR18,,,27,67,42.2,6.6
44,,Kaden SmithK. Smith FA,TE4,,,37,71,42.4,3.7
45,,Travis HomerT. Homer FA,RB18,,,33,60,42.8,5.6
46,,Caleb WilsonC. Wilson FA,TE5,,,34,68,43.2,6.2
47,,KeeSean JohnsonK. Johnson FA,WR19,,,16,61,43.6,4.1
48,,Darwin ThompsonD. Thompson FA,RB19,,,36,66,43.8,2.6
49,,Preston WilliamsP. Williams FA,WR20,,,29,69,46.6,9.8
50,,Dexter WilliamsD. Williams FA,RB20,,,41,65,49.4,3.5
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Damarea CrockettD. Crockett FA,RB21,,,34,48,41.3,5.7
52,,Wes HillsW. Hills FA,RB22,,,14,64,45.0,22.1
53,,Jordan ScarlettJ. Scarlett,RB23,,,25,59,46.0,15.0
54,,Isaac NautaI. Nauta,TE6,,,42,75,54.0,12.6
55,,Jalin MooreJ. Moore FA,RB24,,,40,60,52.7,9.0
56,,Jaylen SmithJ. Smith FA,WR21,,,44,46,45.0,1.0
57,,Ryan FinleyR. Finley FA,QB6,,,33,77,55.0,22.0
58,,Alexander MattisonA. Mattison FA,RB25,,,41,62,51.5,10.5
59,,Gary JenningsG. Jennings FA,WR22,,,51,52,51.5,0.5
60,,Jace SternbergerJ. Sternberger FA,TE7,,,45,63,54.0,9.0
61,,Ty JohnsonT. Johnson FA,RB26,,,39,70,54.5,15.5
62,,Jarrett StidhamJ. Stidham,QB7,,,43,66,54.5,11.5
63,,Hunter RenfrowH. Renfrow FA,WR23,,,54,76,62.3,9.7
