"page","page_pos","scrape_date","fantasypros_id","player_name","pos","team","rank","ecr","sd","best","worst","player_positions","player_short_name","player_eligibility","player_page_url","player_filename","player_bye_week","player_owned_avg","player_opponent","player_opponent_id","player_game_kickoff_ts","player_game_status","player_ecr_delta","note","tag","recommendation","pos_rank","start_sit_grade","r2p_pts"
"qb","QB",2026-09-24,"17298","Josh Allen","QB","BUF",1,1,0,1,1,"QB","J. Allen","QB","https://www.fantasypros.com/nfl/players/josh-allen-qb.php","josh-allen-qb.php","7",99.9,"vs. LAC","LAC",1790528400,"scheduled",NA,NA,"start",NA,"QB1","A+","24.4"
"qb","QB",2026-09-24,"17233","Lamar Jackson","QB","BAL",2,2.04,0.19,2,3,"QB","L. Jackson","QB","https://www.fantasypros.com/nfl/players/lamar-jackson.php","lamar-jackson.php","13",99.8,"at DAL","DAL",1790540700,"scheduled",NA,NA,"start",NA,"QB2","A","23.0"
"qb","QB",2026-09-24,"19797","Brock Purdy","QB","SF",3,3.59,0.68,2,5,"QB","B. Purdy","QB","https://www.fantasypros.com/nfl/players/brock-purdy.php","brock-purdy.php","8",91.3,"vs. ARI","ARI",1790539500,"scheduled",NA,NA,"start",NA,"QB3","A","22.1"
"qb","QB",2026-09-24,"19275","Jalen Hurts","QB","PHI",4,3.74,0.89,3,6,"QB","J. Hurts","QB","https://www.fantasypros.com/nfl/players/jalen-hurts.php","jalen-hurts.php","10",98.5,"at CHI","CHI",1790640900,"scheduled",NA,NA,"start",NA,"QB4","A","21.2"
"qb","QB",2026-09-24,"16413","Patrick Mahomes","QB","KC",5,4.78,0.5,3,5,"QB","P. Mahomes II","QB","https://www.fantasypros.com/nfl/players/patrick-mahomes.php","patrick-mahomes.php","5",92.9,"at MIA","MIA",1790528400,"scheduled",NA,NA,"start",NA,"QB5","A","20.4"
"qb","QB",2026-09-24,"15600","Dak Prescott","QB","DAL",6,6.22,0.92,4,9,"QB","D. Prescott","QB","https://www.fantasypros.com/nfl/players/dak-prescott.php","dak-prescott.php","14",95.7,"vs. BAL","BAL",1790540700,"scheduled",NA,NA,"start",NA,"QB6","B+","19.6"
"qb","QB",2026-09-24,"15501","Jared Goff","QB","DET",7,7.19,0.67,6,8,"QB","J. Goff","QB","https://www.fantasypros.com/nfl/players/jared-goff.php","jared-goff.php","6",81.2,"vs. NYJ","NYJ",1790528400,"scheduled",NA,"Jared Goff has been strong for fantasy through two games as the QB7 in fantasy points per game. Among 28 qualifying passers, he has been sixth-best in passer rating and passing success rate, 11th in highly accurate throw rate, and tenth in hero throw rate. Goff will have to contend with the Lions' former defensive coordinator Aaron Glenn this week, who has the Jets' pass defense off to a fast start. Now, I do also have to mention that the Jets have faced Cam Ward and Jordan Love so far, so take it with a grain of salt. Ward and Love have begun the season with struggle bus games. The Jets have allowed the ninth-lowest passing success rate, the sixth-lowest EPA per dropback, and the third-lowest explosive pass rate. Those are impressive stats. The Jets are also fifth in pressure rate and eighth in blitz rate. Goff has destroyed the blitz so far this season, ranking seventh in passing success rate and second in passer rating. I think Goff will still have success this week despite the Jets' defensive quick start out of the blocks.","start",NA,"QB7","B+","18.9"
"qb","QB",2026-09-24,"19196","Joe Burrow","QB","CIN",8,8.52,1.45,6,11,"QB","J. Burrow","QB","https://www.fantasypros.com/nfl/players/joe-burrow.php","joe-burrow.php","6",98.3,"at PIT","PIT",1790528400,"scheduled",NA,NA,"start",NA,"QB8","B","18.5"
"qb","QB",2026-09-24,"19780","Trevor Lawrence","QB","JAC",9,9.3,1.27,7,12,"QB","T. Lawrence","QB","https://www.fantasypros.com/nfl/players/trevor-lawrence.php","trevor-lawrence.php","7",90.3,"vs. NE","NE",1790528400,"scheduled",NA,"Trevor Lawrence has been Jekyll and Hyde to begin the season. He beat up on the Browns as the QB5 for the week, and then he was the QB26 in weekly scoring last week against Denver. Among 28 qualifying quarterbacks, he ranks seventh in yards per attempt, fifth in passing success rate, 20th in highly accurate throw rate, 25th in hero throw rate, and he has the highest turnover-worthy play rate. There's a lot of good there while also plenty of concerning data points. He has another tough matchup against the Pats this week. Yes, New England has only faced Drew Lock and Aaron Rodgers this season, so take their metrics with a grain of salt. They have also held those passers to the second-lowest EPA per dropback, the 14th-lowest passing success rate, and the tenth-lowest explosive pass rate. If you're being an optimist, this is a neutral matchup being propped up metrically by facing subpar passers. With Lawrence's concerning metrics, I'm a little more worried about him than that viewpoint would suggest.","start",NA,"QB9","B","18.1"
"qb","QB",2026-09-24,"19246","Jordan Love","QB","GB",10,10.3,1.21,7,12,"QB","J. Love","QB","https://www.fantasypros.com/nfl/players/jordan-love.php","jordan-love.php","11",62.5,"vs. ATL","ATL",1790295300,"created",2,"Jordan Love hasn't played well to begin the season. Yes, he's the QB13 in fantasy points per game, but that's on the strength of a high-passing-volume Week 1, which carried him to QB11 for that week. Last week, he fell to QB20 in weekly scoring. Love has been struggling as a passer. Among 29 qualifying passers, Love does have the 12th-highest yards per attempt and the ninth-highest aDOT, but he also has the fourth-lowest passing success rate, the lowest highly accurate throw rate and catchable target rate, and the highest off-target rate. Love could struggle again this week against a pass defense that has the third-best pressure rate while allowing the third-lowest passing success rate, the 11th-fewest yards per attempt, and the 14th-fewest EPA per dropback.","start",NA,"QB10","B","17.8"
"qb","QB",2026-09-24,"23046","Drake Maye","QB","NE",11,10.96,1.5,8,14,"QB","D. Maye","QB","https://www.fantasypros.com/nfl/players/drake-maye.php","drake-maye.php","11",96.5,"at JAC","JAC",1790528400,"scheduled",NA,"Drake Maye has struggled out of the gate as the QB28 in fantasy. Among 28 qualifying passers, he is 17th in yards per attempt, 21st in passing success rate, has the 12th-lowest aDOT, the second-highest turnover-worthy play rate, and the tenth-lowest EPA per dropback. It has been rough. His rushing hasn't been enough to save his fantasy days, averaging 5.5 rushing attempts and 32 yards on the ground. This week's matchup against the Jags should be seen at worst as a neutral one with the upside to be quite favorable. Jacksonville's talented defense has also been meh through two games. The Jaguars have allowed the 14th-highest passing success rate, the highest explosive pass rate, and they rank 14th-best in EPA per dropback allowed. I'm not expecting a HUGE bounce-back game from Maye, but I also won't be shocked if he logs his first QB1 outing of the season in Week 3.","start",NA,"QB11","B-","17.6"
