name,pos,tm,dynoECR,dyno2QBECR,dynoSD,dynpECR,dynpSD,redpECR,redpSD
Saquon Barkley,RB,NYG,1.8,2.7,0.4,1.4,0.5,5.9,1.8
Todd Gurley,RB,LAR,1.8,2.7,1,1.6,0.5,1.3,0.6
DeAndre Hopkins,WR,HOU,3.4,4.9,1.6,1.2,0.6,2.4,1
Ezekiel Elliott,RB,DAL,5,7.2,2.1,3.3,0.5,2.9,1.1
Odell Beckham,WR,NYG,5.4,7.7,1.2,3,0.9,3.2,1.1
Alvin Kamara,RB,NOS,6.2,8.9,1.2,3.7,0.5,5.7,1.8
Christian McCaffrey,RB,CAR,7,10,3.2,5.3,0.5,11.3,2.3
Michael Thomas,WR,NOS,7.6,10.7,1.6,2.4,0.5,5.3,1.4
Davante Adams,WR,GBP,9.2,12.8,2.9,4.2,1.2,7,1.4
Melvin Gordon,RB,LAC,11.2,15.7,2.9,5.8,0.6,6.9,1.8
Tyreek Hill,WR,KCC,11.4,15.8,2.1,5.4,1,12.1,3
Antonio Brown,WR,PIT,12.6,17.4,1.4,6.8,0.6,1.1,0.4
Julio Jones,WR,ATL,14.2,19.5,2.7,8.6,1.6,4,1.2
Mike Evans,WR,TBB,14.8,20.3,2.9,8.9,0.7,10.7,2.4
Joe Mixon,RB,CIN,17,23.5,2.1,7.8,0.8,14.1,2.4
David Johnson,RB,ARI,17,23.5,2.1,8.6,1.3,2.6,1.1
JuJu Smith-Schuster,WR,PIT,17.4,23.8,6.9,6.8,2.8,20.3,4.2
Keenan Allen,WR,LAC,19.6,26.7,4.2,9,1.2,6.4,1.3
Adam Thielen,WR,MIN,21.4,29.1,10.5,12.4,1.1,14.2,3.6
Nick Chubb,RB,CLE,22,30.2,7.4,9.1,1.1,50.9,8.1
Stefon Diggs,WR,MIN,23,31.2,2.4,11.7,1.1,12.2,2.9
James Conner,RB,PIT,23.4,32,3.9,10,0.7,52.7,17.4
A.J. Green,WR,CIN,24.6,33.3,3.9,13.8,1.2,7.2,1.3
Travis Kelce,TE,KCC,25.6,35.6,5.7,1.1,0.3,2.1,0.4
Leonard Fournette,RB,JAC,26.2,35.7,10,13,1.6,7,1.8
Brandin Cooks,WR,LAR,26.8,36.2,3.9,14.6,1.1,21.5,4.7
Sony Michel,RB,NEP,27.2,37,3.2,14,1.2,33.5,5.9
Le'Veon Bell,RB,PIT,27.4,37.3,2.9,12.6,1.2,8.2,6.6
Amari Cooper,WR,DAL,29.2,39.3,10.5,11.3,1.7,15.2,3.4
Dalvin Cook,RB,MIN,29.2,39.6,6.9,11.4,1.3,10.1,1.8
Zach Ertz,TE,PHI,29.8,41.1,8.8,2.4,0.5,3.1,0.7
Kerryon Johnson,RB,DET,30.8,41.7,6,16.2,1.3,31.2,5.3
T.Y. Hilton,WR,IND,32.6,43.7,3.6,17.8,1,10.8,2.2
Corey Davis,WR,TEN,33.8,45.3,4.9,16.1,1.6,28.1,6
Derrius Guice,RB,WAS,35.4,47.7,3.5,15.9,1.8,,
Kenny Golladay,WR,DET,35.6,47.6,5.3,17.2,0.9,50.8,7.5
Robert Woods,WR,LAR,36,48.1,4.9,21.7,2.2,34.4,5.7
Jarvis Landry,WR,CLE,38.4,51.2,7.3,19.7,1.5,23.4,4.3
Patrick Mahomes,QB,KCC,38.6,6.4,4.7,1,0,14.2,3.4
Aaron Jones,RB,GBP,39,52.3,4.9,16.2,2.4,46.7,8.3
Phillip Lindsay,RB,DEN,44.8,59.8,6.4,19.6,1.7,84,8.1
D.J. Moore,WR,CAR,45.2,60,16.7,21.6,2.8,56.3,8.4
George Kittle,TE,SFO,45.8,61.9,12.4,2.6,0.5,13.4,2.4
Calvin Ridley,WR,ATL,47,62.3,5.3,25.9,3,61.9,8.1
Aaron Rodgers,QB,GBP,48.4,9.4,7.6,4,1.6,1.1,0.4
Alshon Jeffery,WR,PHI,48.4,64.1,5.2,28.2,2.7,34.1,7.6
Cooper Kupp,WR,LAR,49.6,65.7,6.2,21.4,1.4,35.1,5
Allen Robinson,WR,CHI,50.4,66.7,10.4,24.9,2.7,19.4,4.7
Courtland Sutton,WR,DEN,50.6,66.9,12.6,25.2,2.8,74,9.2
Chris Godwin,WR,TBB,52.4,69.3,10,27.3,2.3,56,8.4
Andrew Luck,QB,IND,53.6,11.2,10.6,4.6,1.6,9.9,3.6
Deshaun Watson,QB,HOU,57.8,12.8,8.5,3.6,1.4,5.3,2.3
Tevin Coleman,RB,ATL,59.4,78.5,7.7,22,2.3,27.5,4.3
Will Fuller,WR,HOU,59.6,78.5,7.6,32.2,4.7,37.9,5.5
O.J. Howard,TE,TBB,60.4,80.5,8.9,4.8,0.8,15.5,3.3
Marlon Mack,RB,IND,61,80.5,18.4,25.1,2.9,37.8,6.5
Kenyan Drake,RB,MIA,61.2,80.8,3.7,28.8,2.7,17.6,2.8
Russell Wilson,QB,SEA,61.4,14.2,14,6.2,1.4,3.1,1.4
Tarik Cohen,RB,CHI,62,81.8,14.5,22.4,2.8,40.9,5.3
Carson Wentz,QB,PHI,62.6,14.6,23.4,5.8,2.1,12.5,4.8
Sammy Watkins,WR,KCC,62.8,82.5,7.4,27.3,3.6,31.5,6.2
