"","mfl_id","sleeper_id","pfr_id","gsis_id","pff_id","espn_id","yahoo_id","ras_id","otc_id"
"1","1286",NA,NA,"00-0020270","869",NA,NA,NA,NA
"2","3298",NA,NA,"00-0016098","333",NA,NA,NA,NA
"3","3869",NA,NA,"00-0017915","440",NA,NA,NA,NA
"4","4722",NA,NA,"00-0019641","585",NA,NA,NA,NA
"5","4728","1962",NA,NA,NA,NA,"28200",NA,NA
"6","4895",NA,NA,"00-0020536","777",NA,NA,NA,NA
"7","5027",NA,NA,"00-0020270","869",NA,NA,NA,NA
"8","5172",NA,NA,"00-0019863","979",NA,NA,NA,NA
"9","5656",NA,NA,"00-0019641","585",NA,NA,NA,NA
"10","5805",NA,NA,"00-0019484","678",NA,NA,NA,NA
"11","6559",NA,NA,"00-0021179","1058",NA,NA,NA,NA
"12","6562",NA,NA,"00-0021182","1061",NA,NA,NA,NA
"13","6564",NA,NA,"00-0021184","1063",NA,NA,NA,NA
"14","6599",NA,NA,"00-0021216","1094",NA,NA,NA,NA
"15","6606",NA,"JohnDe22","00-0029435","8070",NA,NA,"1836",NA
"16","6715",NA,NA,"00-0021314","1182",NA,NA,NA,NA
"17","7433",NA,NA,"00-0022840","1764",NA,NA,NA,NA
"18","7625",NA,NA,"00-0022770","1949",NA,NA,NA,NA
"19","7740",NA,NA,"00-0021755","1613",NA,NA,NA,NA
"20","7796",NA,NA,"00-0022405","2152",NA,NA,NA,NA
"21","8058",NA,NA,"00-0016098","333",NA,NA,NA,NA
"22","8262",NA,NA,"00-0024236","2966",NA,NA,NA,NA
"23","8271",NA,NA,"00-0024245","2975",NA,NA,NA,NA
"24","8320",NA,NA,"00-0024294","3024",NA,NA,NA,NA
"25","8386",NA,NA,"00-0024359","3090",NA,NA,NA,NA
"26","8498",NA,NA,"00-0024011","3225",NA,NA,NA,NA
"27","8549",NA,NA,"00-0024103","3452",NA,NA,NA,NA
"28","8590","53",NA,"00-0022999","2686",NA,NA,"7143","1119"
"29","8723",NA,"BookLo00","00-0025458","3687",NA,NA,NA,NA
"30","8817",NA,NA,"00-0025524","3753",NA,NA,NA,NA
"31","8911","215","SnelJa00","00-0025631","3860",NA,NA,"7835","807"
"32","8913",NA,NA,"00-0025633","3862",NA,NA,NA,NA
"33","9136",NA,NA,"00-0026209","4383",NA,NA,NA,NA
"34","9187",NA,NA,"00-0026279","4453",NA,NA,NA,NA
"35","9193","25","FeltJe00","00-0026286","4460",NA,NA,"8216","1951"
"36","9223",NA,NA,"00-0026316","4490",NA,NA,NA,NA
"37","9247",NA,NA,"00-0026342","4516",NA,NA,NA,NA
"38","9308","491","AmenDa00","00-0026035","4717",NA,NA,"8128","402"
"39","9315","182",NA,"00-0026069","4740",NA,NA,"8314","1186"
"40","9440",NA,NA,"00-0027007","4954",NA,NA,NA,NA
"41","9616","659","PeerCe00","00-0026932","5109",NA,NA,"8453","1968"
"42","9802","126",NA,"00-0026393","4702",NA,NA,"8283","1283"
"43","9856","564","McClDe00","00-0027651","5561",NA,NA,"8899","500"
"44","10065",NA,NA,"00-0027201","5783",NA,NA,NA,NA
"45","10067","609",NA,"00-0026855","5440",NA,NA,"8418","505"
"46","10164",NA,NA,"00-0027467","5962",NA,NA,NA,NA
"47","10301","895","TodmJo00","00-0028121","6335",NA,NA,"9447","940"
"48","10437","982","MillBr02","00-0028149","6363",NA,NA,NA,"57"
"49","10456",NA,NA,"00-0028170","6384",NA,NA,NA,NA
"50","10530","863",NA,"00-0028409","6595",NA,NA,"9367","1104"
"51","10679",NA,NA,"00-0028565","6723",NA,NA,NA,NA
"52","10881","1307","HerrDa00","00-0029588","7179",NA,NA,"9837","172"
"53","10922",NA,NA,"00-0029317","7231",NA,NA,NA,NA
"54","10932","1034","BoldBr00","00-0029239","7469",NA,NA,"9739","1202"
"55","10940","1718","CarrDe00","00-0029119","7406",NA,NA,"9866","743"
"56","10961","1284",NA,"00-0029004","7332",NA,NA,"10087","641"
"57","10973","1144","BeasCo00","00-0029000","7330",NA,NA,"9814","613"
"58","10975","1275",NA,"00-0029510","7585",NA,NA,"10019","939"
"59","10983","1329","HogaCh00","00-0028237","6468",NA,NA,"8107","216"
"60","10984",NA,NA,"00-0028736","6939",NA,NA,NA,NA
"61","11083","1293",NA,"00-0029441","7534",NA,NA,"9990","2152"
"62","11099",NA,NA,"00-0028416","6602",NA,NA,NA,NA
"63","11183",NA,NA,NA,NA,"16495","27311",NA,NA
"64","11332","1698",NA,"00-0029104","7393",NA,NA,"10017","693"
"65","11337","1592","FellDa01","00-0029738","8549",NA,NA,NA,"2426"
"66","11448","1619","HarrDe03","00-0030155","8524",NA,NA,"10487","2736"
"67","11466","1720",NA,"00-0030348","8514",NA,NA,"10673","2592"
"68","11516","1706","DoylJa00","00-0030181","8520",NA,NA,"10557","2520"
"69","11529","1777","HillJo02","00-0030216","8200",NA,NA,"10629","2594"
"70","11705","1793","BurtTr01","00-0030710","9185",NA,NA,"11621","3521"
"71","11719",NA,NA,"00-0031193",NA,NA,NA,NA,NA
"72","11724",NA,NA,"00-0031130",NA,NA,NA,NA,NA
"73","11886","1833","WillDa05","00-0030874","9205",NA,NA,"11153","3444"
"74","11890","2025","WilsAl02","00-0030669","8943",NA,NA,"11001","3428"
"75","11901","1928",NA,"00-0030789","9014",NA,NA,"11027","3600"
"76","11938","1689","ThieAd00","00-0030035","8288",NA,NA,"10337","2766"
"77","11942","2193",NA,"00-0031123","9006",NA,NA,"11161","3283"
"78","11951","1911","SneaWi00","00-0030663","8999",NA,NA,"1271","3315"
"79","11957","2291","InmaDo00","00-0028411","6597",NA,NA,"9362","2731"
"80","11977","1819",NA,"00-0030860","9173",NA,NA,"11493","3648"
"81","12072",NA,NA,"00-0031120",NA,NA,NA,NA,NA
"82","12110","2214","BratCa00","00-0031273","9207",NA,NA,"11088","3770"
"83","12149","2903",NA,NA,NA,NA,"28704",NA,NA
"84","12199","3021",NA,NA,NA,NA,NA,NA,NA
"85","12202","2938",NA,NA,NA,NA,"28958",NA,NA
"86","12215",NA,NA,NA,NA,"3040479",NA,NA,NA
"87","12386","2588","BrowMa03","00-0031806","9902",NA,NA,"12065","4363"
"88","12387","2949",NA,NA,NA,NA,NA,NA,NA
"89","12391","2583","WillTy00","00-0032160","10154",NA,NA,"12252","4630"
"90","12394","2750","CartDe02","00-0031763","9859",NA,NA,"11843","4390"
"91","12395","2936",NA,NA,NA,NA,NA,NA,NA
"92","12407","2981",NA,NA,NA,NA,NA,NA,NA
"93","12409","2925",NA,NA,NA,NA,NA,NA,NA
"94","12414","2913",NA,NA,NA,NA,"28841",NA,NA
"95","12420","2929",NA,NA,NA,NA,NA,NA,NA
"96","12421","2935",NA,NA,NA,NA,NA,NA,NA
"97","12443","2821","KumeJa00","00-0031787","9883",NA,NA,"11952","4455"
"98","12447","2749","MostRa00","00-0031687","9783",NA,NA,"12142","4146"
"99","12464","2673","ByrdDa00","00-0031868","9964",NA,NA,"11815","4599"
"100","12476","2711","HeinTa00","00-0031800","9896",NA,NA,"12202","4450"
"101","12505","2822","HumpAd00","00-0032009","10075",NA,NA,"11672","4567"
"102","12585","2751","BrowDa04","00-0032098","10144",NA,NA,NA,NA
"103","12637","3594","BarbPe01","00-0032741","10927",NA,NA,"12906","5023"
"104","12675","3652",NA,NA,NA,NA,NA,NA,NA
"105","12765",NA,NA,"00-0032769",NA,NA,NA,NA,NA
"106","12775","5547",NA,NA,NA,NA,NA,NA,NA
"107","12859","3496","AndeSt01","00-0032725","11160",NA,NA,"13003","5264"
"108","12913","3433","EricAl01","00-0032543","11107",NA,NA,"12295","5255"
"109","12923",NA,"HamxC.00","00-0032918",NA,NA,NA,NA,NA
"110","12930","3423","AndeRo04","00-0032688","11254",NA,NA,"12936","5208"
"111","12934","3582","RogeCh02","00-0032355","10918",NA,NA,"12407","5086"
"112","12955","3048","ManhCh00","00-0031484","10211",NA,NA,NA,NA
"113","13065","2755","TomlEr01","00-0031690","9786",NA,NA,"11903","4150"
"114","13066","3634","RaymKa00","00-0032464","11028",NA,NA,"12738","5127"
"115","13108","3664","McKiJ.00","00-0032602","11047",NA,NA,"12610","5150"
"116","13136","4651","ClemCo00","00-0033725","12253",NA,NA,"13509","6154"
"117","13148","4718","OgunDa00","00-0033854","12329",NA,NA,"13593","6299"
"118","13239","3803","PennEl00","00-0032813","11300",NA,NA,"12565","5530"
"119","13246","4054","AlieMo00","00-0033217","12078",NA,NA,"14606","5618"
"120","13369","4362","CartCe00","00-0033338","47149",NA,NA,NA,NA
"121","13377","4351","PatrTi00","00-0033375","12087",NA,NA,"15006","6035"
"122","13378","4455","BreiMa00","00-0033308","12271",NA,NA,"14544","5996"
"123","13382","4531","SealRi00","00-0033611","12020",NA,NA,"14780","5938"
"124","13387","3445","JohnMa07","00-0032980","11074",NA,NA,NA,"5178"
"125","13391","4421","HollJa03","00-0033387","12051",NA,NA,"13986","6126"
"126","13396","4323","DaniDa02","00-0033258","12122",NA,NA,"13610","5978"
"127","13404","4663","EkelAu00","00-0033699","12164",NA,NA,"13238","5865"
"128","13412","4622","ColeKe00","00-0033681","51593",NA,NA,"14323","6139"
"129","13416","4335","WalkPh00","00-0033275","12134",NA,NA,"14720","5993"
"130","13418","4454","BourKe00","00-0033307","12270",NA,NA,"14345","5995"
"131","13424","4381","HillTa00","00-0033357","12112",NA,NA,"14969","6047"
"132","13427","4602","TonyRo00","00-0033757","12193",NA,NA,"14797","6223"
"133","13437","4596","GreeTi00","00-0033748","12185",NA,NA,"15010","6214"
"134","13445","4468","AuclAn00","00-0033421","24606",NA,NA,NA,NA
"135","13455",NA,"RicaPa00","00-0033376",NA,NA,NA,NA,NA
"136","13488","4319","PascZa00","00-0033251","12303",NA,NA,"15160","5961"
"137","13503","4491","KempMa00","00-0033481","12137",NA,NA,NA,NA
"138","13505","3895","HallMa02","00-0033094","11440",NA,NA,"12832","5460"
"139","13510","3852","MickJa01","00-0033006","11371",NA,NA,"12662","5524"
"140","13546","3894","GrifGa00","00-0033095","11439",NA,NA,"12580","5459"
"141","13585","4878","ZylsBr00","00-0034052","66438",NA,NA,"12369","6873"
"142","13614","5170","LindPh00","00-0034109","12660",NA,NA,"16846","7144"
"143","13623","5549","WillDa10","00-0034301","13014",NA,NA,"15692","7318"
"144","13632","5185","LazaAl00","00-0034521","48135",NA,NA,"15224","7167"
"145","13666","5102",NA,NA,NA,NA,NA,NA,NA
"146","13722","4571","JarwBl00","00-0033658","12320",NA,NA,"13283","6230"
"147","13737","5017",NA,NA,NA,NA,NA,NA,NA
"148","13850","5248","EdwaGu00","00-0034184","46027",NA,NA,"16010","7251"
"149","13863","5199","PrinBy00","00-0034297","42345",NA,NA,"15456","7313"
"150","13864","6744","WardGr02","00-0033733","12258",NA,NA,"13923","6162"
"151","13877","5460",NA,"00-0034202",NA,"3068715","31421",NA,NA
"152","13878","4344","BoarC.00","00-0033367","12088",NA,NA,"13358","6027"
"153","13880","4741","ArnoDa00","00-0034011","51842",NA,NA,"7676","6350"
"154","13893","5154","SherTr00","00-0034487","48021",NA,NA,"17185","7544"
"155","13895","5432","SimsCa00","00-0034104","47908",NA,NA,"15471","7403"
"156","13902","5500","JarvRi00","00-0034143","66932",NA,"31357",NA,NA
"157","13919","4435","FirkAn00","00-0033455","51837",NA,NA,"13195","6071"
"158","13940","4314","MundJo00","00-0033246","12206",NA,NA,NA,NA
"159","13968","4464","MullNi00","00-0033319","12282",NA,NA,"14656","6007"
"160","13988","5285","DwelRo00","00-0034073","20994",NA,NA,"16947","7561"
"161","13994","4443","BrowPh01","00-0033439","12247",NA,NA,"14715","6080"
"162","13999","5570","BeebCh00","00-0034309","21528",NA,NA,"15494","7453"
"163","14011","5220","IgweGo00","00-0034614","49166",NA,NA,NA,NA
"164","14017","5284","WilsJe01","00-0034115","29413",NA,NA,"16207","7633"
"165","14072","6156",NA,NA,NA,NA,NA,NA,NA
"166","14098","6334","CrocDa01","00-0035448","27436",NA,NA,NA,NA
"167","14117","6063","JohnTy03","00-0035457","34427",NA,NA,"19874","8331"
"168","14118","5938","HumpLi01","00-0035406","42247",NA,NA,"19870","8357"
"169","14126","6148","WillPr01","00-0035350","38855",NA,NA,"17696","8257"
"170","14127","5947","MeyeJa01","00-0034960","47468",NA,NA,"19857","8083"
"171","14131","6069","MorgSt02","00-0035399","48110",NA,NA,"17683","8316"
"172","14132","6097",NA,NA,NA,NA,NA,NA,NA
"173","14173",NA,NA,"00-0035528",NA,NA,NA,NA,NA
"174","14191","6031",NA,NA,NA,NA,NA,NA,NA
"175","14222","5959",NA,NA,NA,NA,NA,NA,NA
"176","14305","6088","JohnOl00","00-0035006","47882",NA,NA,"17863","8038"
"177","14315","6427","DuliAs00","00-0035021","91479",NA,NA,"19854","8178"
"178","14316","5902","HartPe01","00-0035022","13534",NA,NA,"19856","8179"
"179","14331","6694","JohnDE04","00-0035628","45734",NA,NA,"15775","8556"
"180","14337","6421","GuytJa01","00-0035414","34164",NA,NA,"19873","8452"
"181","14341","6074","ParhDo00","00-0035329","91014",NA,NA,"19858","8287"
"182","14342","5241","BlakCh00","00-0034132","47900",NA,NA,"15548","7472"
"183","14356",NA,"KeizNi00","00-0034192","66940",NA,NA,NA,NA
"184","14359",NA,"JohnJa12","00-0035726",NA,NA,NA,NA,NA
"185","14372","3695","HoltJ.01","00-0032986","11062",NA,NA,NA,NA
"186","14434","5792","ReavJe00","00-0034465","50406","3125248","31582",NA,NA
"187","14499","6395","BensTr00","00-0034930","94356",NA,NA,NA,NA
"188","14533","6239","TaylMa01","00-0035480","94375",NA,NA,NA,NA
"189","14549","6387","WebsNs00","00-0035621","48107",NA,NA,NA,NA
"190","14555","6699","OlszGu00","00-0035645","95015",NA,NA,NA,"8577"
"191","14558","6234","HarrDe07","00-0035215","91470",NA,NA,"20091","8512"
"192","14561","6557","SmitJe03","00-0035510","48055",NA,NA,"17754","8307"
"193","14565","5828","SpenDi00","00-0031319","91248",NA,NA,NA,NA
"194","14592","6271","ZaccOl01","00-0035208","44920",NA,NA,"17699","8393"
"195","14613","6402","SimsSt00","00-0034928","48341",NA,NA,"17750","8075"
"196","14665","6279","DillBr00","00-0035102","91468",NA,NA,NA,NA
"197","14671","6724",NA,"00-0035327","26617","3128745","32454",NA,NA
"198","14777","6770","BurrJo01","00-0036442","28022",NA,NA,"18958","8741"
"199","14778","6768","TagoTu00","00-0036212","60326",NA,NA,"20135","8745"
"200","14779","6797","HerbJu00","00-0036355","28237",NA,NA,"18938","8746"
"201","14783","6904","HurtJa00","00-0036389","40291",NA,NA,"18948","8793"
"202","14784","7013",NA,"00-0036022","46465","3915436","33207",NA,NA
"203","14786","7063",NA,NA,NA,NA,NA,NA,NA
"204","14787","6898",NA,"00-0035988","40119","4055171","33266",NA,NA
"205","14788","7008",NA,"00-0036092","34412","3929824","33015",NA,NA
"206","14789","7083","HuntTy01","00-0035993","46448","4035671","32993",NA,NA
"207","14791","7102",NA,NA,NA,NA,NA,NA,NA
"208","14792","7335",NA,"00-0035939","35299","3675812","33258",NA,NA
"209","14793","7084","LutoJa00","00-0036312","17287",NA,NA,"17376","8929"
"210","14795","7110",NA,NA,NA,NA,NA,NA,NA
"211","14796","7158",NA,NA,NA,NA,"32928",NA,NA
"212","14797","6790","SwifDA00","00-0036275","57212",NA,NA,"20140","8775"
"213","14798","6845","MossZa00","00-0036251","40341",NA,NA,"14253","8826"
"214","14799","6938","AkerCa00","00-0036414","57206",NA,NA,"20143","8792"
"215","14800","6806","DobbJK00","00-0036158","57366",NA,NA,"20146","8795"
"216","14802","6813","TaylJo02","00-0036223","57488",NA,NA,"20139","8781"
"217","14803","6820","EdwaCl00","00-0036360","57279",NA,NA,"20138","8772"
"218","14804","6878","McFaAn00","00-0036336","57289",NA,NA,"20145","8864"
"219","14805","6828","DillAJ00","00-0036265","57165",NA,NA,"20141","8802"
"220","14806","6908","PeriLa00","00-0036269","26408",NA,NA,"19031","8860"
"221","14807","7045","KellJo01","00-0036370","13750",NA,NA,"13079","8852"
"222","14808","7064","EvanDa02","00-0036297","40692",NA,NA,"20185","8833"
"223","14809","7101","SmitRo08","00-0035957","26306",NA,"33153",NA,NA
"224","14810","6885","VaugKe00","00-0036450","45866",NA,NA,"17477","8816"
"225","14811","6918","AhmeSa01","00-0036020","57472",NA,NA,"20189","9168"
"226","14812","7038",NA,"00-0036027","45958","4038533","33098",NA,NA
"227","14813","6955","RobiJa00","00-0035831","22425",NA,NA,"19056","9041"
"228","14814","7001",NA,NA,NA,NA,"33307",NA,NA
"229","14815","6931","DallDe00","00-0036425","55632",NA,NA,"20186","8884"
"230","14816","6992",NA,"00-0036006",NA,"4239083","32972",NA,NA
"231","14817","6963",NA,"00-0035973","40448","4039358","33235",NA,NA
"232","14818","7088","JoneXa00","00-0036078",NA,"3916209","33297",NA,NA
"233","14820","6966","LeakJa01","00-0035868",NA,"4241940","33037",NA,NA
"234","14821","6996","HastJa02","00-0035806","25582",NA,NA,"19030","9172"
"235","14822","6978",NA,NA,NA,NA,NA,NA,NA
"236","14823","7021","DowdRi01","00-0036139","40693","4038815","33100","13838","9346"
"237","14824","7005","PhilSc01","00-0036069","83711","4362878","33161","14218","9030"
"238","14826","7227","PierAr00","00-0036208","45749","4042808","33179","18719","9415"
"239","14827","6973","TaylJJ01","00-0036096","25512",NA,NA,"20144","9280"
"240","14828","6984","JoneTo04","00-0035860","40498",NA,NA,NA,NA
"241","14829","7048",NA,"00-0036117","57184","4045702","33309",NA,NA
"242","14830","6959","BellLe02","00-0035912","45854","3916721","32926",NA,NA
"243","14831","7093","KillAd00","00-0036000","42425","4042112","32966",NA,NA
"244","14832","6786","LambCe00","00-0036358","61570",NA,NA,"20152","8757"
"245","14833","6783","JeudJe00","00-0036407","61103",NA,NA,"20151","8755"
"246","14834","6789","RuggHe00","00-0036357","61102",NA,NA,"20192","8752"
"247","14835","6801","HiggTe00","00-0036410","61211",NA,NA,"20153","8773"
"248","14836","6794","JeffJu00","00-0036322","61398",NA,NA,"20157","8762"
"249","14837","6805","HamlKJ00","00-0036412","61590",NA,NA,"20155","8786"
"250","14838","6814","ShenLa00","00-0036268","61220",NA,NA,"18213","8782"
"251","14839","6798","ReagJa00","00-0036387","61697",NA,NA,"20156","8761"
"252","14840","6803","AiyuBr00","00-0036261","84109",NA,NA,"18212","8765"
"253","14841","6886","ClayCh01","00-0036326","42312",NA,NA,"18243","8789"
"254","14842","6819","PittMi01","00-0036252","29049",NA,NA,"18211","8774"
"255","14843","6909","BowdLy00","00-0036364","61361",NA,NA,"20199","8820"
"256","14844","6870","EdwaBr01","00-0036365","28486",NA,NA,"20148","8821"
"257","14845","6943","DaviGa01","00-0036196","55410",NA,NA,"20191","8868"
"258","14846","6849","MimsDe00","00-0036255","47800",NA,NA,"18200","8799"
"259","14847","6847","DuveDe00","00-0036331","40006",NA,NA,"18216","8832"
"260","14848","6957","ProcJa00","00-0036133","48037",NA,NA,"18210","8941"
"261","14850","6895","CephQu00","00-0036277","29614",NA,NA,"20198","8906"
"262","14851","6866","HillKJ00","00-0036382","28025",NA,NA,"899","8960"
"263","14852","6945","GibsAn00","00-0036328","78050",NA,NA,"18260","8806"
"264","14853","6857","JohnCo01","00-0036254","47808",NA,NA,"18316","8905"
"265","14854","6939",NA,"00-0035819","42198","4040628","33040",NA,NA
"266","14855","6873","MackAu01","00-0035869","28070","4040623","33039","18264","9027"
"267","14856","6879",NA,"00-0035978","39931","4035221","33027",NA,NA
"268","14857","6824","PeopDo00","00-0036233","61439",NA,NA,"20154","8927"
"269","14858","6853","JeffVa00","00-0036415","47447",NA,NA,"20150","8797"
"270","14859","7009",NA,"00-0035934","41247","4046715","33253",NA,NA
"271","14861","7002","JohnJu02","00-0036040","28305",NA,NA,"16760","9380"
"272","14862","6913","ReedJo03","00-0036377","40221",NA,NA,"17419","8891"
"273","14863","6906","GandAn00","00-0036340","39993",NA,NA,"18203","8882"
"274","14864","6960","JohnTy00","00-0036427","48054",NA,NA,"18263","8901"
