"count_col","mfl_id","sleeper_id","pfr_id","gsis_id","pff_id","espn_id","yahoo_id","ras_id","otc_id"
"839","15691","8164",NA,"00-0038132",NA,"4362874","34050",NA,NA
"840","15692","8160","PickKe00","00-0038102",NA,"4240703","33975",NA,NA
"841","15693","8162","HoweSa00","00-0037077",NA,"4426875","34100",NA,NA
"842","15694","8161","WillMa12","00-0038128",NA,"4242512","34042",NA,NA
"843","15695","8158",NA,"00-0037139",NA,NA,"34385",NA,NA
"844","15696","8157","ZappBa00","00-0038108",NA,"4250360","34093",NA,NA
"845","15697","8159","RiddDe00","00-0038122",NA,"4239086","34030",NA,NA
"846","15698","8183","PurdBr00","00-0037834",NA,"4361741","34218",NA,NA
"847","15699","8206","ThomSk00","00-0037327",NA,NA,"34203",NA,NA
"848","15701","8431",NA,"00-0037507",NA,NA,"34545",NA,NA
"849","15702","9230",NA,"00-0038400",NA,NA,"40220",NA,NA
"850","15703","8915",NA,NA,NA,NA,"34707",NA,NA
"851","15704","8201",NA,"00-0037390",NA,NA,"34481",NA,NA
"852","15705","8199",NA,"00-0037201",NA,NA,"34425",NA,NA
"853","15706","8212",NA,"00-0037209",NA,NA,"34433",NA,NA
"854","15707","8193",NA,NA,NA,NA,"34346",NA,NA
"855","15708","8155","HallBr03","00-0038120",NA,"4427366","33991",NA,NA
"856","15709","8153","SpilIs00","00-0038045",NA,"4426891","34079",NA,NA
"857","15710","8150","WillKy02","00-0037840",NA,"4430737","34120",NA,NA
"858","15711","8151","WalkKe00","00-0038134",NA,"4567048","33996",NA,NA
"859","15712","8132","AllgTy00","00-0037263",NA,"4373626","34107",NA,NA
"860","15713","8143","FordJe00","00-0037267",NA,"4372019","34112",NA,NA
"861","15714","8139","WhitZa01","00-0038040",NA,"4361777","34078",NA,NA
"862","15715","8138","CookJa01","00-0037248",NA,"4379399","34019",NA,NA
"863","15716","8154","RobiBr01","00-0037746",NA,"4241474","34054",NA,NA
"864","15717","8129","PierDa01","00-0037258",NA,"4360238","34063",NA,NA
"865","15718","8208","BadiTy00","00-0037085",NA,"4362748","34152",NA,NA
"866","15719","8174","HarrKe01","00-0037286",NA,"4570674","34139",NA,NA
"867","15720","8123","HaskHa00","00-0037617",NA,"4372071","34087",NA,NA
"868","15721","8136","WhitRa01","00-0037256",NA,"4697815","34047",NA,NA
"869","15722","8120",NA,NA,NA,NA,"34434",NA,NA
"870","15723","8230","ChanTy01","00-0037276",NA,"4242431","34125",NA,NA
"871","15724","8217",NA,"00-0037466",NA,NA,"34628",NA,NA
"872","15725","8179","ConnSn00","00-0037265",NA,"4567246","34110",NA,NA
"873","15726","8195","RiveRo01","00-0037557",NA,NA,"34310",NA,NA
"874","15727","8122","KnigZo00","00-0037157",NA,"4427728","34357",NA,NA
"875","15728","8190",NA,"00-0037546",NA,"4241224","34660",NA,NA
"876","15729","8194",NA,"00-0037410",NA,NA,"34665",NA,NA
"877","15730","8207",NA,"00-0037120",NA,NA,"34261",NA,NA
"878","15731","8149",NA,"00-0037111",NA,NA,"34373",NA,NA
"879","15733","8116","StroPi00","00-0038098",NA,"4249836","34083",NA,NA
"880","15734","8221","IngrKe01","00-0037299",NA,"4362087","34157",NA,NA
"881","15735","8218",NA,"00-0037389",NA,NA,"34479",NA,NA
"882","15736","8152",NA,"00-0037131",NA,NA,"34377",NA,NA
"883","15738","8800","DaviMa02","00-0037563",NA,"4240603","34610",NA,NA
"884","15739","8173",NA,NA,NA,NA,"34538",NA,NA
"885","15740","8239",NA,"00-0037182",NA,NA,"34402",NA,NA
"886","15742","8228","WarrJa01","00-0037228",NA,"4569987","34447",NA,NA
"887","15743","8220",NA,"00-0037509",NA,NA,"34551",NA,NA
"888","15744","8184",NA,"00-0037400",NA,NA,"34521",NA,NA
"889","15745","8407",NA,NA,NA,NA,"34691",NA,NA
"890","15746","8211","DaviTy03","00-0037827",NA,"4426475","34049",NA,NA
"891","15747",NA,NA,"00-0037437",NA,NA,NA,NA,NA
"892","15748","8189","EbneTr00","00-0037087",NA,"4259169","34159",NA,NA
"893","15749","8205","PachIs00","00-0037197",NA,"4361529","34207",NA,NA
"894","15750","8187",NA,NA,NA,NA,"34530",NA,NA
"895","15751","8112","LondDr00","00-0037238",NA,"4426502","33963",NA,NA
"896","15752","8135","BurkTr00","00-0037742",NA,"4567156","33973",NA,NA
"897","15753","8146","WilsGa00","00-0037740",NA,"4569618","33965",NA,NA
"898","15754","8144","OlavCh00","00-0037239",NA,"4361370","33966",NA,NA
"899","15755","8119","DotsJa00","00-0037741",NA,"4361409","33971",NA,NA
"900","15756","8148","WillJa11","00-0037240",NA,"4426388","33967",NA,NA
"901","15757","8126","RobiWa01","00-0038117",NA,"4569587","33998",NA,NA
"902","15758","8118","BellDa02","00-0037257",NA,"4570409","34055",NA,NA
"903","15759","8147",NA,"00-0037614",NA,"4567096","33999",NA,NA
"904","15760","8191",NA,"00-0037173",NA,NA,"34442",NA,NA
"905","15761","8134","ShakKh00","00-0037261",NA,"4373678","34104",NA,NA
"906","15762","8137","PickGe00","00-0037247",NA,"4426354","34007",NA,NA
"907","15763","8140",NA,"00-0037216",NA,"4360306","34440",NA,NA
"908","15765","8200",NA,"00-0037231",NA,NA,"34242",NA,NA
"909","15766","8168","MoorSk01","00-0038090",NA,"4430191","34009",NA,NA
"910","15767","8223","JoneVe00","00-0037745",NA,"4035693","34027",NA,NA
"911","15768","8142","PierAl00","00-0037664",NA,"4360078","34008",NA,NA
"912","15769","8175",NA,"00-0037604",NA,NA,"",NA,NA
"913","15770","8169",NA,NA,NA,NA,"34238",NA,NA
"914","15771","8250","MartTa00","00-0037524",NA,NA,"34319",NA,NA
"915","15772","8414","CoveBr00","00-0037132",NA,"3926231","34378",NA,NA
"916","15773","8209",NA,"00-0037183",NA,NA,"34403",NA,NA
"917","15774","8166",NA,"00-0037564",NA,NA,"34608",NA,NA
"918","15775","8178","SandBr00","00-0037355",NA,NA,"34534",NA,NA
"919","15776","8198",NA,"00-0037366",NA,NA,"34229",NA,NA
"920","15777","8125",NA,"00-0037837",NA,"4243389","34094",NA,NA
"921","15778","8213",NA,"00-0037042",NA,NA,"34297",NA,NA
"922","15779","8121","DoubRo00","00-0037816",NA,"4361432","34088",NA,NA
"923","15780","8114","EzukEr00","00-0038092",NA,"4362186","34081",NA,NA
"924","15781","8196",NA,"00-0037566",NA,NA,"34609",NA,NA
"925","15782","8176","GrayDa02","00-0037828",NA,"4689546","34061",NA,NA
"926","15783","8185","JohnJo12","00-0037460",NA,NA,"34601",NA,NA
"927","15784","8222",NA,NA,NA,NA,"34557",NA,NA
"928","15785","8204",NA,"00-0037091",NA,"4259305","34185",NA,NA
"929","15786","8180","NailJa00","00-0037291",NA,"4382466","34147",NA,NA
"930","15787","8188","ThorTy00","00-0038104",NA,"4362921","34005",NA,NA
"931","15788","8117","TolbJa00","00-0037666",NA,"4249417","34044",NA,NA
"932","15789","8167","WatsCh00","00-0038124",NA,"4248528","33989",NA,NA
"933","15790","8229",NA,"00-0037343",NA,NA,"34494",NA,NA
