posteam,name,pos,gms,carries,ruYDs,ruTDs,tgts,recs,reYDs,reTDs,opps,opp%,PPR
NYG,"Barkley, Saquon",RB,16,263,1309,11,121,91,721,4,384,0.817,384
CAR,"McCaffrey, Christian",RB,16,219,1098,7,125,107,867,6,344,0.853,381.5
LA,"Gurley, Todd",RB,14,260,1255,17,82,59,582,4,342,0.874,368.7
NO,"Kamara, Alvin",RB,15,197,889,14,105,81,709,4,302,0.592,348.8
DAL,"Elliott, Ezekiel",RB,15,304,1434,6,94,77,567,3,398,0.909,331.1
PIT,"Conner, James",RB,13,215,973,12,73,55,501,1,288,0.843,280.4
NE,"White, James",RB,16,94,425,5,123,87,751,7,217,0.411,276.6
LAC,"Gordon, Melvin",RB,12,176,887,10,66,50,492,4,242,0.648,271.9
ARI,"Johnson, David",RB,16,258,940,7,76,50,446,3,334,0.772,248.6
CIN,"Mixon, Joe",RB,14,237,1168,8,55,43,296,1,292,0.791,243.4
CHI,"Cohen, Tarik",RB,16,99,444,3,90,71,725,5,189,0.376,235.9
KC,"Hunt, Kareem",RB,11,181,824,7,35,26,378,7,216,0.82,230.2
DEN,"Lindsay, Phillip",RB,15,193,1037,9,47,35,241,1,240,0.543,222.8
SEA,"Carson, Chris",RB,14,247,1151,9,24,20,163,0,271,0.56,205.4
TEN,"Henry, Derrick",RB,16,215,1059,12,18,15,99,0,233,0.509,202.8
MIA,"Drake, Kenyan",RB,16,120,535,4,73,53,425,4,193,0.454,197
CLE,"Chubb, Nick",RB,16,192,996,8,29,20,149,2,221,0.494,194.5
ATL,"Coleman, Tevin",RB,16,167,800,4,44,32,276,5,211,0.543,193.6
WAS,"Peterson, Adrian",RB,16,251,1042,7,26,20,208,1,277,0.614,193
CHI,"Howard, Jordan",RB,16,250,935,9,27,20,145,0,277,0.559,182
IND,"Mack, Marlon",RB,12,197,912,9,26,17,103,1,223,0.597,178.5
HOU,"Miller, Lamar",RB,14,210,973,5,36,25,163,1,246,0.622,174.6
JAX,"Yeldon, T.J.",RB,14,104,414,1,77,55,473,4,181,0.467,173.7
GB,"Jones, Aaron",RB,12,133,728,8,35,26,206,1,168,0.583,173.4
LAC,"Ekeler, Austin",RB,14,106,554,3,53,39,404,3,159,0.376,170.8
SF,"Breida, Matt",RB,14,153,814,3,31,27,261,2,184,0.444,164.5
TEN,"Lewis, Dion",RB,16,155,517,1,67,59,400,1,222,0.484,162.7
IND,"Hines, Nyheim",RB,16,85,314,2,81,63,425,2,166,0.361,160.9
OAK,"Richard, Jalen",RB,16,56,259,1,81,68,607,0,137,0.289,160.6
MIN,"Cook, Dalvin",RB,11,133,615,2,49,40,305,2,182,0.663,156
TB,"Barber, Peyton",RB,16,234,871,5,29,20,92,1,263,0.688,152.3
NO,"Ingram, Mark",RB,12,138,645,6,27,21,170,1,165,0.418,144.5
DET,"Johnson, Kerryon",RB,10,118,641,3,39,32,213,1,157,0.514,141.4
NE,"Michel, Sony",RB,13,209,931,6,11,7,50,0,220,0.473,141.1
NYJ,"Crowell, Isaiah",RB,13,143,685,6,28,21,152,0,171,0.449,140.7
SEA,"Davis, Mike",RB,15,112,514,4,42,34,214,1,154,0.297,136.8
MIN,"Murray, Latavius",RB,16,140,578,6,27,22,143,0,167,0.409,130.1
CLE,"Johnson, Duke",RB,16,42,205,0,62,47,429,3,104,0.227,128.4
BUF,"McCoy, LeSean",RB,14,161,514,3,46,34,238,0,207,0.573,127.2
OAK,"Martin, Doug",RB,16,172,723,4,24,18,116,0,196,0.419,125.9
JAX,"Fournette, Leonard",RB,8,133,439,5,26,22,185,1,159,0.581,120.4
PHI,"Smallwood, Wendell",RB,13,88,366,3,35,28,230,2,123,0.322,117.6
DET,"Riddick, Theo",RB,14,40,171,0,74,61,384,0,114,0.259,116.5
BAL,"Collins, Alex",RB,10,114,411,7,21,15,105,1,135,0.508,114.6
GB,"Williams, Jamaal",RB,16,121,464,3,42,27,212,0,163,0.419,112.6
DEN,"Freeman, Royce",RB,14,130,521,5,20,14,72,0,150,0.343,103.3
MIA,"Gore, Frank",RB,14,156,722,0,16,12,124,1,172,0.464,102.6
KC,"Williams, Damien",RB,10,50,256,4,24,23,160,2,74,0.302,100.6
ATL,"Smith, Ito",RB,13,90,315,4,32,27,152,0,122,0.383,97.7
